,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,122.91,126.29,146.42,134.8,140.69,123.22,121.22,121.9,103.2,82.27
1,Short-Term Investments,8.47,-,8.1,-,8.85,-,5.26,-,6.03,-
2,Cash & Short-Term Investments,131.37,126.29,154.52,134.8,149.54,123.22,126.48,121.9,109.22,82.27
3,Cash Growth,-14.98%,-6.31%,3.33%,9.40%,18.23%,1.08%,15.80%,48.18%,27.40%,-1.20%
4,Accounts Receivable,53.94,38.87,24.51,26.41,29.31,31.17,27.71,33.52,22.72,33.18
5,Other Receivables,9.42,3.66,1.5,0.46,1.05,0.08,1.45,0.57,2.07,0.65
6,Receivables,63.36,44.79,28.36,27.65,30.36,31.25,29.15,34.09,24.79,33.82
7,Inventory,40.38,47.02,22.25,40.87,38.25,43.01,42.89,36.91,32.6,37.34
8,Prepaid Expenses,-,1.06,-,1.16,-,3.21,-,3.32,-,4.16
9,Other Current Assets,-,0.17,-,0.95,-,0.21,-,0.21,-,0.3
10,Total Current Assets,235.11,219.33,205.13,205.43,218.14,200.89,198.53,196.43,166.62,157.89
11,"Property, Plant & Equipment",41.42,34.57,29.31,33.98,39.86,36.72,36.86,42.43,39.22,43.07
12,Long-Term Investments,-,1.24,6.67,9.88,14.63,18.16,21.17,-,-,-
13,Total Assets,276.53,255.14,241.11,249.29,272.63,255.77,256.55,238.86,205.83,200.96
14,Accounts Payable,22.15,12.66,6.13,5.63,10.73,13.23,30.91,17.79,10.38,11.07
15,Accrued Expenses,20.05,20.71,19.93,21.8,24.62,23.59,20.03,21.94,12.75,11.65
16,Current Portion of Leases,3.77,1.77,3.78,4.2,3.87,1.86,3.98,4.2,3.92,2.94
17,Current Income Taxes Payable,3.26,2.55,4.87,2.16,11.15,5.4,3.94,3.76,4.26,3.54
18,Current Unearned Revenue,3.07,2.91,3.07,2.91,3.5,5.08,4.7,4.26,4.1,4.44
19,Total Current Liabilities,52.3,40.59,37.78,36.69,53.87,49.15,63.57,51.95,35.41,33.65
20,Long-Term Leases,4.29,-,-,1.81,4.42,-,-,1.81,3.69,4.14
21,Long-Term Deferred Tax Liabilities,5.44,4.99,2.79,2.98,3.24,3.54,1.8,2.02,0.08,0.08
22,Total Liabilities,62.02,45.58,40.57,41.47,61.53,52.69,65.36,55.78,39.17,37.86
23,Common Stock,20,20,20,20,20,20,20,20,20,20
24,Additional Paid-In Capital,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.61,36.61
25,Retained Earnings,162.44,155.47,148.25,151.19,150.33,137.39,128.55,121.97,113.3,107.97
26,Comprehensive Income & Other,-4.54,-2.52,-4.33,0.01,4.14,9.08,6.03,4.49,-3.26,-1.5
27,Shareholders' Equity,214.52,209.57,200.54,207.81,211.09,203.08,191.19,183.08,166.66,163.09
28,Total Liabilities & Equity,276.53,255.14,241.11,249.29,272.63,255.77,256.55,238.86,205.83,200.96
29,Total Debt,8.06,1.77,3.78,6.01,8.29,1.86,3.98,6.02,7.61,7.08
30,Net Cash (Debt),123.31,124.53,150.73,128.79,141.25,121.36,122.5,115.89,101.62,75.19
31,Net Cash Growth,-18.19%,-3.31%,6.71%,6.13%,15.31%,4.72%,20.55%,54.12%,31.89%,26.91%
32,Net Cash Per Share,0.62,0.62,0.75,0.64,0.71,0.61,0.61,0.58,0.51,0.38
33,Filing Date Shares Outstanding,200,200,200,200,200,200,200,200,200,200
34,Total Common Shares Outstanding,200,200,200,200,200,200,200,200,200,200
35,Working Capital,182.81,178.74,167.35,168.74,164.27,151.74,134.96,144.48,131.21,124.24
36,Book Value Per Share,1.07,1.05,1.00,1.04,1.06,1.02,0.96,0.92,0.83,0.82
37,Tangible Book Value,214.52,209.57,200.54,207.81,211.09,203.08,191.19,183.08,166.66,163.09
38,Tangible Book Value Per Share,1.07,1.05,1.00,1.04,1.06,1.02,0.96,0.92,0.83,0.82
39,Machinery,98.36,95.72,91.77,92.5,94.09,94.53,90,90.08,86.99,87.39
