,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,4263,8502,9507,54316,28823,-
1,Market Cap Growth,-84.35%,-84.35%,-67.02%,-,-,-
2,Enterprise Value,5924,9940,11475,55990,30140,-
3,Last Close Price,3.52,7.02,7.85,44.85,23.80,-
4,Forward PE,-,10.30,13.82,40.22,31.06,-
5,PS Ratio,3.35,6.68,7.27,41.44,20.17,-
6,PB Ratio,1.13,2.11,2.22,9.01,4.35,-
7,P/TBV Ratio,3.35,3.35,2.80,25.55,6.11,-
8,P/FCF Ratio,-,-,-26.60,-,-,-
9,P/OCF Ratio,-,-,-52.14,-,-,-
10,EV/Sales Ratio,4.66,7.81,8.77,42.72,21.09,-
11,EV/FCF Ratio,-38.76,-,-32.11,-,-,-
12,Debt / Equity Ratio,0.52,0.52,0.46,0.30,0.24,-
13,Debt / FCF Ratio,-,-,-5.53,-,-,-
14,Earnings Yield,-29.99%,-15.04%,-15.08%,-1.04%,-1.25%,-
15,FCF Yield,-3.59%,-1.80%,-3.76%,-1.41%,-3.49%,-
16,Buyback Yield / Dilution,-0.25%,-,-0.50%,-0.92%,-,-
17,Total Shareholder Return,-0.25%,-,-0.50%,-0.92%,-,-
