,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,537.18,647,540.47,672.51,591.57
1,Revenue Growth (YoY),-0.61%,-3.79%,-8.64%,-,-
2,Cost of Revenue,148.89,1691,107.82,126.47,109.94
3,Gross Profit,388.29,-1044,432.65,546.03,481.63
4,"Selling, General & Admin",356.4,407.73,340.56,525.35,418.58
5,Research & Development,170.11,237.87,398.53,306.28,194.03
6,Operating Expenses,530.37,646.11,742.76,852.21,619.24
7,Operating Income,-142.08,-1690,-310.11,-306.18,-137.61
8,Interest Expense,-30,-24.68,-19.16,-15.46,-10.23
9,Interest & Investment Income,4.36,5.28,5.43,6.8,3.9
10,Currency Exchange Gain (Loss),-,0.66,-,-,-
11,Other Non Operating Income (Expenses),8.41,13.56,13.96,12.99,8.56
12,EBT Excluding Unusual Items,-159.31,-1695,-309.88,-301.86,-135.38
13,Impairment of Goodwill,-,-211.44,-,-,-
14,Gain (Loss) on Sale of Investments,-,-,-,-,3.07
15,Gain (Loss) on Sale of Assets,-,6.92,-,-,-
16,Asset Writedown,-,-61.09,-,-,-
17,Pretax Income,-159.31,-1961,-309.88,-301.86,-132.31
18,Income Tax Expense,-14.05,-267.96,-52.45,-20.28,-183.26
19,Earnings From Continuing Operations,-145.26,-1693,-257.43,-281.58,50.95
20,Minority Interest in Earnings,6.01,642.17,7.06,6.85,-95.82
21,Net Income,-139.25,-1051,-250.37,-274.72,-44.88
22,Net Income to Common,-139.25,-1051,-250.37,-274.72,-44.88
23,Shares Outstanding (Basic),1211,1211,1211,1205,1200
24,Shares Outstanding (Diluted),1211,1211,1211,1205,1200
25,Shares Change (YoY),-,0.50%,0.92%,-,-
26,EPS (Basic),-0.11,-0.87,-0.21,-0.23,-0.04
27,EPS (Diluted),-0.11,-0.87,-0.21,-0.23,-0.04
28,Free Cash Flow,-147.79,5.56,-329.98,-377.79,-511.54
29,Free Cash Flow Per Share,-0.12,0.00,-0.27,-0.31,-0.43
30,Operating Margin,-26.45%,-261.20%,-57.38%,-45.53%,-23.26%
31,Profit Margin,-25.92%,-162.39%,-46.32%,-40.85%,-7.59%
32,Free Cash Flow Margin,-27.51%,0.86%,-61.05%,-56.18%,-86.47%
33,EBITDA,-67.27,-1625,-233.38,-235.67,-71.72
34,D&A For EBITDA,74.81,64.65,76.74,70.51,65.89
35,EBIT,-142.08,-1690,-310.11,-306.18,-137.61
