,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1521,1514,1635,1967,2843,2440,1952,2084,2188,2095,2494,Upgrade
1,Market Cap Growth,-23.01%,-23.01%,-42.48%,-19.42%,45.62%,17.09%,-10.75%,-0.51%,-12.29%,-30.08%,-13.26%,Upgrade
2,Enterprise Value,-336,-307,-158,12,1323,762,948,1359,1302,1121,1544,Upgrade
3,Last Close Price,4.27,4.15,4.33,5.10,6.19,5.23,4.10,4.30,4.40,4.15,4.71,Upgrade
4,PE Ratio,8.01,7.97,8.59,1.49,2.19,21.17,16.51,27.26,82.27,30.76,18.28,Upgrade
5,PS Ratio,3.67,3.66,4.37,6.28,10.13,9.08,8.00,9.59,10.50,8.97,8.35,Upgrade
6,PB Ratio,0.22,0.22,0.23,0.28,0.39,0.41,0.33,0.35,0.37,0.35,0.41,Upgrade
7,P/TBV Ratio,0.22,0.22,0.23,0.28,0.39,0.41,0.33,0.35,0.37,0.35,0.41,Upgrade
8,P/FCF Ratio,-,-,-,-14.68,-,-,111.74,106.21,153.73,145.03,34.73,Upgrade
9,P/OCF Ratio,-,-,-,-15.14,-,-,77.49,73.97,104.42,105.64,32.31,Upgrade
10,EV/Sales Ratio,-,-,-,0.04,4.72,2.83,3.88,6.25,6.25,4.80,5.17,Upgrade
11,EV/EBITDA Ratio,-,-,-,0.13,13.54,8.25,11.92,16.71,19.58,12.05,12.23,Upgrade
12,EV/EBIT Ratio,-,-,-,0.15,14.80,8.84,12.84,17.93,21.35,12.80,12.77,Upgrade
13,EV/FCF Ratio,5.28,-,-,-0.09,-,-,54.27,69.23,91.53,77.63,21.51,Upgrade
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Upgrade
15,Debt / FCF Ratio,-,-,-,-0.10,-,-,0.24,0.27,0.39,0.32,0.02,Upgrade
16,Return on Capital Employed (ROCE),1.76%,1.76%,1.77%,1.19%,1.22%,1.41%,1.21%,1.25%,1.01%,1.44%,1.95%,Upgrade
17,Earnings Yield,12.49%,12.55%,11.64%,67.33%,45.69%,4.72%,6.06%,3.67%,1.22%,3.25%,5.47%,Upgrade
18,FCF Yield,-4.19%,-4.21%,1.26%,-6.81%,-10.78%,-3.75%,0.89%,0.94%,0.65%,0.69%,2.88%,Upgrade
19,Dividend Yield,5.85%,6.03%,5.77%,4.90%,4.04%,4.78%,6.10%,5.81%,5.68%,9.17%,8.07%,Upgrade
20,Total Shareholder Return,5.85%,6.03%,5.77%,4.90%,4.04%,4.78%,6.10%,5.81%,5.68%,9.17%,8.07%,Upgrade
