,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,210.74,203.34,171.27,141.69,138.95,129.91,114.29,103.06,105.21,128.37,Upgrade
1,Revenue Growth (YoY),23.05%,43.51%,23.26%,9.07%,21.58%,26.05%,8.63%,-19.71%,-38.29%,-21.70%,Upgrade
2,Cost of Revenue,130.79,127.93,106.18,100.21,79.56,87.58,77.05,83.36,65.69,82.65,Upgrade
3,Gross Profit,79.96,75.4,65.09,41.47,59.39,42.33,37.24,19.7,39.52,45.72,Upgrade
4,"Selling, General & Admin",48.99,46.52,41.21,41.57,28.72,32.73,24.68,25.65,24.76,23.73,Upgrade
5,Other Operating Expenses,-36.06,-29.22,-42.72,-16.83,-41.99,-3.85,-47.8,-21.37,-30.82,-20.05,Upgrade
6,Operating Expenses,12.93,17.3,-1.51,24.74,-13.27,28.88,-23.12,4.28,-6.07,3.68,Upgrade
7,Operating Income,67.03,58.1,66.6,16.73,72.66,13.45,60.37,15.42,45.58,42.04,Upgrade
8,Interest Expense,-0.22,-0.12,-0.15,-0.18,-0.07,-0.06,-0.06,-0.1,-0.06,-0.02,Upgrade
9,Interest & Investment Income,-,10.3,-,79.4,-,8.85,-,1.38,-,3.13,Upgrade
10,Earnings From Equity Investments,23.4,15.18,17.4,1179,0.46,-6.53,-24.7,-11.52,-3.35,0.18,Upgrade
11,Currency Exchange Gain (Loss),-0,-0.03,0.01,0.01,-0,0.11,0.01,-0.02,-0.02,0.03,Upgrade
12,EBT Excluding Unusual Items,90.2,83.44,83.85,1275,73.04,15.82,35.62,5.16,42.15,45.34,Upgrade
13,Gain (Loss) on Sale of Investments,3.39,-3.99,-4.41,-17.7,-5.36,-12.85,5.66,2.38,-4.8,-4.85,Upgrade
14,Gain (Loss) on Sale of Assets,-,0,-,-0,-,-0,-,-,-0,0.03,Upgrade
15,Asset Writedown,2.02,21.14,21.2,8.8,11.57,40.12,35.5,-9.11,-11.56,15.87,Upgrade
16,Other Unusual Items,-,4.92,0.49,12.34,-2.1,18.73,-,15.44,-,-,Upgrade
17,Pretax Income,95.62,105.51,101.13,1279,77.16,61.82,76.78,13.86,25.79,56.4,Upgrade
18,Income Tax Expense,8.14,7.63,13.14,44.7,12.08,11.61,8.74,5.44,7.63,6.46,Upgrade
19,Earnings From Continuing Operations,87.48,97.88,87.99,1234,65.07,50.21,68.04,8.42,18.16,49.93,Upgrade
20,Net Income to Company,87.48,97.88,87.99,1234,65.07,50.21,68.04,8.42,18.16,49.93,Upgrade
21,Minority Interest in Earnings,2.12,2.49,2.04,-,-,-,-,-,-,-,Upgrade
22,Net Income,89.6,100.37,90.03,1234,65.07,50.21,68.04,8.42,18.16,49.93,Upgrade
23,Net Income to Common,89.6,100.37,90.03,1234,65.07,50.21,68.04,8.42,18.16,49.93,Upgrade
24,Net Income Growth,-0.48%,-91.87%,38.35%,2357.71%,-4.36%,496.06%,274.57%,-83.13%,-79.00%,-30.40%,Upgrade
25,Shares Outstanding (Basic),356,356,356,356,356,356,356,356,356,356,Upgrade
26,Shares Outstanding (Diluted),356,356,356,356,356,356,356,356,356,356,Upgrade
27,EPS (Basic),0.25,0.28,0.25,3.46,0.18,0.14,0.19,0.02,0.05,0.14,Upgrade
28,EPS (Diluted),0.25,0.28,0.25,3.46,0.18,0.14,0.19,0.02,0.05,0.14,Upgrade
29,EPS Growth,-0.48%,-91.87%,38.35%,2357.71%,-4.36%,496.08%,274.57%,-83.13%,-79.00%,-30.40%,Upgrade
30,Free Cash Flow,-10.95,-52.77,73.31,-207.23,-99.17,7.64,9.83,9.8,4.44,10.01,Upgrade
31,Free Cash Flow Per Share,-0.03,-0.15,0.21,-0.58,-0.28,0.02,0.03,0.03,0.01,0.03,Upgrade
32,Dividend Per Share,0.100,0.150,0.100,0.150,0.100,0.150,0.100,0.150,0.100,0.280,Upgrade
33,Dividend Growth,0%,0%,0%,0%,0%,0%,0%,-46.43%,0%,0%,Upgrade
34,Operating Margin,31.80%,28.57%,38.89%,11.81%,52.29%,10.36%,52.82%,14.96%,43.33%,32.75%,Upgrade
35,Profit Margin,42.51%,49.36%,52.56%,870.99%,46.83%,38.65%,59.53%,8.17%,17.27%,38.90%,Upgrade
36,Free Cash Flow Margin,-5.20%,-25.95%,42.80%,-146.26%,-71.37%,5.88%,8.60%,9.50%,4.22%,7.80%,Upgrade
37,EBITDA,72.49,63.25,71.77,21.79,75.98,16.35,63.16,18.17,48.34,44.75,Upgrade
38,D&A For EBITDA,5.46,5.15,5.17,5.05,3.32,2.9,2.8,2.75,2.75,2.71,Upgrade
39,EBIT,67.03,58.1,66.6,16.73,72.66,13.45,60.37,15.42,45.58,42.04,Upgrade
