,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,612,581,493,466,638,1184,1002,1381,1166,1301,2443,Upgrade
1,Market Cap Growth,24.73%,24.73%,-22.74%,-60.67%,-36.30%,-14.28%,-14.08%,6.17%,-52.27%,-44.51%,-36.96%,Upgrade
2,Enterprise Value,-299,-313,-415,-394,-600,-515,-868,-602,-878,-639,752,Upgrade
3,Last Close Price,0.58,0.49,0.41,0.37,0.51,0.63,0.52,0.72,0.60,0.67,1.28,Upgrade
4,PE Ratio,-,-5.49,-,-2.04,-,-,-,6.68,-,33.01,-,Upgrade
5,Forward PE,-,16.13,16.13,16.13,16.13,16.13,16.13,16.13,16.13,16.13,16.13,Upgrade
6,PS Ratio,19.72,16.86,6.62,4.39,3.97,11.92,-,9.86,-,6.40,-,Upgrade
7,PB Ratio,0.27,0.24,0.20,0.18,0.24,0.36,0.27,0.36,0.34,0.40,0.76,Upgrade
8,P/TBV Ratio,0.24,0.24,0.20,0.18,0.24,0.36,0.27,0.37,0.36,0.46,0.88,Upgrade
9,PEG Ratio,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,Upgrade
10,EV/FCF Ratio,3.33,-,-,-,-,-,-,-,-,-,-,Upgrade
11,Debt / Equity Ratio,0.06,0.06,0.06,0.05,0.14,0.16,0.10,0.13,0.05,0.04,0.00,Upgrade
12,Return on Capital Employed (ROCE),-,-,-0.04%,-,-,-,-,-,-,1.15%,-,Upgrade
13,Earnings Yield,-17.26%,-18.20%,-30.09%,-49.14%,-94.37%,-30.99%,-,14.97%,-,3.03%,-,Upgrade
14,FCF Yield,-14.63%,-15.44%,-12.84%,-13.13%,-16.97%,-5.97%,-,-9.00%,-,-0.55%,-,Upgrade
15,Dividend Yield,3.45%,3.97%,4.93%,5.20%,55.06%,44.31%,-,-,-,-,-,Upgrade
16,Buyback Yield / Dilution,1.49%,0.65%,1.69%,2.76%,-,5.31%,-,-0.62%,-,0.15%,-,Upgrade
17,Total Shareholder Return,4.94%,4.62%,6.62%,7.96%,55.06%,49.62%,-,-0.62%,-,0.15%,-,Upgrade
