,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,252,373,284,536,683,1444,6278,6560,10284,8570,8936,Upgrade
1,Market Cap Growth,-30.47%,-30.47%,-58.39%,-62.89%,-89.13%,-77.99%,-38.96%,-23.46%,15.09%,-20.78%,-28.04%,Upgrade
2,Enterprise Value,2961,3416,3011,1621,1942,2963,22008,21078,22593,20196,19621,Upgrade
3,Last Close Price,0.09,0.14,0.11,0.28,0.43,0.92,4.00,3.93,6.20,5.17,5.64,Upgrade
4,PE Ratio,-,-,-,1.62,-,-,-,38.57,-,81.71,-,Upgrade
5,PS Ratio,0.31,0.47,0.38,0.72,0.84,3.61,-,6.36,-,3.19,-,Upgrade
6,PB Ratio,0.05,0.05,0.04,0.07,0.13,0.26,0.99,0.57,0.95,0.81,0.83,Upgrade
7,P/TBV Ratio,0.08,0.08,0.06,0.10,0.15,0.28,1.09,0.84,1.34,1.19,1.30,Upgrade
8,P/FCF Ratio,-,-12.75,-,1.46,1.29,4.02,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-19.64,-,1.51,1.26,3.77,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,3.77,4.35,4.07,2.18,2.39,7.40,-,20.43,-,7.52,-,Upgrade
11,EV/EBITDA Ratio,-,-4.36,-,-6.80,-,-,-,159.05,-,466.11,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-6.45,-,-,-,230.88,-,2156.82,-,Upgrade
13,EV/FCF Ratio,-101.32,-116.89,-,4.43,3.66,8.26,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.22,0.22,0.24,0.18,0.28,0.30,0.33,1.27,1.24,1.03,0.92,Upgrade
15,Debt / FCF Ratio,-,-52.82,-,3.59,2.66,4.61,-,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-3.19%,-,-,-,0.47%,-,0.05%,-,Upgrade
17,Earnings Yield,-248.48%,-168.03%,36.08%,61.73%,-80.79%,-16.18%,-,2.59%,-,1.22%,-,Upgrade
18,FCF Yield,-11.60%,-7.85%,47.75%,68.31%,77.76%,24.85%,-,-0.80%,-,-13.00%,-,Upgrade
19,Buyback Yield / Dilution,-58.76%,-53.78%,-64.28%,-11.04%,-,-0.00%,-,-4.49%,-,-13.96%,-,Upgrade
20,Total Shareholder Return,-58.76%,-53.78%,-64.28%,-11.04%,-,-0.00%,-,-4.49%,-,-13.96%,-,Upgrade
