,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,136.4,140.09,153.89,135.22,168.7,167.14,240.71,277.68,148.03,27.86
1,Cash & Short-Term Investments,136.4,140.09,153.89,135.22,168.7,167.14,240.71,277.68,148.03,27.86
2,Cash Growth,-11.37%,3.60%,-8.78%,-19.10%,-29.92%,-39.81%,62.61%,896.73%,-,-
3,Accounts Receivable,173.89,139.95,175.03,150.11,176.17,152.64,147.67,106.54,118.07,74.25
4,Other Receivables,1.86,3.2,2.19,7.09,8.71,3.95,47.3,11.53,19.9,117.33
5,Receivables,175.75,143.15,177.23,157.19,184.87,156.59,194.97,118.08,256.25,191.58
6,Other Current Assets,22.83,20.06,19.6,22.72,59.7,58.47,9.66,7.82,9.65,16.83
7,Total Current Assets,334.98,303.3,350.72,315.13,413.27,382.19,445.34,403.57,413.93,236.27
8,"Property, Plant & Equipment",71.07,74.53,40.44,42.64,43.78,39.18,18.07,18.66,4.16,4.53
9,Goodwill,29.71,29.71,29.71,29.71,29.71,29.33,1.52,1.52,1.52,1.52
10,Other Intangible Assets,11.17,12.64,14.2,15.75,17.31,18.87,3,3.5,3.92,4.5
11,Long-Term Deferred Tax Assets,21.37,19.3,14.35,13.02,5.41,-,0.76,0.55,0.75,0.59
12,Total Assets,468.3,439.48,449.41,416.25,509.48,469.57,468.69,427.8,424.27,247.41
13,Accounts Payable,36.7,37.79,29.05,43.85,32.48,36.99,34.62,37.77,26.99,20.6
14,Accrued Expenses,26.24,31.25,33.02,34.86,37.24,33.03,24.14,28.97,28.2,29.63
15,Current Portion of Leases,0.06,0.06,0.06,0.06,0.52,0.54,1.29,0.97,1.37,0.9
16,Current Income Taxes Payable,6.61,3.97,3.42,4.16,4.5,3.81,5.26,0.03,8.86,5.31
17,Current Unearned Revenue,106.78,80.83,99.08,69.14,97.71,81.2,89.31,67.95,59.99,60.24
18,Other Current Liabilities,46.49,46.6,55.3,47.71,59.09,46.7,53.14,58.74,53.83,53.76
19,Total Current Liabilities,222.9,200.5,219.93,199.79,231.52,202.27,207.77,194.42,179.24,170.43
20,Long-Term Leases,0.01,0.07,0.07,0.13,0.12,0.18,0.35,0.02,0.5,0.92
21,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,1.88,-
22,Long-Term Deferred Tax Liabilities,2.77,3.04,3.3,3.56,3.83,2.55,-,-,-,-
23,Total Liabilities,225.67,203.61,223.29,203.48,235.47,205,208.11,194.44,181.62,171.35
24,Common Stock,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,-
25,Additional Paid-In Capital,179.5,179.5,179.5,179.5,-,179.5,179.5,179.5,179.5,46.61
26,Retained Earnings,37.29,30.65,58.04,44.7,-,96.61,93.02,65.89,75.23,45.18
27,Comprehensive Income & Other,21.12,21.12,-15.73,-15.73,269.66,-15.73,-15.73,-15.73,-15.73,-15.73
28,Total Common Equity,241.56,234.92,225.46,212.12,273.31,264.03,260.44,233.31,242.65,76.06
29,Minority Interest,1.07,0.96,0.66,0.65,0.69,0.54,0.13,0.06,-,-
30,Shareholders' Equity,242.63,235.87,226.12,212.77,274,264.57,260.57,233.36,242.65,76.06
31,Total Liabilities & Equity,468.3,439.48,449.41,416.25,509.48,469.57,468.69,427.8,424.27,247.41
32,Total Debt,0.07,0.13,0.13,0.19,0.64,0.72,1.64,0.98,1.87,1.82
33,Net Cash (Debt),136.33,139.96,153.76,135.03,168.05,166.42,239.07,276.7,146.16,26.04
34,Net Cash Growth,-11.33%,3.65%,-8.51%,-18.86%,-29.71%,-39.85%,63.56%,962.50%,-,-
35,Net Cash Per Share,0.34,0.35,0.38,0.33,0.41,0.41,0.59,0.68,0.40,0.09
36,Filing Date Shares Outstanding,405.31,405.31,405.31,405.31,405.31,405.31,405.31,405.31,405.31,300
37,Total Common Shares Outstanding,405.31,405.31,405.31,405.31,405.31,405.31,405.31,405.31,405.31,300
38,Working Capital,112.09,102.8,130.79,115.35,181.74,179.92,237.57,209.15,234.69,65.84
39,Book Value Per Share,0.60,0.58,0.56,0.52,0.67,0.65,0.64,0.58,0.60,0.25
40,Tangible Book Value,200.68,192.57,181.55,166.66,226.29,215.83,255.92,228.29,237.22,70.04
41,Tangible Book Value Per Share,0.50,0.48,0.45,0.41,0.56,0.53,0.63,0.56,0.59,0.23
42,Land,-,31.11,-,30.36,-,23.41,-,1.07,-,1.07
43,Machinery,-,10.23,-,9.63,-,7.79,-,5.32,-,3.92
44,Leasehold Improvements,-,16.23,-,16.23,-,14.56,-,14.49,-,-
