,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,249.92,228.07,183.8,198.12,184.48,202.23,160.74,165.66
1,Other Revenue,-0.13,0.13,-,1.01,-0.45,0.45,-,-
2,Revenue,249.79,228.2,183.8,199.12,184.03,202.68,160.74,165.66
3,Revenue Growth (YoY),35.74%,12.59%,14.34%,20.20%,-,-,-,-
4,Cost of Revenue,161.85,162.96,128.18,144.9,121.67,145.92,108.45,108.12
5,Gross Profit,87.94,65.24,55.61,54.22,62.35,56.76,52.29,57.54
6,"Selling, General & Admin",30.3,25.96,23.44,20.41,20.99,17.02,17.45,24.27
7,Research & Development,14.7,14.43,11.81,13.71,12.72,11.08,9.89,13.89
8,Other Operating Expenses,2.27,2,2.02,1.66,-0.1,-1.4,-0.02,-1.47
9,Operating Expenses,49.13,43.03,37.59,39.08,34.07,28.68,27.39,36.69
10,Operating Income,38.81,22.21,18.02,15.14,28.29,28.08,24.89,20.85
11,Interest Expense,-2.56,-3.41,-5.8,-15.32,-3.67,-3.3,-2.79,-
12,Interest & Investment Income,0.63,1.45,0.52,0.12,0.03,0.02,0.02,-
13,Currency Exchange Gain (Loss),-0.36,0.36,-,1.31,-1.38,1.38,-,-
14,Other Non Operating Income (Expenses),-0.09,-0.49,-0.02,12.55,3.16,-4.14,-0.09,-4.81
15,EBT Excluding Unusual Items,36.43,20.13,12.73,13.8,26.44,22.04,22.04,16.04
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,0.39,-,-
17,Gain (Loss) on Sale of Assets,-2.57,0.21,-0.21,-,-,-,0.12,0
18,Asset Writedown,-5.17,0.63,-0.96,3.63,-4.04,1.28,-1.31,-3.85
19,Other Unusual Items,1.28,3.62,1.91,4.27,-0.03,0.03,-,-
20,Pretax Income,29.97,24.59,13.47,21.7,22.38,23.73,20.86,12.19
21,Income Tax Expense,2.81,2.13,0.7,2.76,1.98,2.37,1.67,-11.91
22,Net Income,27.17,22.46,12.77,18.94,20.4,21.37,19.19,24.1
23,Net Income to Common,27.17,22.46,12.77,18.94,20.4,21.37,19.19,24.1
24,Net Income Growth,33.21%,5.10%,-33.45%,-21.42%,-,-,-,-
25,Shares Outstanding (Basic),99,98,98,72,74,74,73,75
26,Shares Outstanding (Diluted),99,98,98,72,74,74,73,75
27,Shares Change (YoY),34.59%,32.36%,33.05%,-2.90%,-,-,-,-
28,EPS (Basic),0.27,0.23,0.13,0.26,0.28,0.29,0.26,0.32
29,EPS (Diluted),0.27,0.23,0.13,0.26,0.28,0.29,0.26,0.32
30,EPS Growth,-1.03%,-20.59%,-49.98%,-19.07%,-,-,-,-
31,Free Cash Flow,5.33,-5.89,19.01,16.5,2.31,-60.57,-87.53,-91.54
32,Free Cash Flow Per Share,0.05,-0.06,0.19,0.23,0.03,-0.82,-1.19,-1.23
33,Dividend Per Share,-,-,-,0.231,-,-,-,-
34,Gross Margin,35.21%,28.59%,30.26%,27.23%,33.88%,28.00%,32.53%,34.73%
35,Operating Margin,15.54%,9.73%,9.80%,7.60%,15.37%,13.86%,15.49%,12.59%
36,Profit Margin,10.88%,9.84%,6.95%,9.51%,11.08%,10.54%,11.94%,14.55%
37,Free Cash Flow Margin,2.13%,-2.58%,10.34%,8.29%,1.26%,-29.89%,-54.45%,-55.26%
38,EBITDA,44.52,32.74,23.73,21.29,32.08,33.39,28.69,25.33
39,EBITDA Margin,17.82%,14.35%,12.91%,10.69%,17.43%,16.47%,17.85%,15.29%
40,D&A For EBITDA,5.71,10.53,5.71,6.15,3.79,5.31,3.79,4.48
41,EBIT,38.81,22.21,18.02,15.14,28.29,28.08,24.89,20.85
42,EBIT Margin,15.54%,9.73%,9.80%,7.60%,15.37%,13.86%,15.49%,12.59%
43,Effective Tax Rate,9.36%,8.67%,5.20%,12.72%,8.85%,9.97%,7.99%,-
44,Revenue as Reported,249.79,228.2,183.8,746.57,184.03,202.68,160.74,-
