,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,10422,4362,4069,4389,5616,-,-,-,-
1,Enterprise Value,10602,4497,4177,5058,6286,-,-,-,-
2,Last Close Price,105.91,44.33,41.35,44.38,56.80,-,-,-,-
3,PE Ratio,119.94,53.63,54.57,59.73,70.30,-,-,-,-
4,Forward PE,113.88,34.51,-,-,-,-,-,-,-
5,PS Ratio,11.33,5.07,5.12,5.70,7.52,-,-,-,-
6,PB Ratio,8.77,3.67,3.51,3.78,4.89,-,-,-,-
7,P/TBV Ratio,3.86,3.86,3.69,3.98,5.16,-,-,-,-
8,P/FCF Ratio,298.09,124.77,-,-192.96,-43.44,-,-,-,-
9,P/OCF Ratio,34.75,34.75,29.51,28.12,58.69,-,-,-,-
10,EV/Sales Ratio,12.32,5.22,5.25,6.57,8.42,-,-,-,-
11,EV/EBITDA Ratio,79.71,36.78,38.03,45.78,54.44,-,-,-,-
12,EV/EBIT Ratio,109.65,47.75,49.93,56.49,65.20,-,-,-,-
13,EV/FCF Ratio,303.25,128.62,-,-222.38,-48.62,-,-,-,-
14,Debt / Equity Ratio,0.32,0.32,0.31,0.57,0.59,-,1.23,1.04,1.04
15,Debt / EBITDA Ratio,2.90,2.16,2.43,6.98,7.29,-,4.63,4.77,5.39
16,Debt / FCF Ratio,11.02,11.02,-,-29.12,-5.23,-,-,-,-
17,Asset Turnover,0.53,0.46,-,0.38,-,-,-,-,
18,Inventory Turnover,-,2.74,3.07,-,2.90,-,-,-,-
19,Quick Ratio,1.16,1.16,1.37,1.90,1.85,-,0.63,-,0.65
20,Current Ratio,1.66,1.66,1.87,2.36,2.25,-,1.01,-,1.06
21,Return on Equity (ROE),9.25%,7.74%,-,6.60%,-,15.70%,-,-,
22,Return on Assets (ROA),5.18%,2.81%,-,1.80%,-,-,-,-,
23,Return on Capital (ROIC),6.28%,3.33%,-,2.55%,-,6.03%,-,-,
24,Return on Capital Employed (ROCE),7.15%,6.96%,6.20%,5.55%,6.14%,-,7.83%,-,2.47%
25,Earnings Yield,0.78%,1.86%,1.83%,1.67%,1.42%,-,-,-,-
26,FCF Yield,0.34%,0.80%,0.79%,-0.52%,-2.30%,-,-,-,-
27,Dividend Yield,0.28%,-,-,-,0.41%,-,-,-,-
28,Payout Ratio,50.05%,8.99%,117.61%,44.89%,32.35%,29.89%,26.80%,26.43%,17.54%
29,Buyback Yield / Dilution,-24.62%,-34.59%,-32.36%,-33.05%,2.90%,-,-,-,-
30,Total Shareholder Return,-24.34%,-34.59%,-32.36%,-33.05%,3.31%,-,-,-,-
