,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,204.88,210.09,553.91,580.4,-,23.27,-,39.48
1,Short-Term Investments,-,10.92,-,-,-,-,-,-
2,Cash & Short-Term Investments,204.88,221.01,553.91,580.4,-,23.27,39.48,39.48
3,Cash Growth,-,849.60%,1303.00%,1370.10%,-,-,-,-
4,Accounts Receivable,444.89,386.59,401.53,391.46,-,352.32,-,323.32
5,Other Receivables,5.49,53.32,10.07,9.47,-,9.44,-,6.71
6,Receivables,450.38,439.92,411.59,400.93,-,361.76,-,330.02
7,Inventory,252.88,220.22,204.31,199.66,-,196.38,-,198.32
8,Prepaid Expenses,-,-,-,3.1,-,10.85,-,-
9,Other Current Assets,28.51,20.66,27.62,12.11,-,21.45,-,35.57
10,Total Current Assets,936.65,901.81,1197,1196,-,613.71,-,603.39
11,"Property, Plant & Equipment",826.17,796.41,790.95,794.78,-,825.29,-,692.42
12,Long-Term Investments,2.45,2.45,12.45,2.45,-,2.45,-,2.45
13,Other Intangible Assets,57.04,58.56,58.75,59.54,-,58.85,-,59.2
14,Long-Term Deferred Tax Assets,24.58,24.02,23.29,19.93,-,25.41,-,26.87
15,Long-Term Deferred Charges,20.7,25.58,19.4,16.42,-,18.71,-,20.15
16,Other Long-Term Assets,51.03,21.45,19.58,11.08,-,7.65,-,5.52
17,Total Assets,1919,1830,2122,2100,-,1552,-,1410
18,Accounts Payable,185.33,167.13,163.73,167.42,-,246.66,-,280.69
19,Accrued Expenses,34.46,34.41,25.01,49.38,-,23.85,-,23.08
20,Short-Term Debt,148.09,113.58,153.65,221.73,-,287.25,-,211.34
21,Current Portion of Long-Term Debt,156.73,133.13,140.92,58.64,-,42,-,37.07
22,Current Portion of Leases,-,5.99,-,7.13,-,8.38,-,-
23,Current Income Taxes Payable,12,2.55,9.1,-,-,-,-,8.64
24,Current Unearned Revenue,1.2,0.99,0.91,0.99,-,1.17,-,0.39
25,Other Current Liabilities,27.97,23.6,14.24,26.11,-,0.35,-,5.34
26,Total Current Liabilities,565.78,481.38,507.56,531.39,-,609.65,-,566.57
27,Long-Term Debt,74,98.02,365.84,385.25,-,349.48,-,290.22
28,Long-Term Leases,6.51,5.01,1.97,3.06,-,5.21,-,7.66
29,Long-Term Unearned Revenue,60.76,61.71,62.13,9.19,-,8.45,-,9.37
30,Long-Term Deferred Tax Liabilities,12.77,12.78,12.47,13.03,-,14.06,-,11.51
31,Other Long-Term Liabilities,10.89,10.64,10.89,10.27,-,0.62,-,0.65
32,Total Liabilities,730.72,669.54,960.87,952.18,-,987.47,-,885.97
33,Common Stock,98.4,98.4,75.69,75.69,-,56.77,-,56.77
34,Additional Paid-In Capital,698.81,698.81,721.52,721.52,-,196.16,-,196.16
35,Retained Earnings,389.57,362.4,362.65,349.88,-,310.54,-,269.96
36,Comprehensive Income & Other,1.13,1.13,1.13,1.13,-,1.13,-,1.13
37,Shareholders' Equity,1188,1161,1161,1148,-,564.61,524.05,524.02
38,Total Liabilities & Equity,1919,1830,2122,2100,-,1552,-,1410
39,Total Debt,385.33,355.72,662.38,675.8,-,692.32,546.91,546.29
40,Net Cash (Debt),-180.45,-134.72,-108.47,-95.39,-,-669.05,-507.43,-506.81
41,Net Cash Per Share,-1.81,-1.37,-1.11,-1.32,-,-9.03,-6.91,-6.79
42,Filing Date Shares Outstanding,98.4,98.4,98.4,98.4,73.92,73.8,73.39,74.64
43,Total Common Shares Outstanding,98.4,98.4,98.4,98.4,73.92,73.8,73.39,74.64
44,Working Capital,370.87,420.43,689.88,664.81,-,4.07,-,36.82
45,Book Value Per Share,12.07,11.80,11.80,11.67,-,7.65,7.09,7.02
46,Tangible Book Value,1131,1102,1102,1089,-,505.75,464.85,464.83
47,Tangible Book Value Per Share,11.49,11.20,11.20,11.06,-,6.85,6.29,6.23
48,Buildings,-,606.37,-,606.37,-,27.1,-,-
49,Machinery,-,260.67,-,210.58,-,191.73,-,-
50,Construction In Progress,-,19.52,-,49.06,-,661.61,-,-
