,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q1 2019,Q1 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018"
0,Revenue,30097,9984,6081,5081,30476,-1040,300,-,724.75,3500,-,3357,12468,11219,9743,9438,9719,9903,7504,11184
1,Revenue Growth (YoY),-1.24%,-,1927.06%,-,4105.06%,-,-,-,-94.19%,-68.80%,-,-64.44%,28.29%,13.29%,29.84%,-15.61%,-,-,-,-
2,Cost of Revenue,19236,8374,4654,3779,22207,898.51,165.01,-,3091,-,-,1823,9630,6835,5354,5590,6571,6374,5167,7851
3,Gross Profit,10861,1610,1428,1301,8269,-1939,134.99,-,-2367,3500,-,1534,2839,4383,4389,3848,3148,3529,2336,3333
4,"Selling, General & Admin",1234,1023,903.75,707.09,1476,1051,1090,1040,922.6,1342,845.52,2057,3487,1954,1886,2145,1449,1453,1068,972.86
5,Operating Expenses,1234,1023,903.75,707.09,1476,1051,1090,1040,922.6,1342,845.52,2057,3487,1954,1886,2145,1449,1453,1068,972.86
6,Operating Income,9627,586.63,523.9,594.27,6793,-2990,-954.94,-1040,-3289,2158,-845.52,-522.91,-648.74,2430,2503,1704,1700,2077,1269,2361
7,Interest Expense,-840.11,-306.78,-268.08,-263.17,-,-358.54,-141.63,-34.37,-20.68,-65.14,-44.58,-78.58,-109.48,-104.39,-140.13,-219.62,-54.87,-117.65,-23.22,-
8,Interest & Investment Income,1.57,0.55,0.58,0.27,6180,0.45,0.12,0.15,0.16,0.21,0.71,1.29,1.01,0.72,1.07,1136,39.49,3.91,1.58,2.05
9,Other Non Operating Income (Expenses),-57.08,192.91,-0.42,-3,1461,-144.98,1307,-,-1157,-3588,-0.74,-74.4,1976,182.67,-23.04,-12.61,-0.27,-55.04,168,176.7
10,Pretax Income,8731,473.31,255.98,328.38,14434,-3493,210.83,-1074,-4467,-1495,-890.13,-674.6,1218,2509,2341,2607,1684,1908,1415,2539
11,Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-149.49,501.77,472.88,538.52,160.65,422.64,283.56,507.98
12,Net Income,8731,473.31,255.98,328.38,14434,-3493,210.83,-1074,-4467,-1495,-890.13,-674.6,1368,2007,1869,2069,1523,1485,1132,2031
13,Net Income to Common,8731,473.31,255.98,328.38,14434,-3493,210.83,-1074,-4467,-1495,-890.13,-674.6,1368,2007,1869,2069,1523,1485,1132,2031
14,Net Income Growth,-39.51%,-,21.41%,-,-,-,-,-,-,-,-,-,-10.20%,35.14%,65.10%,1.85%,-,-,-,-
15,Shares Outstanding (Basic),11,11,11,11,11,11,11,-,11,-,-,-,11,-,11,11,11,11,10,11
16,Shares Outstanding (Diluted),11,11,11,11,11,11,11,-,11,-,-,-,11,-,11,11,11,11,10,11
