,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q1 2019,Q1 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018"
0,Cash & Equivalents,5650,3995,2671,3465,6274,8260,1977,1498,1643,1550,2672,-,4875,-,7044,-,-,2942,5996,-
1,Cash & Short-Term Investments,5650,3995,2671,3465,6274,8260,1977,1498,1643,1550,2672,4875,4875,-,7044,-,2942,2942,5996,-
2,Cash Growth,-9.95%,-51.64%,35.13%,131.31%,281.86%,432.77%,-26.03%,-69.27%,-66.30%,-,-62.06%,-,65.70%,-,17.46%,-,-,-,-,-
3,Accounts Receivable,38967,7651,22951,36691,36818,8329,10699,11166,10816,38052,38052,-,50792,-,41868,-,-,40626,33863,-
4,Other Receivables,47.62,13424,3066,5929,6687,16968,1216,1317,1201,1292,1105,-,1120,-,1763,-,-,1594,1133,-
5,Receivables,39015,21074,26018,42620,43505,25297,11915,12483,12017,39344,39158,-,51912,-,43631,-,-,42219,34996,-
6,Inventory,5232,5208,4807,4387,2789,12711,8050,7164,7032,9051,8261,-,5701,-,4218,-,-,1061,1743,-
7,Prepaid Expenses,-,-,-,-,-,0.33,-,-,-,34.86,132.18,-,-,-,33.28,-,-,75.62,42.85,-
8,Other Current Assets,3486,12789,7199,1197,2099,1218,4767,5477,6019,5578,5629,-,5274,-,6068,-,-,2903,36,-
9,Total Current Assets,53383,43066,40695,51670,54668,47486,26709,26623,26711,55558,55853,-,67762,-,60994,-,-,49201,42814,-
10,"Property, Plant & Equipment",67521,67886,53322,32947,25160,12747,13002,12518,12725,13964,17825,-,18668,-,22665,-,-,12061,13596,-
11,Long-Term Investments,980,980,980,980,980,-,18359,11009,11009,12150,12150,-,12150,-,12150,-,-,2450,-,-
12,Goodwill,-,-,-,-,-,2083,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17681,-,-,17681,17681,-
14,Other Long-Term Assets,35693,47697,55797,55853,55828,55958,56008,55183,55217,55128,55204,-,55716,-,34957,-,-,52396,54932,-
