,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q1 2019,Q1 2018
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018"
0,Market Capitalization,58684,55483,66152,71487,53349,51215,57617,58684,58684,51215,44813,54416,92827,102429,74688,68286,68286,44813,28808,40545,197390
1,Market Cap Growth,8.33%,8.33%,14.81%,21.82%,-9.09%,0%,28.57%,7.84%,-36.78%,-50.00%,-40.00%,-20.31%,35.94%,128.57%,159.26%,68.42%,-65.41%,-,-,-,-
2,Enterprise Value,100653,107323,114336,96327,69544,60879,66510,58585,57833,50364,45875,52313,90724,98174,70433,68415,68415,44942,22812,-,-
3,Last Close Price,5500.00,5200.00,6200.00,6700.00,5000.00,4800.00,5400.00,5500.00,5500.00,4800.00,4200.00,5100.00,8700.00,9600.00,7000.00,5800.00,5800.00,3262.50,2097.32,2447.82,10708.06
4,PE Ratio,6.00,5.67,4.27,6.20,4.65,5.08,-,-8.60,-,-,-,-,-,14.01,10.00,9.83,11.00,7.26,6.20,12.82,97.17
5,PS Ratio,1.15,1.08,1.28,1.76,1.53,1.72,-3770.13,12.97,-,6.76,2.32,-,2.52,2.39,1.86,1.76,1.87,1.17,1.01,2.17,17.65
6,PB Ratio,0.63,0.60,0.79,0.86,0.64,0.62,0.76,0.74,0.74,0.64,0.40,0.47,0.80,0.88,-,0.60,-,0.38,0.25,0.35,-
7,P/TBV Ratio,0.60,0.60,0.79,0.86,0.64,0.62,0.84,0.74,0.74,0.64,0.40,0.47,0.80,0.88,-,0.72,-,0.45,0.29,0.41,-
8,P/FCF Ratio,-,-,-1.51,-,-,-,-,-,-,-,-2.59,-,-,-,-,1.82,2.73,3.27,4.43,8.57,66.47
9,P/OCF Ratio,3.54,3.54,-1.53,-,-,-,-,-,-,-,-4.24,-,-,-,-,1.81,2.72,3.27,4.43,8.57,66.47
10,EV/Sales Ratio,1.96,2.09,2.21,2.37,2.00,2.05,-,12.95,-,6.64,2.37,-,2.47,2.29,1.76,1.76,1.87,1.17,0.80,-,-
11,EV/EBITDA Ratio,7.65,10.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,8.88,9.47,13.46,19.57,20.20,33.67,-,-,-,-,325.72,-,-,-,8.45,8.57,10.14,6.07,4.00,-,-
13,EV/FCF Ratio,-3.15,-,-2.61,-,-,-,-,-,-,-,-2.65,-,-,-,-,1.82,2.73,3.28,3.51,-,-
14,Debt / Equity Ratio,0.51,0.51,0.67,0.61,0.34,0.27,0.17,0.14,0.02,0.01,0.01,0.03,0.02,0.02,-,0.02,-,0.03,0.03,-,-
15,Debt / EBITDA Ratio,3.62,1.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-1.28,-,-,-,-,-,-,-,-0.04,-,-,-,-,0.07,-,0.22,0.47,-,-
17,Asset Turnover,0.76,0.26,0.17,0.15,0.96,-,0.01,-,0.02,0.10,-,-,-,-,-,-,-,-,-,-,
18,Inventory Turnover,8.99,14.74,6.69,4.05,4.21,11.46,0.35,0.09,-,1.54,-,-,-,-,-,-,-,-,-,-,-
19,Quick Ratio,1.64,1.95,0.91,0.43,1.25,1.19,0.94,0.50,0.95,0.98,3.48,3.49,-,2.36,-,2.68,-,-,4.19,4.98,-
20,Current Ratio,2.34,2.34,1.57,0.60,1.41,1.31,1.33,0.96,1.81,1.91,4.73,4.66,-,2.81,-,3.22,-,-,4.56,5.20,-
21,Return on Equity (ROE),39.63%,2.27%,1.23%,1.58%,72.97%,-18.06%,1.07%,-,-18.50%,-5.24%,-,-2.31%,-,-,-,-,5.20%,-,-,-,
22,Return on Assets (ROA),15.17%,0.94%,0.90%,1.07%,13.32%,-6.43%,-2.18%,-,-6.78%,3.88%,-,-,-,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),17.21%,1.07%,1.07%,1.37%,17.54%,-8.38%,-2.80%,-,-8.44%,4.64%,-,-1.10%,-,-,-,-,3.53%,-,-,-,
24,Return on Capital Employed (ROCE),8.41%,8.41%,6.43%,5.91%,3.29%,1.91%,-,-,-,-,0.11%,-,-,-,-,6.16%,-,-,4.64%,3.00%,-
25,Earnings Yield,16.68%,17.64%,23.42%,16.12%,21.52%,19.68%,-15.31%,-11.63%,-13.51%,-14.70%,-3.77%,3.33%,4.92%,7.14%,10.00%,10.17%,9.09%,13.77%,16.14%,7.80%,1.03%
26,FCF Yield,-54.52%,-57.66%,-66.17%,-68.09%,-51.15%,-37.37%,-14.71%,-10.31%,-7.51%,-12.81%,-38.56%,-,-7.75%,9.53%,43.09%,55.04%,36.67%,30.58%,22.55%,11.67%,1.50%
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,468.02%,-,-,-,-,-,-,-
28,Buyback Yield / Dilution,-,-,-,-,0.01%,-,-,-,4.55%,-,-,-,-4.96%,-,-1.89%,0.25%,-,-,-,-,
29,Total Shareholder Return,-,-,-,-,0.01%,-,-,-,4.55%,-,-,-,-4.96%,-,-1.89%,0.25%,-,-,-,-,
