,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Cash & Equivalents,275926.0,165728.0
1,Short-Term Investments,369265.0,390053.0
2,Trading Asset Securities,547822.0,592619.0
3,Cash & Short-Term Investments,1193013.0,1148400.0
4,Accounts Receivable,338156.0,349564.0
5,Other Receivables,48447.0,31203.0
6,Receivables,448225.0,475389.0
7,Inventory,28050.0,32535.0
8,Prepaid Expenses,16655.0,19435.0
9,Other Current Assets,72873.0,59092.0
10,Total Current Assets,1758817.0,1734851.0
11,"Property, Plant & Equipment",789891.0,548252.0
12,Long-Term Investments,242357.0,265617.0
13,Goodwill,130933.0,143526.0
14,Other Intangible Assets,34204.0,35771.0
15,Long-Term Accounts Receivable,26100.0,33100.0
16,Long-Term Deferred Tax Assets,37840.0,34408.0
17,Other Long-Term Assets,250569.0,254587.0
18,Total Assets,3270711.0,3050111.0
19,Accounts Payable,254521.0,278758.0
20,Accrued Expenses,94963.0,77322.0
21,Short-Term Debt,199653.0,265090.0
22,Current Portion of Long-Term Debt,384758.0,13008.0
23,Current Income Taxes Payable,20921.0,18487.0
24,Current Unearned Revenue,281.0,582.95
25,Other Current Liabilities,21661.0,18851.0
26,Total Current Liabilities,976757.0,672099.0
27,Long-Term Debt,189645.0,458845.0
28,Long-Term Deferred Tax Liabilities,57545.0,58173.0
29,Other Long-Term Liabilities,14158.0,14187.0
30,Total Liabilities,1238105.0,1203304.0
31,Common Stock,907847.0,756539.0
32,Additional Paid-In Capital,67260.0,67589.0
33,Retained Earnings,331783.0,308652.0
34,Comprehensive Income & Other,7101.0,7101.0
35,Total Common Equity,1313990.0,1139880.0
36,Minority Interest,718616.0,706927.0
37,Shareholders' Equity,2032606.0,1846807.0
38,Total Liabilities & Equity,3270711.0,3050111.0
39,Total Debt,774056.0,736943.0
40,Net Cash (Debt),418957.0,411457.0
41,Net Cash Per Share,6213.01,5466.59
42,Filing Date Shares Outstanding,90.78,75.27
43,Total Common Shares Outstanding,90.78,75.27
44,Working Capital,782060.0,1062752.0
45,Book Value Per Share,14473.69,15144.36
46,Tangible Book Value,1148852.0,960583.0
47,Tangible Book Value Per Share,12654.7,12762.24
48,Buildings,475353.0,418984.0
49,Machinery,756650.0,751117.0
50,Construction In Progress,366783.0,118247.0
