,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,171,79,101,55,86,105,56,66,249,251,258,Upgrade
1,Market Cap Growth,44.23%,44.23%,18.37%,-48.00%,53.12%,57.89%,-77.53%,-73.52%,-3.52%,1.92%,-33.94%,Upgrade
2,Enterprise Value,100,1,-12,-36,17,89,53,64,273,273,272,Upgrade
3,Last Close Price,0.49,0.23,0.29,0.16,0.24,0.30,0.38,0.45,1.68,2.00,2.06,Upgrade
4,PE Ratio,145.55,-,16.41,13.79,104.94,-,-,-13281.74,-,-,-,Upgrade
5,PS Ratio,0.48,0.22,0.24,0.13,0.24,1.29,-,0.28,1.42,2.57,2.82,Upgrade
6,PB Ratio,1.47,0.67,0.86,0.48,0.74,0.94,1.12,1.28,5.26,10.79,8.80,Upgrade
7,P/TBV Ratio,0.67,0.67,0.86,0.48,0.74,0.94,1.13,1.29,5.30,11.00,8.93,Upgrade
8,P/FCF Ratio,-,-,-,0.94,5.40,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,0.93,4.76,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,0.28,0.00,-,-,0.05,1.10,-,0.27,1.56,2.80,2.98,Upgrade
11,EV/EBITDA Ratio,14.54,-,-,-,1.38,140.45,-,13.09,-,-,-,Upgrade
12,EV/EBIT Ratio,34.02,-,-,-,1.54,-,-,14.66,-,-,-,Upgrade
13,EV/FCF Ratio,-2.19,-,-,-,1.05,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.02,0.02,0.03,0.08,0.06,0.12,0.47,0.65,0.67,1.29,0.90,Upgrade
15,Debt / FCF Ratio,-,-,-,0.15,0.41,-,-,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),1.49%,-,7.28%,12.34%,9.10%,-,-,7.97%,-,-,-,Upgrade
17,Earnings Yield,0.70%,1.51%,6.10%,7.25%,0.95%,-1.48%,-,-0.01%,-4.24%,-4.41%,-4.60%,Upgrade
18,FCF Yield,-26.75%,-58.05%,-7.18%,106.69%,18.53%,-12.11%,-,-2.47%,-1.77%,-4.21%,-8.93%,Upgrade
19,Buyback Yield / Dilution,-0.04%,-,-0.08%,-37.73%,-,-81.51%,-,-18.17%,-0.10%,0.00%,-0.03%,Upgrade
20,Total Shareholder Return,-0.04%,-,-0.08%,-37.73%,-,-81.51%,-,-18.17%,-0.10%,0.00%,-0.03%,Upgrade
