,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,366,443,186,157,191,206,1126,-,-,-
1,Market Cap Growth,181.82%,181.82%,-2.99%,-23.61%,-82.99%,-,-,-,-,-
2,Enterprise Value,-303,-208,-207,-232,-142,-111,1075,-,-,-
3,Last Close Price,1.28,1.55,0.65,0.55,0.67,0.72,3.94,-,-,-
4,PE Ratio,3.21,3.88,1.65,1.72,2.20,2.17,12.99,-,-,-
5,PS Ratio,0.54,0.66,0.28,0.25,0.29,0.31,1.69,-,-,-
6,PB Ratio,0.57,0.68,0.31,0.28,0.37,0.41,2.44,-,-,-
7,P/TBV Ratio,0.73,0.73,0.33,0.32,0.43,0.48,2.89,-,-,-
8,P/FCF Ratio,1.34,1.62,0.70,1.69,1.87,-21.61,-,-,-,-
9,P/OCF Ratio,1.60,1.60,0.69,1.65,1.81,-27.30,-,-,-,-
10,EV/Sales Ratio,-,-,-,-,-,-,1.62,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,10.16,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,10.49,-,-,-
13,Debt / Equity Ratio,-,-,-,-,-,0.00,0.00,0.01,0.01,-
14,Debt / FCF Ratio,-,-,-,-,-,-0.05,-,0.01,0.01,-
15,Return on Capital Employed (ROCE),19.25%,19.25%,22.17%,23.70%,22.71%,21.92%,22.08%,94.16%,70.10%,-
16,Earnings Yield,31.17%,25.74%,60.43%,58.28%,45.48%,46.10%,7.70%,-,-,-
17,FCF Yield,74.59%,61.59%,142.86%,59.02%,53.52%,-4.63%,0.06%,-,-,-
18,Buyback Yield / Dilution,-,-,-,-1.71%,-36.04%,-33.75%,-,-,-,
19,Total Shareholder Return,-,-,-,-1.71%,-36.04%,-33.75%,-,-,-,
