,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,640,602.92,386.37,360.99,307.09,275.4,59.93,68.27,-
1,Short-Term Investments,-,3.29,-,2.67,-,2.5,-,2.54,-
2,Cash & Short-Term Investments,640,606.21,386.37,363.66,307.09,277.9,59.93,70.82,-
3,Cash Growth,65.64%,66.70%,25.82%,30.86%,412.40%,292.42%,-,-,-
4,Accounts Receivable,167.36,139.74,300.93,260.03,277.76,225.87,138.08,121.74,-
5,Other Receivables,-,21.34,-,15.73,-,18.22,-,29.57,-
6,Receivables,167.36,161.08,300.93,275.77,277.76,244.09,138.08,151.3,-
7,Inventory,1.04,1.04,1.27,1.39,1.39,1.52,2.16,2.16,-
8,Other Current Assets,41.63,24.01,35.59,8.68,36,13.3,35.58,13.34,-
9,Total Current Assets,850.02,792.34,724.16,649.5,622.23,536.8,235.74,237.61,-
10,"Property, Plant & Equipment",4.42,5.66,3.3,3.29,2.55,1.95,2.05,2.39,-
11,Long-Term Investments,7.02,6.69,6.24,5.78,6,5.36,5.88,6.39,-
12,Goodwill,18.47,18.47,18.47,22.77,22.77,22.77,22.77,22.77,-
13,Other Intangible Assets,8.43,8.77,13.95,14.98,15.39,16.57,17.19,18.34,-
14,Long-Term Deferred Tax Assets,5.98,5.7,6.89,6.27,4.58,4.5,3.7,3.7,-
15,Total Assets,894.34,837.62,773.01,702.59,673.52,587.95,287.33,291.21,-
16,Accounts Payable,28.56,31.4,39.58,48.32,37.46,31.1,27.27,19.13,-
17,Accrued Expenses,-,33.46,-,27.51,-,29.96,22.48,26.58,-
18,Current Portion of Leases,-,-,-,-,0.38,0.75,0.74,0.71,-
19,Current Income Taxes Payable,6.18,2.31,6.29,7.52,5.24,6.17,5.45,6.86,-
20,Current Unearned Revenue,134.72,132.56,117.02,101.04,109.44,77.43,68.29,62.36,-
21,Other Current Liabilities,113.88,87.05,97.76,63.29,93.77,64.39,74.31,59.59,-
22,Total Current Liabilities,283.33,286.79,260.65,247.67,246.29,209.8,198.55,175.22,-
23,Long-Term Leases,-,-,-,-,-,-,0.19,0.78,-
24,Long-Term Deferred Tax Liabilities,1.04,1.14,1.9,2.07,2.24,2.41,2.57,2.74,-
25,Total Liabilities,284.37,287.93,262.56,249.74,248.53,212.2,201.31,178.74,-
26,Common Stock,2.38,2.38,2.38,2.38,2.38,2.38,-,-,-
27,Additional Paid-In Capital,250.93,250.93,250.93,250.93,250.93,250.93,-,-,-
28,Retained Earnings,348.25,290.23,242.17,188.37,157.43,111.37,76.49,40.75,-
29,Comprehensive Income & Other,-8.93,-8.91,-8.31,-8.43,-8.08,-8.08,-7.51,56.04,-
30,Total Common Equity,592.63,534.63,487.17,433.25,402.66,356.6,68.98,96.79,-
31,Minority Interest,17.34,15.06,23.28,19.6,22.33,19.15,17.05,15.68,-
32,Shareholders' Equity,609.97,549.69,510.45,452.85,424.99,375.75,86.02,112.47,-
33,Total Liabilities & Equity,894.34,837.62,773.01,702.59,673.52,587.95,287.33,291.21,-
34,Total Debt,-,-,-,-,0.38,0.75,0.93,1.49,-
35,Net Cash (Debt),640,606.21,386.37,363.66,306.71,277.15,59,69.33,-
36,Net Cash Growth,65.64%,66.70%,25.97%,31.22%,419.86%,299.76%,-,-,-
37,Net Cash Per Share,2.24,2.12,1.35,1.27,1.07,0.99,0.28,0.33,-
38,Filing Date Shares Outstanding,285.69,285.69,285.69,285.69,285.69,285.69,280,280,210
39,Total Common Shares Outstanding,285.69,285.69,285.69,285.69,285.69,285.69,210,-,210
40,Working Capital,566.69,505.55,463.51,401.83,375.95,327.01,37.2,62.39,-
41,Book Value Per Share,2.07,1.87,1.71,1.52,1.41,1.25,0.33,-,-
42,Tangible Book Value,565.73,507.39,454.75,395.49,364.5,317.26,29.01,55.68,-
43,Tangible Book Value Per Share,1.98,1.78,1.59,1.38,1.28,1.11,0.14,-,-
44,Machinery,-,10.86,-,6.98,-,4.05,-,3.24,-
