,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,313.29,314.44,294.66,294.35,283.35,286.15,255.02,233.02,195.14
1,Revenue Growth (YoY),6.32%,6.82%,3.99%,2.87%,11.11%,22.80%,30.69%,-,-
2,Cost of Revenue,213.73,220.09,194.29,212.21,198.39,210.65,175.45,151.57,131.8
3,Gross Profit,99.56,94.35,100.37,82.15,84.96,75.5,79.57,81.45,63.34
4,"Selling, General & Admin",27.48,32.09,24.51,28.16,28.26,33.54,33.67,41.26,20.3
5,Other Operating Expenses,-,-0.11,-,-,-,-2.24,2.24,-,-
6,Operating Expenses,32.13,44.17,28.43,32.67,31.13,35.69,35.91,41.51,21.97
7,Operating Income,67.43,50.18,71.94,49.47,53.83,39.82,43.67,39.94,41.37
8,Interest Expense,-,-,-0,-,-0.01,-0.01,-0.02,-0.02,-0.03
9,Interest & Investment Income,-,7.4,-,4.38,-,0.57,-,0.07,0.05
10,Earnings From Equity Investments,0.71,0.26,0.77,0.46,0.65,0.14,0.07,0.02,-0.01
11,Other Non Operating Income (Expenses),3.33,-14.01,2.77,-1.78,2.46,1.63,1,2.12,0.7
12,EBT Excluding Unusual Items,71.47,43.82,75.48,52.53,56.93,42.14,44.71,42.13,42.08
13,Impairment of Goodwill,-,4.3,-4.3,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,-,-,0.02,-,-,-,-,-
15,Other Unusual Items,0.11,7.59,0.68,-13.54,-,0.76,-,-,-
16,Pretax Income,71.58,55.72,71.86,39,56.93,42.91,44.71,42.13,42.08
17,Income Tax Expense,11.25,9.75,13.2,7.92,7.76,6.07,6.38,7.31,6.64
18,Earnings From Continuing Operations,60.33,45.97,58.66,31.09,49.17,36.83,38.34,34.82,35.44
19,Minority Interest in Earnings,-2.31,2.1,-4.85,-0.15,-3.1,-1.95,-2.6,-2.16,-2.89
20,Net Income,58.02,48.06,53.8,30.94,46.07,34.88,35.73,32.66,32.55
21,Net Income to Common,58.02,48.06,53.8,30.94,46.07,34.88,35.73,32.66,32.55
22,Net Income Growth,7.84%,55.34%,16.80%,-11.30%,28.91%,6.78%,9.77%,-,-
23,Shares Outstanding (Basic),286,286,286,286,286,281,210,210,210
24,Shares Outstanding (Diluted),286,286,286,286,286,281,210,210,210
25,Shares Change (YoY),-,-,-,1.71%,36.04%,33.75%,-,-,-
26,EPS (Basic),0.20,0.17,0.19,0.11,0.16,0.12,0.17,0.16,0.16
27,EPS (Diluted),0.20,0.17,0.19,0.11,0.16,0.12,0.17,0.16,0.16
28,EPS Growth,7.84%,55.34%,16.80%,-12.79%,-5.24%,-20.16%,9.77%,-,-
29,Free Cash Flow,38.38,215.46,25.34,60.48,30.13,-38.26,38.76,104.36,10.31
30,Free Cash Flow Per Share,0.13,0.75,0.09,0.21,0.11,-0.14,0.18,0.50,0.05
31,Operating Margin,21.52%,15.96%,24.41%,16.81%,19.00%,13.91%,17.12%,17.14%,21.20%
32,Profit Margin,18.52%,15.28%,18.26%,10.51%,16.26%,12.19%,14.01%,14.02%,16.68%
33,Free Cash Flow Margin,12.25%,68.52%,8.60%,20.55%,10.63%,-13.37%,15.20%,44.79%,5.28%
34,EBITDA,70.22,51.43,73.99,51.04,55.35,41.12,45.11,41.22,42.67
35,D&A For EBITDA,2.78,1.25,2.06,1.56,1.53,1.31,1.45,1.28,1.3
36,EBIT,67.43,50.18,71.94,49.47,53.83,39.82,43.67,39.94,41.37
