,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,93675,733.38,8378,11598,51338,7394,8393,-,3466,-,-,13320,47305,41205,-,-
1,Cash & Short-Term Investments,93675,733.38,8378,11598,51338,7394,8393,-,3466,-,13320,13320,47305,41205,-,-
2,Cash Growth,82.47%,-90.08%,-0.18%,-,1381.33%,-,-36.99%,-,-92.67%,-,-,-,-,-,-,-
3,Accounts Receivable,40794,23346,20390,21780,25311,29873,29924,-,41799,-,-,22840,42596,31472,-,-
4,Other Receivables,2197,2406,8260,4831,3305,6441,5451,-,3077,-,-,3553,1813,2895,-,-
5,Receivables,42992,25751,28649,26611,28617,36314,35375,-,44877,-,-,26394,44408,34367,-,-
6,Inventory,24115,13471,22079,32036,13371,12007,15471,-,12472,-,-,38190,19987,17315,-,-
7,Other Current Assets,15187,37851,33852,40199,30546,28505,30389,-,28490,-,-,27527,10447,15076,-,-
8,Total Current Assets,175969,77807,92959,110445,123872,84219,89628,-,89305,-,-,105430,122147,107962,-,-
9,"Property, Plant & Equipment",8209,24507,32095,33487,34879,35581,36830,-,39487,-,-,43845,45450,46585,-,-
10,Long-Term Investments,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Other Intangible Assets,-,18000,18000,18000,18000,18000,18000,-,18000,-,-,18000,18000,18000,-,-
12,Other Long-Term Assets,-,8865,8925,8986,9046,9106,9167,-,9287,-,-,7942,7892,7726,-,-
13,Total Assets,184178,147180,151979,170918,185797,146907,153624,-,156079,-,-,175217,193488,180273,-,-
14,Accounts Payable,35399,35791,20247,16841,23565,14628,14774,-,19961,-,-,20481,28176,21758,-,-
15,Accrued Expenses,2996,3872,2580,1415,3853,4077,3180,-,4750,-,-,3870,2520,1748,-,-
16,Short-Term Debt,-,-,-,-,4970,6170,6220,-,9986,-,-,-,-,-,-,-
17,Current Income Taxes Payable,11241,1335,529.75,11.56,76.96,14.27,13.61,-,106.71,-,-,6,82.15,1287,-,-
18,Other Current Liabilities,22641,31908,56912,82970,84024,52802,59870,-,52115,-,-,80788,93925,78712,-,-
19,Total Current Liabilities,72277,72906,80270,101238,116489,77691,84058,-,86919,-,-,105145,124702,103506,-,-
20,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,2150,-,-
21,Other Long-Term Liabilities,3892,4272,4402,4402,4402,4602,4602,-,4422,-,-,4222,4222,4222,-,-
22,Total Liabilities,76170,77179,84672,105640,120891,82293,88660,-,91342,-,-,109367,128924,109878,-,-
23,Common Stock,36000,36000,36000,36000,36000,36000,36000,-,36000,-,-,36000,36000,36000,-,-
24,Additional Paid-In Capital,11617,11617,11557,11557,11557,11557,11557,-,11557,-,-,11557,11557,11557,-,-
25,Retained Earnings,60391,22384,20211,18181,17809,17517,17868,-,17641,-,-,18754,17467,23298,-,-
26,Treasury Stock,-,-,-460,-460,-460,-460,-460,-,-460,-,-,-460,-460,-460,-,-
27,Shareholders' Equity,108008,70001,67307,65278,64906,64614,64965,-,64737,-,65850,65850,64564,70395,-,-
28,Total Liabilities & Equity,184178,147180,151979,170918,185797,146907,153624,-,156079,-,-,175217,193488,180273,-,-
29,Total Debt,-,-,-,-,4970,6170,6220,-,9986,-,-,-,-,2150,-,-
30,Net Cash (Debt),93675,733.38,8378,11598,46368,1224,2173,-,-6520,-,13320,13320,47305,39055,-,-
31,Net Cash Growth,102.03%,-40.07%,285.55%,-,-,-,-83.69%,-,-,-,-,-,-,-,-,-
32,Net Cash Per Share,26020.79,203.79,2340.57,3243.58,13029.91,341.62,606.23,-,-1878.29,-,3672.97,3727.17,-,10914.95,-,-
33,Filing Date Shares Outstanding,3.6,3.6,3.58,3.58,3.56,3.58,3.58,3.57,3.47,3.58,3.63,3.57,-,3.58,3.58,3.58
34,Total Common Shares Outstanding,3.6,3.6,3.58,3.58,3.56,3.58,3.58,3.57,3.47,3.58,3.63,3.57,-,3.58,3.58,3.58
35,Working Capital,103692,4901,12689,9207,7383,6529,5570,-,2386,-,-,285.75,-2556,4456,-,-
36,Book Value Per Share,30002.18,19444.68,18803.46,18256.04,18239.37,18036.42,18124.03,-,18262.10,-,18426.26,18426.26,-,19673.88,-,-
37,Tangible Book Value,108008,52001,49307,47278,46906,46614,46965,-,46737,-,47850,47850,46564,52395,-,-
38,Tangible Book Value Per Share,30002.18,14444.68,13774.84,13222.03,13181.14,13011.88,13102.35,-,13184.40,-,13389.50,13389.50,-,14643.27,-,-
39,Construction In Progress,-,-,-,-,-,3751,3751,-,3751,-,-,4328,3996,3996,-,-
