,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q3 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Market Capitalization,145800,122400,106560,78694,67963,67963,67963,74759,100871,74044,72971,83702,110887,116253,135926,154800,-
1,Market Cap Growth,80.10%,80.10%,56.79%,5.26%,-32.62%,-8.21%,-6.86%,-10.68%,-9.03%,-36.31%,-46.32%,-45.93%,-,-,-,-,-
2,Enterprise Value,52125,121667,98182,67096,21595,66739,65790,81280,107392,78451,59651,70382,71832,77198,-,-,-
3,Last Close Price,40500.00,34000.00,29600.00,22000.00,19000.00,19000.00,19000.00,20900.00,28200.00,20700.00,20400.00,23400.00,31000.00,32500.00,38000.00,41800.00,-
4,PE Ratio,3.40,2.87,21.90,34.66,72.86,65.43,-,-1669.51,-158.84,-,-,31.79,17.54,-,19.45,26.96,-
5,PS Ratio,0.42,0.36,0.51,0.50,0.66,0.62,0.58,0.55,0.61,0.45,0.62,0.97,1.12,-,1.48,2.05,-
6,PB Ratio,1.35,1.13,1.52,1.17,1.04,1.05,1.05,1.15,-,1.14,-,1.27,1.68,1.80,1.93,-,-
7,P/TBV Ratio,1.13,1.13,2.05,1.60,1.44,1.45,1.46,1.59,-,1.58,-,1.75,2.32,2.50,2.59,-,-
8,P/FCF Ratio,-,-4.42,-,-,-,1.15,-,-,-17.78,-,-1.34,-,-,-,-,-,-
9,P/OCF Ratio,-,-4.42,-,-,-,1.13,-,-,-21.14,-,-1.37,-,-,-,-,-,-
10,EV/Sales Ratio,0.15,0.36,0.47,0.42,0.21,0.60,0.56,0.59,0.65,0.47,0.51,0.81,0.73,-,-,-,-
11,EV/EBITDA Ratio,0.93,2.18,9.10,11.35,5.19,20.39,-,16.00,32.10,21.38,34.34,16.14,7.44,-,-,-,-
12,EV/EBIT Ratio,1.04,2.42,19.34,217.36,-15.64,-,-,-229.91,-,-46.18,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-4.39,-,-,-,1.13,-,-,-18.93,-,-1.09,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,0.08,0.10,0.10,-,0.15,-,-,-,-,0.03,-,-
15,Debt / EBITDA Ratio,-,-,-,-,-,1.23,-,0.72,-,1.29,-,-,-,-,0.19,-,-
16,Debt / FCF Ratio,-,-,-,-,-,0.08,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,4.17,2.12,1.75,0.42,0.99,0.74,-,-,-,-,-,-,-,-,-,-,
18,Inventory Turnover,15.10,26.74,16.69,9.76,3.03,12.26,8.15,-,-,-,-,-,-,-,-,-,-
19,Quick Ratio,1.86,1.89,0.36,0.46,0.38,0.69,0.56,0.52,-,0.56,-,-,0.38,0.74,0.73,-,-
20,Current Ratio,2.43,2.43,1.07,1.16,1.09,1.06,1.08,1.07,-,1.03,-,-,1.00,0.98,1.04,-,-
21,Return on Equity (ROE),170.81%,12.66%,12.25%,2.29%,1.80%,-2.61%,-,-,-,-,0.62%,-,-,-,-,-,
22,Return on Assets (ROA),67.53%,4.68%,3.86%,0.37%,-0.72%,-3.27%,-,-,-,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),125.71%,10.20%,9.40%,0.97%,-1.71%,-6.93%,-,-,-,-,-3.46%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),44.96%,44.96%,6.83%,0.43%,-1.98%,-,-,-0.51%,-,-2.46%,-,-,-,-,10.36%,-,-
25,Earnings Yield,29.21%,34.79%,4.57%,2.89%,1.37%,1.53%,1.10%,-0.06%,-0.63%,0.23%,0.24%,3.15%,5.70%,-,5.14%,3.71%,-
26,FCF Yield,-22.64%,-22.64%,-11.04%,7.37%,13.34%,87.24%,17.85%,-,-5.62%,-76.62%,-74.85%,-67.95%,-42.24%,-,-,-7.12%,-
27,Buyback Yield / Dilution,-6.60%,-1.16%,-0.45%,0.14%,-0.28%,-2.51%,-0.10%,1.16%,0.23%,-,-0.02%,-1.43%,0.07%,-,-,-,-
28,Total Shareholder Return,-6.60%,-1.16%,-0.45%,0.14%,-0.28%,-2.51%,-0.10%,1.16%,0.23%,-,-0.02%,-1.43%,0.07%,-,-,-,-
