,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Revenue,172600,79128,70552,18688,41315,27889,14496,26808,48132,47390,43808,26784,-,16125,55869,19682
1,Revenue Growth (YoY),317.77%,183.72%,386.70%,-30.29%,-14.16%,-41.15%,-66.91%,0.09%,-,193.90%,-21.59%,36.09%,-,-,-,-
2,Cost of Revenue,125654,74177,66001,17171,38880,27991,12105,25602,44204,46793,42336,24568,-,12584,48702,15045
3,Gross Profit,46946,4950,4551,1517,2435,-101.6,2391,1206,3928,597.13,1473,2217,-,3540,7167,4636
4,"Selling, General & Admin",2192,2150,2059,1254,2915,1865,1589,1795,3370,1722,2385,2436,-,2040,2807,2543
5,Operating Expenses,2192,2150,2059,1254,2915,1865,1589,1795,3370,1722,2385,2436,-,2040,2807,2543
6,Operating Income,44754,2800,2492,263.28,-480.15,-1966,802.43,-589.09,557.79,-1125,-912.67,-219.42,-,1500,4359,2093
7,Interest Expense,-,-,-,-,-12.86,-,-,-15.64,-100.86,-88.39,-35.65,-,-,-,-,-
8,Interest & Investment Income,119.27,124.05,46.42,203.17,101,53.27,65.35,172.75,2.79,1.43,26.8,82.19,-,57.53,380.33,3.3
9,Other Non Operating Income (Expenses),2648,262.13,-1.11,-1.29,655.15,1490,-0.69,1029,-401.3,-1.55,1048,1745,-,-1.22,-2,349.73
10,Pretax Income,47521,3186,2537,465.16,263.13,-422.73,867.09,597.25,58.42,-1213,126.93,1608,-,1557,4738,2446
11,Income Tax Expense,9514,1013,507.67,93.29,-28.67,-,175.29,119.45,59.62,-,25.39,321.63,-,311.6,947.96,493.79
12,Net Income,38007,2174,2030,371.87,291.8,-422.73,691.8,477.8,-1.2,-1213,101.54,1287,-,1245,3790,1953
13,Net Income to Common,38007,2174,2030,371.87,291.8,-422.73,691.8,477.8,-1.2,-1213,101.54,1287,-,1245,3790,1953
14,Net Income Growth,12924.95%,-,193.38%,-22.17%,-,-,581.30%,-62.86%,-,-,-97.32%,-34.11%,-,-,-,-
15,Shares Outstanding (Basic),4,4,4,4,4,4,4,4,3,4,4,4,-,4,4,4
16,Shares Outstanding (Diluted),4,4,4,4,4,4,4,4,3,4,4,4,-,4,4,4
17,Shares Change (YoY),1.16%,0.45%,-0.14%,0.28%,2.51%,0.10%,-1.16%,-0.23%,-,0.02%,1.43%,-0.07%,-,-,-,-
18,EPS (Basic),10557.51,604.00,567.00,104.00,82.00,-118.00,193.00,134.00,-0.35,-339.00,28.00,360.00,-,348.00,1060.00,546.00
19,EPS (Diluted),10557.51,604.00,567.00,104.00,82.00,-118.00,193.00,134.00,-0.35,-339.00,28.00,360.00,-,348.00,1060.00,546.00
20,EPS Growth,12775.01%,-,193.78%,-22.39%,-,-,589.29%,-62.78%,-,-,-97.36%,-34.07%,-,-,-,-
21,Free Cash Flow,29104,-18572,-3266,-34973,45043,-1002,-,15247,-2116,2257,-21061,-35812,-,-,-11025,-
22,Free Cash Flow Per Share,8084.52,-5160.87,-912.51,-9780.76,12657.62,-279.83,-,4276.11,-609.58,630.67,-5807.49,-10021.07,-,-,-3083.67,-
23,Gross Margin,27.20%,6.26%,6.45%,8.12%,5.89%,-0.36%,16.50%,4.50%,8.16%,1.26%,3.36%,8.28%,-,21.95%,12.83%,23.56%
24,Operating Margin,25.93%,3.54%,3.53%,1.41%,-1.16%,-7.05%,5.54%,-2.20%,1.16%,-2.37%,-2.08%,-0.82%,-,9.31%,7.80%,10.64%
25,Profit Margin,22.02%,2.75%,2.88%,1.99%,0.71%,-1.52%,4.77%,1.78%,-0.00%,-2.56%,0.23%,4.80%,-,7.72%,6.78%,9.92%
26,Free Cash Flow Margin,16.86%,-23.47%,-4.63%,-187.15%,109.02%,-3.59%,-,56.88%,-4.40%,4.76%,-48.07%,-133.71%,-,-,-19.73%,-
27,EBITDA,46123,4207,3899,1670,1012,-669.7,2146,784.67,1932,215.51,413.17,1108,-,2839,5708,-
28,EBITDA Margin,26.72%,5.32%,5.53%,8.94%,2.45%,-2.40%,14.80%,2.93%,4.01%,0.45%,0.94%,4.14%,-,17.61%,10.22%,-
29,D&A For EBITDA,1369,1407,1407,1407,1492,1297,1343,1374,1375,1340,1326,1328,-,1338,1349,-
30,EBIT,44754,2800,2492,263.28,-480.15,-1966,802.43,-589.09,557.79,-1125,-912.67,-219.42,-,1500,4359,2093
31,EBIT Margin,25.93%,3.54%,3.53%,1.41%,-1.16%,-7.05%,5.54%,-2.20%,1.16%,-2.37%,-2.08%,-0.82%,-,9.31%,7.80%,10.64%
32,Effective Tax Rate,20.02%,31.79%,20.01%,20.06%,-,-,20.22%,20.00%,102.05%,-,20.00%,20.00%,-,20.02%,20.01%,20.18%
33,Revenue as Reported,172600,79128,70552,18688,41315,27889,14496,26808,48132,47390,43808,26784,-,16125,55869,19682
