,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,127,88,145,157,184,201,265,253,310,315,179,Upgrade
1,Market Cap Growth,-57.38%,-44.09%,-21.10%,-21.85%,-30.57%,-20.67%,-14.67%,-19.57%,73.65%,38.95%,-51.61%,Upgrade
2,Enterprise Value,114,55,158,148,397,441,460,405,808,805,830,Upgrade
3,Last Close Price,0.07,0.05,0.09,0.09,0.11,0.12,0.16,0.15,0.18,0.22,0.15,Upgrade
4,PS Ratio,1.60,1.87,-,7.66,-,1.59,2.14,2.66,4.69,5.52,2.51,Upgrade
5,PB Ratio,0.32,0.22,0.32,0.31,0.34,0.45,0.51,0.48,0.54,0.39,0.21,Upgrade
6,P/TBV Ratio,0.24,0.24,0.34,0.35,0.38,0.45,0.54,0.50,0.57,0.44,0.24,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-3.07,-,-,-,-,Upgrade
8,EV/Sales Ratio,1.44,1.17,-,7.21,-,3.49,3.72,4.27,12.20,14.12,11.67,Upgrade
9,EV/FCF Ratio,-5.88,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Debt / Equity Ratio,0.02,0.02,-,0.29,0.28,0.88,0.82,0.84,0.82,0.69,0.69,Upgrade
11,Earnings Yield,-47.06%,-49.68%,-,-14.43%,-,-27.26%,-15.33%,-86.42%,-78.25%,-23.05%,-19.09%,Upgrade
12,FCF Yield,-15.36%,-13.95%,-,-12.38%,-,-16.04%,-39.88%,-99.77%,-78.12%,-108.14%,-110.30%,Upgrade
13,Buyback Yield / Dilution,-,-,-,-,-,-4.40%,-20.28%,-35.60%,-17.69%,-0.00%,Upgrade,
14,Total Shareholder Return,-,-,-,-,-,-4.40%,-20.28%,-35.60%,-17.69%,-0.00%,Upgrade,
