,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,99109,91791,72774,92430,112671,116064,113958,114309,135428,131918,115128,Upgrade
1,Market Cap Growth,-0.69%,-0.69%,-35.41%,-20.36%,-1.13%,1.54%,-15.85%,-13.35%,17.63%,-12.77%,-37.62%,Upgrade
2,Enterprise Value,148380,134289,112542,124935,134921,135040,126762,125612,144049,150835,132409,Upgrade
3,Last Close Price,17.14,15.82,12.15,14.75,17.63,17.55,16.93,16.46,19.20,18.23,15.68,Upgrade
4,PE Ratio,-,-,32.93,35.05,19.24,14.54,12.03,16.07,26.81,32.21,21.01,Upgrade
5,PS Ratio,6.38,5.85,4.75,5.96,7.41,7.86,7.70,6.61,7.98,9.36,8.12,Upgrade
6,PB Ratio,0.36,0.33,0.26,0.32,0.39,0.40,0.39,0.39,0.47,0.45,0.40,Upgrade
7,P/FCF Ratio,24.40,24.40,16.11,16.98,22.76,24.40,46.12,-,14.19,24.12,24.68,Upgrade
8,P/OCF Ratio,24.40,24.40,16.11,16.98,22.76,24.40,46.12,-,14.19,24.12,24.68,Upgrade
9,EV/Sales Ratio,9.45,8.55,7.35,8.06,8.88,9.14,8.57,7.27,8.49,10.70,9.34,Upgrade
10,EV/EBITDA Ratio,15.38,14.03,12.31,13.36,14.74,15.16,14.30,12.86,14.28,16.38,14.38,Upgrade
11,EV/EBIT Ratio,16.15,14.62,12.75,13.83,15.24,15.60,14.71,13.27,14.72,16.93,14.89,Upgrade
12,EV/FCF Ratio,35.70,35.70,24.92,22.94,27.25,28.39,51.30,-,15.09,27.58,28.39,Upgrade
13,Debt / Equity Ratio,0.18,0.18,0.16,0.15,0.12,0.08,0.07,0.09,0.09,0.10,0.10,Upgrade
14,Debt / FCF Ratio,13.63,13.63,9.95,7.68,6.82,4.98,8.84,-,2.75,5.10,6.06,Upgrade
15,Earnings Yield,-0.77%,-0.83%,3.04%,2.85%,5.20%,6.88%,8.32%,6.22%,3.73%,3.10%,4.76%,Upgrade
16,FCF Yield,4.10%,4.10%,6.21%,5.89%,4.39%,4.10%,2.17%,4.41%,7.05%,4.15%,4.05%,Upgrade
17,Dividend Yield,6.42%,6.95%,8.72%,7.12%,5.73%,5.70%,5.67%,5.77%,4.79%,4.99%,5.68%,Upgrade
18,Buyback Yield / Dilution,0.08%,0.15%,-,-,-,-,-,-,-,-,-,Upgrade
19,Total Shareholder Return,6.49%,7.11%,8.72%,7.12%,5.73%,5.70%,5.67%,5.77%,4.79%,4.99%,5.68%,Upgrade
