,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Market Capitalization,3946,3453,2573,3005,3548,3865,4202,5513,4561,5362,-,-,-,-,-,-,-
1,Market Cap Growth,-10.67%,-10.67%,-38.78%,-45.50%,-22.21%,-27.91%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2583,2139,1236,1707,2250,2706,3036,4019,3067,4834,-,-,-,-,-,-,-
3,Last Close Price,35.87,30.86,23.42,26.81,31.66,34.49,37.50,48.39,40.03,45.45,-,-,-,-,-,-,-
4,PE Ratio,15.84,14.13,13.63,20.05,21.50,21.42,20.63,25.78,19.79,22.14,-,-,-,-,-,-,-
5,PS Ratio,2.36,2.11,1.88,2.68,2.84,3.35,3.64,4.53,3.90,5.00,-,-,-,-,-,-,-
6,PB Ratio,1.69,1.48,1.13,1.34,1.60,1.78,1.96,2.53,2.15,2.36,-,-,-,-,-,-,-
7,P/TBV Ratio,1.55,1.55,1.18,1.40,1.69,1.87,2.07,2.67,2.27,2.49,-,-,-,-,-,-,-
8,P/FCF Ratio,41.65,36.45,12.08,-,18.28,49.97,-17.66,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,15.07,15.07,7.60,-,10.41,17.11,-40.27,-,-336.94,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.58,1.31,0.90,1.52,1.80,2.35,2.63,3.30,2.62,4.51,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,9.73,7.61,5.96,11.88,12.82,16.34,14.63,17.43,12.18,16.67,-,-,-,-,-,-,-
12,EV/EBIT Ratio,11.00,8.45,6.86,14.62,15.06,19.26,16.64,19.47,13.47,18.18,-,-,-,-,-,-,-
13,EV/FCF Ratio,27.27,22.58,5.80,-,11.59,34.98,-12.76,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,-,-,-,0.24
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,-,-,-,2.14
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,0.00,-,-,-,12.72
17,Asset Turnover,0.61,0.56,0.24,0.56,0.30,0.29,0.45,0.49,0.39,-,-,-,-,-,-,-,
18,Inventory Turnover,1.75,2.22,1.79,0.77,2.10,0.99,0.98,2.01,2.31,1.47,-,-,-,-,-,-,-
19,Quick Ratio,2.01,2.01,1.86,1.73,1.71,1.62,1.83,2.30,2.29,2.57,1.46,-,1.55,-,-,-,0.64
20,Current Ratio,2.67,2.67,2.61,2.54,2.39,2.45,2.75,3.22,3.07,3.43,2.06,-,2.22,-,-,-,1.08
21,Return on Equity (ROE),14.27%,15.23%,7.02%,6.66%,4.96%,8.77%,10.10%,9.46%,11.81%,21.78%,28.64%,-,-,-,-,-,
22,Return on Assets (ROA),7.04%,6.90%,2.32%,2.66%,1.65%,2.38%,5.41%,2.22%,6.47%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),10.20%,10.16%,3.50%,4.06%,2.44%,3.33%,7.42%,3.04%,9.30%,12.48%,21.48%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),9.95%,10.72%,7.79%,5.12%,6.66%,6.37%,8.37%,9.33%,10.55%,11.54%,24.86%,-,25.72%,-,-,-,2.27%
25,Earnings Yield,6.19%,7.07%,7.34%,4.99%,4.65%,4.67%,4.85%,3.88%,5.05%,4.52%,-,-,-,-,-,-,-
26,FCF Yield,2.40%,2.74%,8.28%,7.49%,5.47%,2.00%,-5.66%,-2.98%,-2.82%,-0.40%,-,-,-,-,-,-,-
27,Dividend Yield,2.77%,-,4.27%,-,1.58%,-,-,-,6.48%,4.07%,-,-,-,-,-,-,-
28,Payout Ratio,22.11%,4.92%,57.89%,-,-,-,168.75%,-,384.93%,-,-,-,-,-,89.73%,89.73%,177.63%
29,Buyback Yield / Dilution,0.04%,0.01%,-0.01%,0.01%,0.17%,-33.34%,-33.31%,-33.34%,-32.59%,-0.21%,0.10%,0.11%,-1.19%,-,-,-,-
30,Total Shareholder Return,2.81%,0.01%,4.26%,0.01%,1.75%,-33.34%,-33.31%,-33.34%,-26.12%,3.87%,0.10%,0.11%,-1.19%,-,-,-,-
