,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,1191,1023,1136,1220,1097,555.34,466.16,799.92,1494,527.95,-,473.15,-,-,-,66.72
1,Trading Asset Securities,170.99,290.54,201.07,200.32,200,603.66,700,500.53,-,-,-,-,-,-,-,0.84
2,Cash & Short-Term Investments,1362,1314,1337,1420,1297,1159,1166,1300,1494,527.95,473.15,473.15,-,-,491.34,67.56
3,Cash Growth,5.02%,13.35%,14.65%,9.18%,-13.16%,119.53%,146.47%,174.85%,-,-,-3.70%,600.39%,-,-,-,-
4,Accounts Receivable,634.91,570.05,501.12,517.54,479.29,500.85,529.84,487.47,432.86,423.41,-,331.22,-,-,-,208.02
5,Other Receivables,7.27,7.08,7.87,8.21,9.14,12.88,11.17,9.56,9.54,9.48,-,7.15,-,-,-,2.5
6,Receivables,642.18,577.13,508.99,525.75,488.44,513.72,541.01,497.04,442.4,432.89,-,338.36,-,-,-,210.52
7,Inventory,558.12,681.05,735.26,687.72,798.22,744.12,537.15,452.98,524.8,317.52,-,327.15,-,-,-,173.41
8,Other Current Assets,105.85,79.93,126.96,89.87,119,97.2,145.88,165.59,126.93,76.22,-,24.67,-,-,-,17.89
9,Total Current Assets,2669,2652,2708,2723,2703,2514,2390,2416,2588,1355,-,1163,-,-,-,469.38
10,"Property, Plant & Equipment",487.89,474.7,429.85,429.87,366.54,352.13,334.62,295.45,251.13,228.26,-,204.09,-,-,-,199.19
11,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.08
12,Other Intangible Assets,108.81,109.61,110.31,111.31,112.24,113.37,114.5,115.26,116.2,117.12,-,106.33,-,-,-,111.68
13,Long-Term Accounts Receivable,-,58.46,-,71.29,-,82.46,-,64.12,-,73.72,-,52.86,-,-,-,-
14,Long-Term Deferred Tax Assets,20.24,16.86,14.85,14.99,10.16,10.74,11.23,10.56,9.78,8.31,-,7.78,-,-,-,3.42
15,Other Long-Term Assets,74.68,16.51,84.4,31.2,117.3,22.65,103.23,42.35,94.01,30.72,-,16.93,-,-,-,-
