,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Operating Revenue,510.24,460.92,200.78,455.47,240.43,215.69,328.07,362,241.36,278.66,280.94,264.85,287.49,227.28,227.28,100.23
1,Other Revenue,-4.33,4.33,-,8.76,-4.14,4.14,-,6.59,-2.71,2.71,-,5.83,-2.43,1.21,1.21,0.34
2,Revenue,505.91,465.24,200.78,464.23,236.29,219.83,328.07,368.6,238.65,281.38,280.94,270.67,285.06,228.49,228.49,100.57
3,Revenue Growth (YoY),114.11%,111.64%,-38.80%,25.95%,-0.99%,-21.87%,16.77%,36.18%,-16.28%,23.15%,22.95%,169.15%,-,-,-,-
4,Cost of Revenue,343.79,317.57,137.39,390.23,190.56,156.9,248.38,282.8,155.02,198.57,170.47,179.06,175.95,142.36,142.36,73.13
5,Gross Profit,162.13,147.68,63.39,74,45.72,62.93,79.68,85.8,83.63,82.8,110.47,91.61,109.11,86.13,86.13,27.44
6,"Selling, General & Admin",24.45,26.51,20.41,24.12,19.1,24.34,15.4,21.15,16.85,15.87,13.73,13.36,16.22,13.97,13.97,15.85
7,Research & Development,13.42,14.33,10.38,15.23,7.17,11.03,9.86,13.48,5.68,11.96,9.1,11.71,9.06,7.89,7.89,-
8,Other Operating Expenses,7.82,2.54,0.17,-3.86,-3.53,-0.82,-9.89,7.91,-0.26,-3.33,3.19,5.16,-0.85,1.99,1.99,1.61
9,Operating Expenses,67.96,55.54,32.16,38.38,24.65,34.09,15.81,59.09,20.57,30.07,25.26,26.74,24.79,28.67,28.67,19.39
10,Operating Income,94.17,92.14,31.23,35.63,21.07,28.84,63.87,26.71,63.06,52.74,85.21,64.87,84.32,57.47,57.47,8.05
11,Interest Expense,-,-,-,-,-,-,-,-,-,-0.08,-0,-0.01,-,-0.21,-0.21,-0.53
12,Interest & Investment Income,7.78,11.91,10.25,9.69,13.32,5.75,5.65,6.19,1.05,0.8,0.69,1.31,0.6,1.21,1.21,-
13,Currency Exchange Gain (Loss),0.07,-0.07,-,4.8,-11.92,11.92,-,19.41,-10.39,10.39,-,-4.94,0.42,-0.21,-0.21,-
14,Other Non Operating Income (Expenses),-6.7,-1.11,-0.46,-8.7,8.97,-0.58,-1.61,-18.14,17.75,1.1,-1.4,0.28,-0.76,0.03,0.03,-0.19
15,EBT Excluding Unusual Items,95.32,102.87,41.02,41.42,31.44,45.93,67.91,34.16,71.47,64.94,84.5,61.52,84.58,58.28,58.28,7.32
16,Gain (Loss) on Sale of Investments,0.45,-0.21,0.75,0.32,-3.66,3.66,-,0.53,-,-,-,-,-,-,-,0.8
17,Gain (Loss) on Sale of Assets,-,-0,0.02,0.01,-,-,-,0.04,-0.01,-,-0.01,0,0,-,-,-0
18,Asset Writedown,-0.66,-1.47,-0.1,-3.99,3.76,4.02,-4.02,10.62,-10.62,0.77,-0.77,5.49,-5.49,-0,-0,-0
19,Other Unusual Items,1.79,0.32,4.38,1.74,-,-,-,8.47,-1.96,1.96,-,2.34,-2.24,1.12,1.12,1.01
20,Pretax Income,96.89,101.51,46.07,39.5,31.54,53.61,63.89,53.83,58.88,67.67,83.72,69.35,76.85,59.4,59.4,9.13
21,Income Tax Expense,14.53,15.23,6.91,3.01,4.73,6.2,9.58,1.87,8.83,10.16,12.73,5.68,11.53,9.25,9.25,1.41
22,Net Income,82.36,86.28,39.16,36.49,26.81,47.41,54.3,51.96,50.05,57.51,70.98,63.67,65.32,50.15,50.15,7.72
23,Net Income to Common,82.36,86.28,39.16,36.49,26.81,47.41,54.3,51.96,50.05,57.51,70.98,63.67,65.32,50.15,50.15,7.72
24,Net Income Growth,207.20%,82.00%,-27.89%,-29.78%,-46.44%,-17.56%,-23.50%,-18.39%,-23.38%,14.67%,41.54%,724.65%,-,-,-,-
25,Shares Outstanding (Basic),108,108,108,107,108,108,108,108,81,81,81,81,81,81,81,80
26,Shares Outstanding (Diluted),108,108,108,107,108,108,108,108,81,81,81,81,81,81,81,80
27,Shares Change (YoY),-0.01%,0.01%,-0.01%,-0.17%,33.34%,33.31%,33.34%,32.59%,0.21%,-0.10%,-0.11%,1.19%,-,-,-,-
28,EPS (Basic),0.76,0.80,0.36,0.34,0.25,0.44,0.50,0.48,0.62,0.71,0.88,0.78,0.81,0.62,0.62,0.10
29,EPS (Diluted),0.76,0.80,0.36,0.34,0.25,0.44,0.50,0.48,0.62,0.71,0.88,0.78,0.81,0.62,0.62,0.10
30,EPS Growth,207.24%,81.98%,-27.88%,-29.66%,-59.83%,-38.16%,-42.63%,-38.45%,-23.54%,14.78%,41.70%,714.93%,-,-,-,-
31,Free Cash Flow,49.5,22.37,-87.13,110,167.78,34.33,-118,-6.75,-147.48,108.21,-82.48,100.2,-24.35,20.95,20.95,6.29
32,Free Cash Flow Per Share,0.46,0.21,-0.81,1.02,1.55,0.32,-1.09,-0.06,-1.82,1.34,-1.02,1.24,-0.30,0.26,0.26,0.08
33,Dividend Per Share,-,0.500,-,0.500,-,-,-,0.741,1.852,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-32.50%,-,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,32.05%,31.74%,31.57%,15.94%,19.35%,28.63%,24.29%,23.28%,35.04%,29.43%,39.32%,33.85%,38.28%,37.70%,37.70%,27.28%
36,Operating Margin,18.61%,19.80%,15.55%,7.67%,8.92%,13.12%,19.47%,7.25%,26.42%,18.74%,30.33%,23.97%,29.58%,25.15%,25.15%,8.00%
37,Profit Margin,16.28%,18.55%,19.50%,7.86%,11.35%,21.56%,16.55%,14.10%,20.97%,20.44%,25.27%,23.52%,22.92%,21.95%,21.95%,7.68%
38,Free Cash Flow Margin,9.78%,4.81%,-43.40%,23.69%,71.01%,15.62%,-35.97%,-1.83%,-61.80%,38.46%,-29.36%,37.02%,-8.54%,9.17%,9.17%,6.25%
39,EBITDA,101.1,99.4,38.16,42.56,27.1,35.93,69.9,32.73,69.04,58.92,91.19,70.85,90.19,63.34,63.34,9.33
40,EBITDA Margin,19.98%,21.37%,19.01%,9.17%,11.47%,16.34%,21.31%,8.88%,28.93%,20.94%,32.46%,26.18%,31.64%,27.72%,27.72%,9.28%
41,D&A For EBITDA,6.93,7.26,6.93,6.93,6.02,7.08,6.02,6.02,5.98,6.19,5.98,5.98,5.87,5.87,5.87,1.29
42,EBIT,94.17,92.14,31.23,35.63,21.07,28.84,63.87,26.71,63.06,52.74,85.21,64.87,84.32,57.47,57.47,8.05
43,EBIT Margin,18.61%,19.80%,15.55%,7.67%,8.92%,13.12%,19.47%,7.25%,26.42%,18.74%,30.33%,23.97%,29.58%,25.15%,25.15%,8.00%
44,Effective Tax Rate,15.00%,15.00%,15.00%,7.62%,15.00%,11.57%,15.00%,3.47%,15.00%,15.02%,15.21%,8.20%,15.00%,15.57%,15.57%,15.46%
45,Revenue as Reported,505.91,465.24,200.78,464.23,236.29,219.83,328.07,368.6,238.65,281.38,280.94,270.67,742.04,-,-,-
