,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,12293,13120,13116,14738,13398,13962,13331,13108,12481,12976,Upgrade
1,Revenue Growth (YoY),-6.27%,-10.98%,-2.10%,5.56%,0.50%,6.52%,6.81%,1.02%,12.17%,13.47%,Upgrade
2,Cost of Revenue,9466,11192,10145,12759,10659,11867,10884,11382,10356,10239,Upgrade
3,Gross Profit,2827,1928,2971,1979,2739,2095,2447,1726,2125,2737,Upgrade
4,"Selling, General & Admin",1359,1435,1431,1477,1447,1474,1367,1430,1358,1472,Upgrade
5,Other Operating Expenses,-,-,-,-,-,-,-,-,-,-40,Upgrade
6,Operating Expenses,1359,1435,1431,1477,1447,1474,1367,1430,1358,1432,Upgrade
7,Operating Income,1468,493,1540,502,1292,621,1080,296,767,1305,Upgrade
8,Interest Expense,-74,-84,-85,-90,-79,-71,-68,-67,-68,-74,Upgrade
9,Interest & Investment Income,-,49,-,37,-,30,-,17,-,14,Upgrade
10,Earnings From Equity Investments,-,-38,-,7,-3,14,20,16,-,9,Upgrade
11,Currency Exchange Gain (Loss),-,-9,-,-12,-,1,-,5,-,-9,Upgrade
12,Other Non Operating Income (Expenses),1,-318,100,-42,-4,-277,12,-107,1,10,Upgrade
13,EBT Excluding Unusual Items,1395,93,1555,402,1206,318,1044,160,700,1255,Upgrade
14,Merger & Restructuring Charges,-,-75,-,-,-,-,-,-,-,-2,Upgrade
15,Gain (Loss) on Sale of Investments,-,11,-,24,-,24,-,29,-,26,Upgrade
16,Gain (Loss) on Sale of Assets,-,82,-,431,-,-4,-,-7,-,1,Upgrade
17,Asset Writedown,-224,280,-898,113,-51,256,-67,584,-158,-54,Upgrade
18,Other Unusual Items,-,-,-,-,-,105,-,-,-,-,Upgrade
19,Pretax Income,1171,400,657,977,1155,723,977,773,542,1236,Upgrade
20,Income Tax Expense,279,80,117,226,256,195,207,124,99,211,Upgrade
21,Earnings From Continuing Operations,892,320,540,751,899,528,770,649,443,1025,Upgrade
22,Minority Interest in Earnings,-108,-111,-120,-140,-140,-112,-118,-138,-126,-129,Upgrade
23,Net Income,784,209,420,611,759,416,652,511,317,896,Upgrade
24,Net Income to Common,784,209,420,611,759,416,652,511,317,896,Upgrade
25,Net Income Growth,86.67%,-65.79%,-44.66%,46.88%,16.41%,-18.59%,105.68%,-42.97%,-44.29%,108.86%,Upgrade
26,Shares Outstanding (Basic),12830,12830,12830,12830,12830,13538,14746,14739,14728,14714,Upgrade
27,Shares Outstanding (Diluted),12830,12830,12830,12830,12830,13538,14785,14772,14805,14800,Upgrade
28,Shares Change (YoY),-,-,-,-5.23%,-13.22%,-8.35%,-0.14%,-0.19%,0.16%,0.82%,Upgrade
29,EPS (Basic),0.06,0.02,0.03,0.05,0.06,0.03,0.04,0.03,0.02,0.06,Upgrade
30,EPS (Diluted),0.06,0.02,0.03,0.05,0.06,0.03,0.04,0.03,0.02,0.06,Upgrade
31,EPS Growth,86.85%,-65.78%,-44.72%,54.94%,34.14%,-11.25%,106.07%,-42.77%,-44.42%,106.92%,Upgrade
32,Free Cash Flow,340,1252,-435,1253,-398,1015,21,813,991,681,Upgrade
33,Free Cash Flow Per Share,0.03,0.10,-0.03,0.10,-0.03,0.07,0.00,0.06,0.07,0.05,Upgrade
34,Dividend Per Share,0.013,0.032,0.006,0.032,0.006,0.018,0.006,0.016,0.006,0.034,Upgrade
35,Dividend Growth,100.74%,-0.25%,0.13%,79.07%,-1.03%,11.22%,-0.20%,-52.64%,0.78%,77.61%,Upgrade
36,Operating Margin,11.94%,3.76%,11.74%,3.41%,9.64%,4.45%,8.10%,2.26%,6.15%,10.06%,Upgrade
37,Profit Margin,6.38%,1.59%,3.20%,4.15%,5.67%,2.98%,4.89%,3.90%,2.54%,6.91%,Upgrade
38,Free Cash Flow Margin,2.77%,9.54%,-3.32%,8.50%,-2.97%,7.27%,0.16%,6.20%,7.94%,5.25%,Upgrade
39,EBITDA,1778,833,1863,861,1604,900,1350,554,1014,1535,Upgrade
40,D&A For EBITDA,310,340,323,359,312,279,270,258,247,230,Upgrade
41,EBIT,1468,493,1540,502,1292,621,1080,296,767,1305,Upgrade
