,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,97.5,270.25,160.07,212.58,427.37,334.33,418.37,357.7,300.27,258.61
1,Short-Term Investments,5.65,51.17,102.19,100.3,50.73,50.51,55.94,45.92,75.8,77.23
2,Trading Asset Securities,10.09,7.91,6.71,5.45,12.73,22.55,8.12,4.65,-,-
3,Cash & Short-Term Investments,113.24,329.33,268.97,318.33,490.82,407.39,482.43,408.27,376.07,335.84
4,Cash Growth,-57.90%,3.45%,-45.20%,-21.86%,1.74%,-0.21%,28.28%,21.57%,-17.09%,-21.07%
5,Accounts Receivable,20.19,22.1,15.26,24.38,41.1,22.03,23.09,10.8,11.85,5.32
6,Other Receivables,266.43,40.21,91.63,31.22,58.83,38.34,38.11,12.82,12.55,109.37
7,Receivables,286.62,62.31,106.88,55.6,99.93,60.37,61.2,23.62,24.4,114.69
8,Other Current Assets,223.72,282.68,236.9,129.35,109.09,231.66,197.15,195.32,212.64,189
9,Total Current Assets,623.59,674.32,612.76,503.28,699.84,699.43,740.78,627.21,613.11,639.53
10,"Property, Plant & Equipment",1469,1481,1377,1175,712.23,377.12,366.78,246.71,251.95,268.09
11,Long-Term Investments,1.12,1.09,1.08,1.04,0.97,0.93,35.84,36.25,54.83,38.07
12,Goodwill,81.02,81.02,89.51,89.51,54.37,54.37,68.01,68.01,47.39,47.17
13,Other Intangible Assets,36.08,41.08,42.82,45.77,18.07,18.46,19.91,20.82,18.71,19.82
14,Long-Term Deferred Tax Assets,8.44,8.44,8.07,8.48,-,-,-,-,-,-
15,Other Long-Term Assets,30.53,35.86,41.73,131.95,78.27,223.78,66.7,144.08,60.19,60.19
16,Total Assets,2250,2323,2173,1955,1564,1374,1298,1143,1046,1073
17,Accrued Expenses,-,-,-,38.23,0.25,35.39,25.04,29,24.85,31.11
18,Short-Term Debt,193.54,118.42,191.92,101.93,171.55,177.72,200.3,139.42,58.98,128.08
19,Current Portion of Long-Term Debt,372.32,452.69,199.53,131.77,106.67,158.09,109.61,4.51,8,11
20,Current Portion of Leases,11.49,7.67,25.9,31.63,12.36,16.29,12.28,12.72,15.68,16.27
21,Current Income Taxes Payable,2.55,2.66,2.33,2.14,2.1,2.14,1.93,2.91,1.83,3.56
22,Current Unearned Revenue,48.23,189.57,70.67,143.03,23.54,101.3,31.77,108.5,53.23,93.3
23,Other Current Liabilities,235.7,218.56,163.94,110.84,98.29,62.33,63.99,65.72,48.27,44.21
24,Total Current Liabilities,863.83,989.56,654.29,559.58,414.76,553.25,444.92,362.76,210.83,327.53
25,Long-Term Debt,328.56,304.56,501.42,459.68,363.89,110.67,103.23,70.04,73.6,4
26,Long-Term Leases,63.33,68.53,86.11,36.98,17.75,20.66,27.67,26.44,47.02,50.43
27,Long-Term Unearned Revenue,164.54,165.1,166,166,44.78,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,5.2,5.92,6.44,7.37,0.65,0.74,1.43,1.52,0.92,0.98
29,Other Long-Term Liabilities,7.9,7.89,-,-,-,2.98,5.34,12.37,17.33,17.33
30,Total Liabilities,1433,1542,1414,1230,841.82,688.3,582.58,473.12,349.7,400.27
31,Common Stock,9.75,9.75,9.75,9.75,9.75,9.8,9.8,9.8,9.85,10.29
32,Additional Paid-In Capital,227.63,227.63,222.53,230.95,234.85,237.15,247.22,247.22,291.68,311.56
33,Retained Earnings,458.1,427.12,420.81,387.21,386.86,359.96,375.21,330.78,290.76,254.09
34,Treasury Stock,-0.17,-0.17,-0.17,-0.17,-0.18,-0.18,-0.24,-0.24,-,-0.11
35,Comprehensive Income & Other,118.59,114.03,98.21,90.76,82.48,71.11,75.81,74.49,97.66,89.84
36,Total Common Equity,813.9,778.36,751.14,718.5,713.77,677.84,707.8,662.05,689.95,665.65
37,Minority Interest,2.63,2.83,7.13,7.36,8.16,7.95,7.63,7.89,6.52,6.94
38,Shareholders' Equity,816.53,781.19,758.27,725.86,721.92,685.79,715.43,669.95,696.47,672.59
39,Total Liabilities & Equity,2250,2323,2173,1955,1564,1374,1298,1143,1046,1073
40,Total Debt,969.25,951.86,1005,761.99,672.21,483.42,453.09,253.11,203.27,209.78
41,Net Cash (Debt),-856.01,-622.53,-735.91,-443.66,-181.39,-76.02,29.34,155.16,172.81,126.06
42,Net Cash Growth,-,-,-,-,-,-,-83.02%,23.08%,-34.97%,-69.44%
43,Net Cash Per Share,-0.75,-0.54,-0.64,-0.39,-0.16,-0.07,0.03,0.13,0.14,0.10
44,Filing Date Shares Outstanding,1141,1141,1141,1141,1133,1139,1139,1139,1208,1208
45,Total Common Shares Outstanding,1141,1141,1141,1141,1133,1139,1139,1139,1208,1208
46,Working Capital,-240.24,-315.23,-41.54,-56.3,285.08,146.17,295.86,264.45,402.28,312.01
47,Book Value Per Share,0.71,0.68,0.66,0.63,0.63,0.60,0.62,0.58,0.57,0.55
48,Tangible Book Value,696.8,656.26,618.81,583.22,641.32,605.01,619.89,573.23,623.85,598.66
49,Tangible Book Value Per Share,0.61,0.57,0.54,0.51,0.57,0.53,0.54,0.50,0.52,0.50
50,Buildings,-,858.21,-,413.47,-,219.48,-,112.89,-,112.89
51,Machinery,-,137.43,-,89.54,-,77.03,-,70.97,-,57.22
52,Construction In Progress,-,25.25,-,192.53,-,4.04,-,8.49,-,2.95
53,Leasehold Improvements,-,97.02,-,86.55,-,67.4,-,58.75,-,51.47
