,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,127,153,308,297,340,476,535,695,934,716,1099
1,Market Cap Growth,-48.46%,-48.46%,-9.36%,-37.66%,-36.51%,-31.51%,-42.66%,-2.90%,-15.07%,-28.49%,-4.18%
2,Enterprise Value,1049,842,1111,807,562,579,509,520,751,582,797
3,Last Close Price,0.11,0.13,0.27,0.25,0.29,0.40,0.45,0.57,0.74,0.55,0.81
4,PE Ratio,3.16,3.82,7.01,8.07,11.02,34.89,-,6.77,10.19,9.55,11.90
5,Forward PE,-,2.15,5.00,6.30,6.21,4.77,4.26,5.97,7.72,6.28,-
6,PS Ratio,0.25,0.30,0.67,0.76,0.96,1.37,1.41,1.95,3.10,2.82,4.20
7,PB Ratio,0.14,0.17,0.36,0.36,0.41,0.56,0.64,0.81,1.17,0.94,1.46
8,P/TBV Ratio,0.20,0.20,0.43,0.44,0.52,0.63,0.72,0.93,1.37,1.05,1.64
9,P/FCF Ratio,1.19,1.44,-3.33,-,-,-,-7.09,-,-,5.08,34.66
10,P/OCF Ratio,0.65,0.65,1.41,-,2.34,-,4.80,-,6.09,2.76,8.25
11,EV/Sales Ratio,2.08,1.67,2.40,2.08,1.59,1.67,1.34,1.46,2.49,2.30,3.04
12,EV/EBITDA Ratio,5.88,5.89,9.95,8.02,5.57,7.40,6.46,5.41,8.78,7.46,8.62
13,EV/EBIT Ratio,12.15,9.74,18.00,13.24,8.34,12.84,11.00,7.29,11.98,9.87,10.36
14,EV/FCF Ratio,9.86,7.91,-12.02,-,-,-,-6.74,-,-,4.14,25.13
15,Debt / Equity Ratio,1.19,1.19,1.22,1.33,1.05,0.93,0.70,0.63,0.38,0.29,0.31
16,Debt / FCF Ratio,9.79,9.79,-11.34,-,-,-,-7.86,-,-,1.58,7.40
17,Return on Capital Employed (ROCE),5.80%,5.80%,4.20%,3.71%,4.27%,3.35%,4.60%,6.96%,6.77%,6.44%,9.23%
18,Earnings Yield,31.62%,26.19%,14.27%,12.38%,9.08%,2.87%,6.69%,14.77%,9.82%,10.47%,8.40%
19,FCF Yield,84.00%,69.58%,-30.00%,-83.45%,-73.01%,-35.33%,-14.10%,-17.90%,4.18%,19.67%,2.89%
20,Buyback Yield / Dilution,0.24%,0.00%,0.47%,-0.40%,-0.55%,0.21%,2.00%,5.68%,4.30%,1.04%,1.29%
21,Total Shareholder Return,0.24%,0.00%,0.47%,-0.40%,-0.55%,0.21%,2.00%,5.68%,4.30%,1.04%,1.29%
