,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,723.69,700.71,951.78,943.75,926.65,908.36,241.76,247.19,-,223.7,223.7,205.26,205.26,157.88,157.88
1,Trading Asset Securities,250,250,-,-,-,-,-,-,-,-,-,0.74,0.74,-,-
2,Cash & Short-Term Investments,973.69,950.71,951.78,943.75,926.65,908.36,241.76,247.19,-,223.7,223.7,206,206,157.88,157.88
3,Cash Growth,5.08%,4.66%,293.68%,281.79%,-,306.07%,8.08%,19.99%,-,41.69%,41.69%,-,-,-,-
4,Accounts Receivable,63.15,73.01,89.53,57.73,55.75,82.51,74.3,47.3,-,66.71,66.71,44.61,44.61,52.44,52.44
5,Other Receivables,0.25,14.2,0.12,0.07,0.15,10.2,0.2,0.04,-,2.11,-,2.81,2.81,1.19,1.19
6,Receivables,63.41,87.21,89.65,57.8,55.9,92.71,74.5,47.34,-,68.82,68.82,47.42,47.42,53.63,53.63
7,Inventory,141.42,150.15,130.31,159.31,158.1,139.94,130.89,142.65,-,127.06,127.06,104.94,104.94,91.35,91.35
8,Other Current Assets,20.58,3.01,13.43,17.12,20.05,2.64,12.74,9.01,-,3.71,-,2.39,2.39,1.83,1.83
9,Total Current Assets,1199,1191,1185,1178,1161,1144,459.89,446.19,-,423.29,423.29,360.75,360.75,304.69,304.69
10,"Property, Plant & Equipment",174.97,159.3,143.16,134.9,109.37,100.58,91.33,85.64,-,82.59,82.59,85.89,85.89,71.33,71.33
11,Other Intangible Assets,19.49,19.67,19.78,19.78,19.52,19.66,19.61,19.74,-,20,20,20.26,20.26,20.53,20.53
12,Long-Term Deferred Tax Assets,-,-,-,-,1.52,1.61,1.67,1.79,-,2.32,-,1.37,1.37,1.18,1.18
13,Long-Term Deferred Charges,0.39,0.1,0.2,0.26,0.78,1.12,1.3,1.8,-,2.46,-,3.27,3.27,4.09,4.09
14,Other Long-Term Assets,5.5,7.8,7.51,8.04,9.37,10.02,11.85,10.45,-,6.09,-,5.76,5.76,6.51,6.51
15,Total Assets,1399,1378,1356,1341,1301,1277,585.66,565.6,-,536.74,536.74,477.31,477.31,408.32,408.32
16,Accounts Payable,31.42,37.2,25.79,46.55,37.3,43.98,47.12,34.94,-,55.37,-,56.28,56.28,45.02,45.02
17,Accrued Expenses,11.78,13.13,6.74,15.65,9.6,10.61,6.22,14.73,-,12.39,-,14.97,14.97,10.39,10.39
