,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2771,3010,2349,2275,2989,3122,3099,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-3.58%,-3.58%,-24.21%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1806,2068,1406,1349,2063,2214,2858,-,-,-,-,-,-,-,-,-
3,Last Close Price,26.99,29.91,23.34,22.31,29.31,30.61,30.39,-,-,-,-,-,-,-,-,-
4,PE Ratio,22.69,25.15,20.09,20.12,28.56,32.27,32.11,-,-,-,-,-,-,-,-,-
5,PS Ratio,6.25,6.93,5.66,5.60,7.52,8.01,7.66,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.08,2.31,1.84,1.77,2.39,2.57,2.60,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.35,2.35,1.87,1.80,2.43,2.61,2.65,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,32.06,34.83,28.33,63.94,128.99,153.31,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,18.44,18.44,16.04,23.00,37.08,51.63,53.03,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.16,4.76,3.39,3.32,5.19,5.68,7.06,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,14.39,16.32,11.51,11.34,17.98,20.65,26.93,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,15.98,18.16,12.89,12.69,20.27,23.56,30.67,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,20.90,23.93,16.96,37.91,89.04,108.74,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,-,0.00,-,0.00,0.00,0.01,0.01
15,Debt / EBITDA Ratio,0.07,0.07,0.09,0.06,0.00,0.01,0.01,0.01,0.01,-,0.01,-,0.01,0.01,0.02,0.02
16,Debt / FCF Ratio,0.11,0.11,0.11,0.25,0.01,0.04,-,-,0.01,-,0.01,-,0.02,0.03,0.09,0.19
17,Asset Turnover,0.32,0.28,0.34,0.35,0.28,0.37,0.74,-,-,-,0.83,0.85,0.91,0.91,-,
18,Inventory Turnover,1.70,1.70,1.58,1.95,1.71,1.37,1.52,1.97,-,-,-,-,2.31,2.48,2.51,-
19,Quick Ratio,14.10,14.10,12.59,20.01,12.71,13.76,13.70,4.04,3.53,-,2.78,2.76,2.46,2.46,2.46,2.46
20,Current Ratio,16.30,16.30,14.45,22.78,14.95,16.26,15.65,5.88,5.35,-,4.03,4.03,3.51,3.51,3.55,3.55
21,Return on Equity (ROE),8.97%,7.71%,10.55%,10.62%,8.68%,9.88%,20.76%,-,-,33.35%,29.18%,27.93%,30.00%,27.97%,-,
22,Return on Assets (ROA),5.55%,3.86%,6.17%,5.44%,5.04%,4.90%,12.51%,-,-,-,14.52%,14.96%,16.13%,14.65%,-,
23,Return on Capital (ROIC),5.93%,4.09%,6.55%,5.83%,5.39%,5.41%,14.93%,-,-,19.76%,18.85%,19.68%,21.12%,19.08%,-,
24,Return on Capital Employed (ROCE),8.52%,8.59%,8.42%,8.15%,8.07%,7.64%,7.74%,20.86%,22.09%,-,27.23%,25.60%,28.04%,20.41%,14.85%,7.42%
25,Earnings Yield,4.32%,3.98%,4.98%,4.97%,3.50%,3.10%,3.11%,-,-,-,-,-,-,-,-,-
26,FCF Yield,3.12%,2.87%,3.53%,1.56%,0.78%,0.65%,0.66%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.26%,-,-,-,1.15%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,27.67%,-,134.30%,-,-,-,-,-,-,-,2.19%,-,21.23%,21.23%,13.13%,13.13%
29,Buyback Yield / Dilution,-16.74%,-0.02%,-9.04%,-33.55%,-34.01%,-34.68%,-21.23%,-0.46%,0.54%,-1.58%,0.92%,0.89%,-,-,-,-
30,Total Shareholder Return,-15.49%,-0.02%,-9.04%,-33.55%,-32.85%,-34.68%,-21.23%,-0.46%,0.54%,-1.58%,0.92%,0.89%,-,-,-,-
