,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,109.84,94.41,115.8,113.11,90.74,85.48,106.95,104.96,106.01,117.05,-,100.5,100.5,92.9,92.9
1,Other Revenue,-0.43,0.43,-,1.17,-0.94,0.94,-,1.64,-1.18,1.18,-,0.68,0.68,0.4,0.4
2,Revenue,109.41,94.84,115.8,114.28,89.8,86.42,106.95,106.6,104.84,118.23,105.67,101.18,101.18,93.29,93.29
3,Revenue Growth (YoY),21.83%,9.75%,8.27%,7.20%,-14.34%,-26.91%,1.21%,5.36%,3.61%,26.73%,13.27%,-,-,-,-
4,Cost of Revenue,61.85,55.29,70.51,67.7,51.03,51.3,67.37,67.22,66.66,76.76,-,60.73,60.73,57.25,57.25
5,Gross Profit,47.56,39.55,45.28,46.58,38.77,35.12,39.58,39.38,38.18,41.47,39.35,40.45,40.45,36.05,36.05
6,"Selling, General & Admin",9.78,10.3,6.78,7.7,9.16,12.12,6.74,7.7,8.23,9.5,-,9.1,9.1,7.37,7.37
7,Research & Development,6.24,7.31,4.28,6.43,4.59,4.82,3,6.49,3.47,3.59,-,2.56,2.56,3.54,3.54
8,Other Operating Expenses,1.09,1.36,0.89,3.26,-0.12,-0.34,0.46,4.61,2.75,-5.47,-,0.84,0.84,0.72,0.72
9,Operating Expenses,16.76,18.47,12.01,17.82,12.8,16.87,10.76,18.44,13,10.54,-,11.88,11.88,12.11,12.11
10,Operating Income,30.8,21.08,33.27,28.76,25.97,18.25,28.81,20.94,25.18,30.93,-,28.57,28.57,23.93,23.93
11,Interest Expense,-0.09,-0.09,-0.09,-0.01,-,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.03,-0.03
12,Interest & Investment Income,4.29,5.06,4.12,5.58,4.6,4.14,1.31,1.31,0.88,0.69,-,0.55,0.55,0.57,0.57
13,Currency Exchange Gain (Loss),-2.02,2.02,-,0.87,-0.84,0.84,-,8.37,-5.73,5.73,-,-0.6,-0.6,-0.48,-0.48
14,Other Non Operating Income (Expenses),0.46,-1.18,1.04,-0.78,0.74,0.77,-0.97,-11.36,8.08,3.28,-,-0.22,-0.22,0.02,0.02
15,EBT Excluding Unusual Items,33.43,26.88,38.34,34.42,30.47,23.99,29.14,19.24,28.39,40.62,34.65,28.27,28.27,24.02,24.02
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-0.47,-3.38,-,0.37,0.37,-,-
17,Gain (Loss) on Sale of Assets,-,0.06,-0.06,-,-,-,-0.24,-,-,-,-,-,-,-,-
18,Asset Writedown,-0.36,0.08,-0.31,-0.47,-0.35,-0.14,-,-0.37,-0.84,-,-,-0.31,-0.31,-0.03,-0.03
19,Other Unusual Items,0.19,1.08,0.93,3.86,-,-,-,9.02,2.88,-,-,0.87,0.87,1.06,1.06
20,Pretax Income,33.26,28.1,38.9,37.8,30.12,23.85,28.9,27.9,29.96,37.25,-,29.21,29.21,25.05,25.05
21,Income Tax Expense,4.35,3.45,5.51,5.06,4,3.04,3.9,3.09,4.05,4.75,-,3.98,3.98,3.28,3.28
22,Net Income to Company,28.91,24.66,33.38,32.74,26.12,20.81,25,24.81,25.91,32.49,-,25.23,25.23,21.77,21.77
23,Net Income,28.91,24.66,33.38,32.74,26.12,20.81,25,24.81,25.91,32.49,28.43,25.23,25.23,21.77,21.77
24,Net Income to Common,28.91,24.66,33.38,32.74,26.12,20.81,25,24.81,25.91,32.49,-,25.23,25.23,21.77,21.77
25,Net Income Growth,10.68%,18.48%,33.55%,31.95%,0.80%,-35.96%,-12.08%,-1.64%,2.71%,49.24%,30.59%,-,-,-,-
26,Shares Outstanding (Basic),103,99,101,100,103,91,75,75,77,75,75,75,75,76,76
27,Shares Outstanding (Diluted),103,99,101,100,103,91,75,75,77,75,75,75,75,76,76
28,Shares Change (YoY),0.02%,9.04%,33.55%,34.01%,34.68%,21.23%,0.46%,-0.54%,1.58%,-0.92%,-0.89%,-,-,-,-
29,EPS (Basic),0.28,0.25,0.33,0.33,0.25,0.23,0.33,0.33,0.34,0.43,-,0.33,0.33,0.29,0.29
30,EPS (Diluted),0.28,0.25,0.33,0.33,0.25,0.23,0.33,0.33,0.34,0.43,0.38,0.33,0.33,0.29,0.29
31,EPS Growth,10.66%,8.65%,0%,-1.53%,-25.16%,-47.17%,-12.50%,-1.11%,1.11%,50.62%,31.78%,-,-,-,-
32,Free Cash Flow,23.14,38.21,7.04,18.03,19.63,-9.14,-5.36,15.22,19.7,42.26,9.92,24.72,24.72,12.14,12.14
33,Free Cash Flow Per Share,0.22,0.38,0.07,0.18,0.19,-0.10,-0.07,0.20,0.26,0.56,0.13,0.33,0.33,0.16,0.16
34,Dividend Per Share,-,-,-,0.338,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,43.47%,41.71%,39.11%,40.76%,43.18%,40.64%,37.00%,36.94%,36.42%,35.08%,37.24%,39.97%,39.97%,38.64%,38.64%
36,Operating Margin,28.15%,22.23%,28.73%,25.17%,28.92%,21.12%,26.94%,19.65%,24.02%,26.16%,-,28.24%,28.24%,25.65%,25.65%
37,Profit Margin,26.42%,26.00%,28.83%,28.65%,29.08%,24.08%,23.37%,23.28%,24.72%,27.48%,-,24.93%,24.93%,23.34%,23.34%
38,Free Cash Flow Margin,21.15%,40.29%,6.08%,15.78%,21.86%,-10.57%,-5.01%,14.28%,18.79%,35.74%,9.38%,24.43%,24.43%,13.01%,13.01%
39,EBITDA,33.92,24.54,36.39,31.89,29.37,21.34,32.2,24.33,28.27,34.37,32.89,31.75,31.75,26.96,26.96
40,EBITDA Margin,31.01%,25.87%,31.43%,27.90%,32.70%,24.69%,30.11%,22.83%,26.97%,29.07%,31.12%,31.38%,31.38%,28.90%,28.90%
41,D&A For EBITDA,3.12,3.46,3.12,3.12,3.39,3.08,3.39,3.39,3.09,3.44,3.44,3.18,3.18,3.03,3.03
42,EBIT,30.8,21.08,33.27,28.76,25.97,18.25,28.81,20.94,25.18,30.93,29.45,28.57,28.57,23.93,23.93
43,EBIT Margin,28.15%,22.23%,28.73%,25.17%,28.92%,21.12%,26.94%,19.65%,24.02%,26.16%,27.87%,28.24%,28.24%,25.65%,25.65%
44,Effective Tax Rate,13.07%,12.26%,14.18%,13.39%,13.29%,12.75%,13.50%,11.06%,13.52%,12.76%,-,13.63%,13.63%,13.10%,13.10%
45,Revenue as Reported,109.41,94.84,115.8,114.28,89.8,86.42,106.95,106.6,104.84,118.23,-,-,-,-,-
