,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2862,2111,1864,2100,2426,2460,2773,2971,2820,2352,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-14.20%,-14.20%,-32.80%,-29.32%,-13.96%,4.59%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2800,2073,1825,1722,2049,2093,2368,2547,2395,2445,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,23.85,17.59,15.53,17.43,20.14,20.42,23.02,24.48,23.23,19.38,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,50.82,37.60,37.47,54.70,65.42,71.99,65.52,72.40,61.03,41.12,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.65,3.44,3.68,5.18,6.68,7.26,8.11,9.25,8.28,6.61,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.93,1.92,1.72,1.98,2.60,2.65,3.01,3.18,3.08,2.58,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.49,2.49,2.23,2.55,2.63,2.68,3.04,3.22,3.12,2.61,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,107.54,79.31,76.57,-,451.21,-186.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-
