,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,344.53,243.53,323.11,388.72,381.73,267.95,257.39,410.85,515.27,15.14,-,10.22,-,17.12,-,12.02,-,12.73,12.73
1,Trading Asset Securities,22.21,97.23,12,10,-,100,150,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,366.74,340.76,335.11,398.72,381.73,367.95,407.39,410.85,515.27,15.14,10.22,10.22,-,17.12,-,12.02,12.73,12.73,12.73
3,Cash Growth,-3.93%,-7.39%,-17.74%,-2.95%,-25.92%,2330.13%,3887.49%,3921.35%,-,-11.57%,-,-15.03%,-,34.47%,-,-,-,-,-
4,Accounts Receivable,532.08,511.35,486.97,319.66,327.93,325.71,315.92,307.47,310.04,306.71,-,313.68,-,353.12,-,333.71,-,276.42,276.42
5,Other Receivables,3.76,2.95,3.39,1.77,3.48,2.76,2.35,0.57,1.17,0.29,-,0.31,-,-0,-,-0,-,0.16,0.16
6,Receivables,535.83,514.3,490.36,321.43,331.41,328.47,318.27,308.04,311.21,307.01,-,313.99,-,353.11,-,333.71,-,276.58,276.58
7,Inventory,199.06,215.04,205.71,143.84,128.26,131.48,135.23,132.36,124.4,119.98,-,128.84,-,121.23,-,79.62,-,78.98,78.98
8,Prepaid Expenses,-,1.59,-,0.85,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,12.56,7.98,8.3,5.99,7.02,6.7,10.87,8.92,8.64,23.28,-,20.15,-,31.34,-,24.66,-,15.92,15.92
10,Total Current Assets,1114,1080,1039,870.82,848.43,834.6,871.75,861.16,959.52,465.4,-,473.2,-,522.81,-,450.01,-,384.21,384.21
11,"Property, Plant & Equipment",230.56,232.28,234.6,136.21,138.45,136.31,134.28,133.29,130.34,129.21,-,129.11,-,104.72,-,64.62,-,41.29,41.29
12,Goodwill,104.47,104.47,103.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,23.09,24,24.55,10.38,10.25,10.39,10.51,10.68,10.82,10.87,-,11.15,-,11.37,-,11.43,-,10.61,10.61
14,Long-Term Deferred Tax Assets,17.28,16.47,16.13,11.11,14.23,13.7,13.03,12.27,5.84,5.31,-,6.02,-,6.33,-,4.73,-,4.32,4.32
15,Long-Term Deferred Charges,15.21,15.58,16.21,1.71,2.47,2.02,3.2,0.59,0.62,0.5,-,2.09,-,0.46,-,0.51,-,0.83,0.83
16,Other Long-Term Assets,6.83,8.96,4.82,1.92,0.38,0.25,0.24,1.86,2,2.48,-,0.24,-,2.84,-,2.77,-,0.92,0.92
17,Total Assets,1512,1481,1440,1032,1014,997.27,1033,1020,1109,613.77,-,621.82,-,648.53,-,534.07,-,442.19,442.19
18,Accounts Payable,111.14,125.01,111.82,72.89,53.7,47.53,67.82,63.07,65.3,67.18,-,75.21,-,114.63,-,82.74,-,66.41,66.41
19,Accrued Expenses,21.96,23.98,10.28,17.38,9.62,11.03,7.13,17.83,5.11,10.99,-,11.53,-,15.81,-,17.27,-,10.42,10.42
20,Short-Term Debt,3.5,6.88,7.1,-,-,-,1,2,35.09,52.11,-,76.33,-,94,-,68.58,-,45.99,45.99
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,5.16,4.4,-,10.06,-,0.66,-,-,-,-,-
