,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,187.03,186.75,142.83,92.61,80.03,86.03,100.51,70.35,81.84,66.35,119.84,85.24,83.64,114.2,125.09,114.11,104.42,92.23,92.23
1,Other Revenue,-1.98,1.98,-,4.02,-2.23,2.23,-,2.05,-1.24,1.24,-,2.5,-1.14,1.14,-,2.04,-,-,-
2,Revenue,185.04,188.73,142.83,96.63,77.8,88.26,100.51,72.4,80.6,67.59,119.84,87.74,82.51,115.34,125.09,116.15,104.42,92.23,92.23
3,Revenue Growth (YoY),137.83%,113.84%,42.10%,33.46%,-3.47%,30.58%,-16.13%,-17.48%,-2.31%,-41.40%,-4.20%,-24.46%,-20.99%,25.05%,35.62%,-,-,-,-
4,Cost of Revenue,109.71,112.78,90.98,70.23,48.09,55.45,62.91,53.63,48.58,43.6,70.43,67.96,44.18,56.94,103.45,33.11,85.81,52.92,52.92
5,Gross Profit,75.33,75.95,51.85,26.39,29.72,32.81,37.6,18.77,32.02,23.99,49.41,19.78,38.33,58.4,21.65,83.04,18.62,39.31,39.31
6,"Selling, General & Admin",34.19,29.94,23.76,20.47,17.46,19.1,12.59,21.83,11.71,8.7,13.65,8.24,15.52,26.78,-,41.42,-,8.14,8.14
7,Research & Development,11.37,10.21,7.37,6.11,5.71,6.84,5.4,6.1,4.94,4.53,4.79,4.82,4.36,9.93,-,14.65,-,2.92,2.92
8,Other Operating Expenses,1.13,1.22,1.53,0.51,0.31,0.22,0.14,3.54,-2.92,-0.3,0.72,5.35,-4.84,0.63,-,1.6,-,0.38,0.38
9,Operating Expenses,49.11,42.54,33.66,26.59,23.59,25.42,19.54,34.44,14.59,13.79,22.43,18.68,14.13,38.39,-,61.9,-,13.23,13.23
10,Operating Income,26.22,33.41,18.19,-0.2,6.13,7.39,18.06,-15.66,17.43,10.21,26.98,1.1,24.2,20.01,21.65,21.15,18.62,26.09,26.09
11,Interest Expense,-1.12,-1.07,-0.18,-0,-0,-,-0.15,-0.38,-1.23,-1.36,-1.53,-0.7,-2.62,-2.68,-,-3.03,-,-0.6,-0.6
12,Interest & Investment Income,1.15,0.76,1.37,1.55,1.44,1.84,1.99,2,0.06,0.01,0.01,0.01,0.01,0.02,-,0.05,-,0.02,0.02
13,Currency Exchange Gain (Loss),-0.27,0.27,-,-0.17,0.08,-0.08,-,-0.05,-0.03,0.03,-,0.02,0.08,-0.08,-,-0.08,-,0.03,0.03
14,Other Non Operating Income (Expenses),-0.62,-0.91,-0.28,0.04,-0.17,0.03,-0.07,-0.07,-0,-0.06,-0.13,-0.93,0.74,-0.32,-,-0.4,-0.01,-0.09,-0.09
15,EBT Excluding Unusual Items,25.36,32.46,19.09,1.23,7.49,9.17,19.83,-14.15,16.23,8.83,25.33,-0.5,22.41,16.95,21.65,17.69,18.6,25.44,25.44
16,Gain (Loss) on Sale of Investments,-0.02,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.14,-0.04,-0.02,-,-,-0.01,-0.01,-0,-,-0.01,-,-0,-0.07,-0,-,-0.06,-,-0.01,-0.01
18,Asset Writedown,-7.78,-0.05,0.05,2.15,-2.19,0.34,-0.34,1.27,-1.29,-0.42,0.39,8.61,-8.88,-0.01,-,-0.06,-,0.02,0.02
19,Other Unusual Items,2.73,0.81,4.33,4.21,-0.2,0.2,-,9.78,-0.22,0.22,-,7.44,0.05,-0.05,-,2.22,-,0.16,0.16
20,Pretax Income,20.14,33.38,23.46,7.58,5.11,9.7,19.48,-3.11,14.72,8.62,25.72,15.55,13.51,16.89,21.65,19.79,18.6,25.61,25.61
21,Income Tax Expense,2.19,3.33,2.23,1.81,0.29,0.45,2.22,-5.95,1.75,0.66,3.29,1.71,1.49,1.8,2.95,2.69,2.92,3.55,3.55
22,Earnings From Continuing Operations,17.95,30.05,21.23,5.77,4.81,9.25,17.26,2.85,12.97,7.96,22.43,13.84,12.02,15.09,18.7,17.11,15.68,22.06,22.06
23,Minority Interest in Earnings,-6.74,-9.45,-2.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,11.22,20.6,18.56,5.77,4.81,9.25,17.26,2.85,12.97,7.96,22.43,13.84,12.02,15.09,18.7,17.11,15.68,22.06,22.06
25,Net Income to Common,11.22,20.6,18.56,5.77,4.81,9.25,17.26,2.85,12.97,7.96,22.43,13.84,12.02,15.09,18.7,17.11,15.68,22.06,22.06
26,Net Income Growth,133.02%,122.77%,7.53%,102.56%,-62.88%,16.14%,-23.03%,-79.41%,7.91%,-47.24%,19.95%,-19.11%,-23.35%,-31.59%,-15.25%,-,-,-,-
27,Shares Outstanding (Basic),123,114,124,119,119,118,123,123,91,89,90,91,90,90,-,90,-,90,90
28,Shares Outstanding (Diluted),123,114,124,119,119,118,123,123,91,89,90,91,90,90,-,90,-,90,90
29,Shares Change (YoY),3.06%,-3.48%,0.36%,-3.76%,30.41%,32.16%,37.45%,34.74%,1.39%,-1.07%,-,1.61%,-,-0.04%,-,-,-,-,-
30,EPS (Basic),0.09,0.18,0.15,0.05,0.04,0.08,0.14,0.02,0.14,0.09,0.25,0.15,0.13,0.17,-,0.19,-,0.24,0.24
31,EPS (Diluted),0.09,0.18,0.15,0.05,0.04,0.08,0.14,0.02,0.14,0.09,0.25,0.15,0.13,0.17,-,0.19,-,0.24,0.24
32,EPS Growth,126.11%,130.80%,7.14%,110.46%,-71.54%,-12.12%,-44.00%,-84.72%,10.23%,-46.68%,-,-20.39%,-,-31.56%,-,-,-,-,-
33,Free Cash Flow,15.33,15.75,-20.28,15.81,13.06,-20.09,-3.4,-2.75,-11.76,18.13,-14.44,-7.23,-20.04,-,-,-,-,-8.24,-8.24
34,Free Cash Flow Per Share,0.12,0.14,-0.16,0.13,0.11,-0.17,-0.03,-0.02,-0.13,0.20,-0.16,-0.08,-0.22,-,-,-,-,-0.09,-0.09
