,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,344.75,406.82,375.55,461.71,438.49,409.5,395.41,487.72,-,294.98,-,246.37,246.37,-,-
1,Short-Term Investments,-,164.12,-,211.91,-,234.03,-,181.48,-,-,-,-,-,-,-
2,Trading Asset Securities,402.53,212.8,277.5,226.17,279.61,274.47,272.68,322.12,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,747.29,783.75,653.05,899.78,718.11,918,668.09,991.32,-,294.98,246.37,246.37,246.37,-,268.54
4,Cash Growth,4.06%,-14.62%,-2.25%,-9.23%,-,211.21%,171.18%,302.38%,-,-,-8.26%,-,-,-,-
5,Accounts Receivable,1002,945.28,835.44,782.89,735.63,694.14,657.39,579.84,-,479.63,-,481.02,481.02,-,-
6,Other Receivables,19.24,32.06,18.57,27.53,27.61,34.91,18.25,22.24,-,27.36,-,25.73,25.73,-,-
7,Receivables,1022,977.33,854.01,810.42,763.24,729.05,675.64,602.08,-,506.99,-,506.75,506.75,-,-
8,Inventory,83.91,74.57,79.62,96.96,100.97,80.84,76.95,75.02,-,54.92,-,40.15,40.15,-,-
9,Prepaid Expenses,-,7.59,-,5.46,-,5.47,-,3.25,-,3.86,-,1.83,1.83,-,-
10,Other Current Assets,65.41,39,226.1,37.39,247.18,31.61,286.23,36.74,-,56.85,-,73.71,73.71,-,-
11,Total Current Assets,1918,1882,1813,1850,1829,1765,1707,1708,-,917.6,-,868.81,868.81,-,-
12,"Property, Plant & Equipment",334.71,331.02,302.89,248.94,238.12,242.56,238.71,232.29,-,183.34,-,207.19,207.19,-,-
13,Long-Term Investments,51.05,47.87,45.56,42.52,42.53,40.6,37.91,31.49,-,28.85,-,25.88,25.88,-,-
14,Other Intangible Assets,583.47,599.7,627.82,636.78,626.61,643.64,661.76,678.09,-,708.89,-,746.11,746.11,-,-
15,Long-Term Accounts Receivable,-,14.96,-,15.35,-,7.33,-,7.04,-,11.46,-,11.27,11.27,-,-
16,Long-Term Deferred Tax Assets,98.7,94.76,94.06,90.72,88.01,87.92,86.5,85.94,-,48.23,-,44.31,44.31,-,-
17,Long-Term Deferred Charges,0.5,0.56,0.7,0.77,0.9,0.72,0.68,0.81,-,0.43,-,0.7,0.7,-,-
18,Other Long-Term Assets,99.45,80.18,107.18,86.3,85.34,72.53,81.63,84.04,-,104.59,-,83.1,83.1,-,-
19,Total Assets,3086,3051,2991,2971,2911,2860,2814,2828,-,2003,-,1987,1987,-,-
20,Accounts Payable,218.55,197.57,180.85,204.18,162.54,149.25,107.67,123.7,-,124.62,-,126.35,126.35,-,-
21,Accrued Expenses,134.18,145.4,128,115.85,120.19,111.43,95.42,97.62,-,82.66,-,81.11,81.11,-,-
22,Short-Term Debt,45.04,40.03,10.01,10.01,10.01,20.12,20.02,29.93,-,89.91,-,88,88,-,-
23,Current Portion of Long-Term Debt,58.57,56.79,60.3,62.6,82.04,71.61,95.25,83.05,-,78.48,-,64.94,64.94,-,-
24,Current Portion of Leases,-,4.19,-,4.37,-,9.02,-,12.87,-,2.98,-,19.68,19.68,-,-
25,Current Income Taxes Payable,-,8.63,17.62,9.52,10.53,6.76,15.37,13.11,-,8.72,-,14.4,14.4,-,-
26,Current Unearned Revenue,22.21,23.24,15.94,13.42,27.12,19.88,20.52,19.77,-,10.77,-,10.78,10.78,-,-
27,Other Current Liabilities,7.08,10.37,7.12,9.81,5.81,9.97,4.96,8.64,-,20.39,-,7.67,7.67,-,-
28,Total Current Liabilities,485.63,486.22,419.84,429.75,418.24,398.04,359.21,388.7,-,418.54,-,412.93,412.93,-,-
29,Long-Term Debt,243.9,250.7,238.37,237.2,248.4,239.8,245.65,254.75,-,308.66,-,352.01,352.01,-,-
30,Long-Term Leases,3.23,3.72,4.59,5.73,7.38,8.71,10.27,6.66,-,7.79,-,14.6,14.6,-,-
31,Long-Term Unearned Revenue,5.02,3.64,3.9,4.16,13.82,14.33,11.81,12.19,-,12.7,-,11.42,11.42,-,-
32,Other Long-Term Liabilities,437.06,449.93,463.44,462.1,446.97,455.51,456.96,462.84,-,476.08,-,482.32,482.32,-,-
33,Total Liabilities,1175,1194,1130,1139,1135,1116,1084,1125,-,1224,-,1273,1273,-,-
34,Common Stock,133.5,133.5,111.39,111.39,111.39,111.39,111.39,111.39,-,83.55,-,83.55,83.55,-,-
35,Additional Paid-In Capital,1141,1141,1163,1163,1163,1163,1163,1163,-,370.39,-,370.39,370.39,-,-
36,Retained Earnings,560.28,515.27,516.74,484.77,442.46,417.75,406.09,377.7,-,283.62,-,217.7,217.7,-,-
37,Treasury Stock,-16.74,-16.29,-7.77,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,2.67,2.5,2.33,2.17,2.27,2.34,2.44,2.52,-,2.51,-,2.38,2.38,-,-
39,Total Common Equity,1820,1776,1785,1761,1719,1694,1683,1654,-,740.06,674.01,674.01,674.01,-,501.73
40,Minority Interest,90.81,81.38,75.36,71.33,57.26,49.6,47.48,48.55,-,39.58,-,40.07,40.07,-,-
41,Shareholders' Equity,1911,1857,1861,1832,1776,1744,1730,1703,-,779.64,714.08,714.08,714.08,-,533.97
42,Total Liabilities & Equity,3086,3051,2991,2971,2911,2860,2814,2828,-,2003,-,1987,1987,-,-
43,Total Debt,350.73,355.44,313.27,319.91,347.83,349.25,371.19,387.26,-,487.83,539.23,539.23,539.23,-,605.09
44,Net Cash (Debt),396.55,428.31,339.78,579.87,370.28,568.75,296.9,604.06,-,-192.85,-292.86,-292.86,-292.86,-,-336.54
45,Net Cash Growth,7.10%,-24.69%,14.44%,-4.00%,-,-,-,-,-,-,-,-,-,-,-
46,Net Cash Per Share,2.99,3.20,2.57,4.32,2.81,4.17,2.24,4.22,-,-1.94,-2.90,-2.93,-2.93,-,-3.35
47,Filing Date Shares Outstanding,132.5,132.52,133.07,133.67,133.67,133.67,133.67,133.67,122.79,100.25,101.04,133.67,99.98,100.43,100.43
48,Total Common Shares Outstanding,132.5,132.52,133.07,133.67,133.67,133.67,133.67,133.67,122.79,100.25,101.04,100.25,99.98,100.43,100.43
49,Working Capital,1433,1396,1393,1420,1411,1367,1348,1320,-,499.06,-,455.88,455.88,-,-
50,Book Value Per Share,13.74,13.40,13.42,13.18,12.86,12.67,12.59,12.38,-,7.38,6.72,6.72,6.74,-,5.00
51,Tangible Book Value,1237,1176,1158,1124,1092,1051,1021,976.33,-,31.17,-72.1,-72.1,-72.1,-,-254.87
52,Tangible Book Value Per Share,9.34,8.87,8.70,8.41,8.17,7.86,7.64,7.30,-,0.31,-0.72,-0.72,-0.72,-,-2.54
53,Buildings,-,96.2,-,94.85,-,82.67,-,59.27,-,60.6,-,56.61,56.61,-,-
54,Machinery,-,335.19,-,261.47,-,255.13,-,240.18,-,188.28,-,223.78,223.78,-,-
55,Construction In Progress,-,31.05,-,6,-,3.53,-,17.63,-,10.86,-,7.16,7.16,-,-
