,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,379.6,389.5,378.11,415.12,328.45,369.11,337.94,334.9,308.97,328.74,285.72,349.71,349.71,333.54,333.54
1,Other Revenue,-1.8,1.8,-,4.04,-1.29,1.29,-,3.66,-1.5,1.5,-,0.71,0.71,0.64,0.64
2,Revenue,377.8,391.3,378.11,419.16,327.16,370.4,337.94,338.56,307.47,330.24,285.72,350.42,350.42,334.18,334.18
3,Revenue Growth (YoY),15.48%,5.64%,11.89%,23.81%,6.40%,12.16%,18.28%,-3.38%,-12.26%,-1.18%,-14.50%,-,-,-,-
4,Cost of Revenue,275.41,282.56,289.94,316.39,244.07,279.27,256.66,237.74,235.99,250.8,221.37,247.09,247.09,244.58,244.58
5,Gross Profit,102.4,108.74,88.17,102.78,83.08,91.12,81.28,100.82,71.48,79.45,64.35,103.33,103.33,89.6,89.6
6,"Selling, General & Admin",32.6,40.4,39.72,47.1,37.25,39.19,35.09,41.76,29.32,24.38,20.84,27.23,27.23,26.27,26.27
7,Research & Development,6.68,5.87,4.32,7.96,5.46,8.93,5.48,4.58,5.03,3.72,4.17,5.16,5.16,3.27,3.27
8,Other Operating Expenses,-1.3,1.39,-0.91,0.91,-2.05,-2.04,-1.55,1.91,-1.15,-0.58,-2.98,3.29,3.29,-1.97,-1.97
9,Operating Expenses,47.11,55.04,46.99,58.64,47.69,49,44.24,50.28,38.18,25.05,24.59,37.98,37.98,29.51,29.51
10,Operating Income,55.28,53.69,41.17,44.13,35.39,42.13,37.04,50.54,33.3,54.39,39.76,65.34,65.34,60.09,60.09
11,Interest Expense,-,-11.66,-3.41,-25.9,-,-16.73,-4.88,-29.59,-,-19.52,-7.36,-13.98,-13.98,-15.52,-15.52
12,Interest & Investment Income,5.43,3.97,5.22,1.98,11.36,5.8,3.68,4.35,7.79,1.66,2.46,1.25,1.25,2.74,2.74
13,Other Non Operating Income (Expenses),-13.88,5.53,-6.8,19.11,-20.02,5.66,-6.49,17.88,-18.76,5.99,-5.95,0.34,0.34,-0.53,-0.53
