,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2521,2217,1854,2110,2613,2696,2730,2890,2873,3318,-,-,-,-,-,-
1,Market Cap Growth,-17.74%,-17.74%,-32.08%,-26.99%,-9.03%,-18.76%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2216,1870,1590,1797,2300,2177,2481,2504,2487,3551,-,-,-,-,-,-
3,Last Close Price,19.03,16.61,13.89,15.46,19.15,19.76,20.01,21.01,20.88,24.12,-,-,-,-,-,-
4,PE Ratio,16.58,14.50,13.98,16.32,20.20,20.06,21.63,22.58,22.75,25.12,-,-,-,-,-,-
5,PS Ratio,1.62,1.42,1.22,1.41,1.80,1.96,2.02,2.20,2.28,2.61,-,-,-,-,-,-
6,PB Ratio,1.39,1.16,1.00,1.13,1.43,1.52,1.57,1.67,1.69,-,-,-,-,-,-,-
7,P/TBV Ratio,1.79,1.79,1.58,1.82,2.32,2.47,2.60,2.83,2.94,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-3688.55,-,25.71,-,-,-,-,-,-,-
9,P/OCF Ratio,39.26,39.26,44.97,21.51,39.46,15.05,19.96,-,12.06,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.41,1.19,1.05,1.20,1.58,1.58,1.83,1.91,1.97,2.79,-,-,-,-,-,-
11,EV/EBITDA Ratio,7.17,6.23,5.70,6.76,8.84,8.22,9.41,9.18,9.00,12.15,-,-,-,-,-,-
12,EV/EBIT Ratio,11.40,9.63,9.12,11.03,14.50,13.18,15.22,14.29,13.97,18.42,-,-,-,-,-,-
13,EV/FCF Ratio,-15.04,-,-,-,-,-,-3351.58,-,22.26,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.18,0.18,0.19,0.17,0.17,0.20,0.20,0.21,0.23,-,0.63,0.76,0.76,0.76,-,1.13
15,Debt / EBITDA Ratio,1.13,1.08,1.06,1.17,1.05,1.45,1.21,1.51,1.20,-,1.53,2.07,1.47,1.47,-,1.75
16,Debt / FCF Ratio,-,-,-,-,-,-,-471.83,-,3.47,-,2.21,3.91,3.40,5.27,-,26.15
17,Asset Turnover,0.49,0.52,0.51,0.57,0.45,0.52,0.48,-,-,-,-,0.71,-,-,-,
18,Inventory Turnover,12.60,13.90,14.66,13.14,12.79,10.74,14.16,13.51,-,-,-,-,24.62,-,-,-
19,Quick Ratio,3.64,3.64,3.62,3.59,3.98,3.54,4.14,3.74,4.10,-,1.92,-,1.82,1.82,-,-
20,Current Ratio,3.95,3.95,3.87,4.32,4.30,4.37,4.43,4.75,4.40,-,2.19,-,2.10,2.10,-,-
21,Return on Equity (ROE),10.81%,9.57%,7.80%,9.12%,6.11%,8.29%,7.72%,-,-,20.17%,17.34%,29.10%,-,-,-,
22,Return on Assets (ROA),4.50%,4.44%,3.45%,3.75%,3.07%,3.71%,3.28%,-,-,-,-,8.22%,-,-,-,
23,Return on Capital (ROIC),6.18%,6.12%,4.76%,5.16%,4.20%,5.02%,4.42%,-,-,10.79%,7.93%,13.03%,-,-,-,
24,Return on Capital Employed (ROCE),7.47%,7.47%,6.80%,6.33%,6.24%,6.62%,6.62%,7.14%,7.30%,-,14.19%,-,15.93%,11.78%,-,-
25,Earnings Yield,6.07%,6.90%,7.15%,6.13%,4.95%,4.98%,4.62%,4.43%,4.40%,3.98%,-,-,-,-,-,-
26,FCF Yield,-5.84%,-6.64%,-7.60%,-2.47%,-1.50%,0.65%,-0.03%,1.74%,3.89%,3.87%,-,-,-,-,-,-
27,Dividend Yield,1.58%,-,-,-,1.52%,-,-,-,0.80%,-,-,-,-,-,-,-
28,Payout Ratio,34.68%,7.44%,111.08%,12.23%,11.44%,19.87%,81.61%,9.56%,8.53%,42.01%,22.64%,22.15%,15.60%,15.60%,33.30%,33.30%
29,Buyback Yield / Dilution,2.08%,-0.41%,2.00%,0.13%,6.31%,-7.50%,-37.59%,-31.08%,-43.21%,-22.82%,1.18%,-0.61%,-,-,-,-
30,Total Shareholder Return,3.66%,-0.41%,2.00%,0.13%,7.83%,-7.50%,-37.59%,-31.08%,-42.41%,-22.82%,1.18%,-0.61%,-,-,-,-
