,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,7597,7154,6595,10631,4017
1,Revenue Growth (YoY),15.19%,-32.71%,64.19%,-,-
2,Cost of Revenue,7324,7128,6328,9402,4158
3,Gross Profit,272.37,26.12,267.23,1230,-141.29
4,"Selling, General & Admin",525.02,570.21,397.37,421.26,246.33
5,Research & Development,406.28,486.07,505.25,510.54,257.14
6,Other Operating Expenses,-,-23.72,-,-4.33,4.33
7,Operating Expenses,1035,1081,1152,1006,509.98
8,Operating Income,-762.59,-1055,-884.48,223.24,-651.27
9,Interest Expense,-170.41,-143.74,-113.11,-110.75,-78.18
10,Interest & Investment Income,120.75,100.88,67.17,81.98,14.09
11,Earnings From Equity Investments,-4.78,-0.96,-0.68,-1.59,-
12,Currency Exchange Gain (Loss),29.4,-9.7,2.4,8.73,3.23
13,Other Non Operating Income (Expenses),126.98,73.7,10.61,50.87,6.65
14,EBT Excluding Unusual Items,-660.65,-1035,-918.11,252.49,-705.47
15,Gain (Loss) on Sale of Investments,2.47,5.76,-,2.19,-
16,Gain (Loss) on Sale of Assets,-,6.36,-,-,-
17,Pretax Income,-658.18,-1023,-918.11,254.67,-705.47
18,Income Tax Expense,0.03,0.81,1.63,0.03,-
19,Earnings From Continuing Operations,-658.21,-1024,-919.73,254.65,-705.47
20,Minority Interest in Earnings,215.24,261.98,209.52,0.26,96.44
21,Net Income,-442.97,-761.59,-710.22,254.91,-609.03
22,Net Income to Common,-442.97,-761.59,-710.22,254.91,-609.03
23,Shares Outstanding (Basic),2277,2170,2161,2017,1528
24,Shares Outstanding (Diluted),2277,2170,2161,2017,1528
25,Shares Change (YoY),5.37%,7.59%,41.38%,-,-
26,EPS (Basic),-0.19,-0.35,-0.33,0.13,-0.40
27,EPS (Diluted),-0.19,-0.35,-0.33,0.13,-0.40
28,Free Cash Flow,-391.71,-956.65,-3162,-2372,-3571
29,Free Cash Flow Per Share,-0.17,-0.44,-1.46,-1.18,-2.34
30,Operating Margin,-10.04%,-14.75%,-13.41%,2.10%,-16.21%
31,Profit Margin,-5.83%,-10.65%,-10.77%,2.40%,-15.16%
32,Free Cash Flow Margin,-5.16%,-13.37%,-47.94%,-22.32%,-88.91%
33,EBITDA,-74.95,-539.62,-474.49,554.58,-490.76
34,D&A For EBITDA,687.64,515.43,409.99,331.33,160.52
35,EBIT,-762.59,-1055,-884.48,223.24,-651.27
