,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,24363,33288,49636,-,-,-
1,Enterprise Value,25737,34317,53387,-,-,-
2,Last Close Price,10.70,14.62,21.80,-,-,-
3,Forward PE,-,43.60,-,-,-,-
4,PS Ratio,1.50,2.10,3.28,-,-,-
5,PB Ratio,2.07,2.83,3.90,-,-,-
6,P/TBV Ratio,2.84,2.84,4.00,-,-,-
7,P/OCF Ratio,16.48,16.48,41.93,-,-,-
8,EV/Sales Ratio,1.62,2.17,3.52,-,-,-
9,Debt / Equity Ratio,0.90,0.90,0.84,0.68,0.41,-
10,Return on Capital Employed (ROCE),-,-,-,-,-2.67%,-
11,Earnings Yield,-5.31%,-3.89%,-3.27%,-,-,-
12,FCF Yield,-5.95%,-4.35%,-9.14%,-,-,-
13,Buyback Yield / Dilution,-6.44%,-5.37%,-7.59%,-41.38%,-,-
14,Total Shareholder Return,-6.44%,-5.37%,-7.59%,-41.38%,-,-
