,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,284.32,257.73,266.93,273.99,242.88,206.26,197.03,208.24,194.7,162.95,158.38,174.5,134.62,113.36,121.83,140.94,105.66,78.01
1,Other Revenue,-2.4,2.4,-,5.94,-2.72,2.72,-,4.94,-2.53,2.53,-,2.01,1.16,1.99,-,0.5,1.17,-
2,Revenue,281.92,260.13,266.93,279.93,240.16,208.97,197.03,213.18,192.16,165.49,158.38,176.51,135.78,115.35,121.83,141.44,106.83,78.01
3,Revenue Growth (YoY),17.39%,24.48%,35.48%,31.31%,24.97%,26.28%,24.40%,20.77%,41.52%,43.46%,30.00%,24.79%,27.10%,47.87%,-,-,-,-
4,Cost of Revenue,207.91,202.17,198.15,212.85,176.3,163.65,146.92,185.43,148.33,137.5,121.41,128.04,101.52,92.16,77.82,89.3,78.36,69.03
5,Gross Profit,74.01,57.96,68.77,67.08,63.85,45.32,50.11,27.75,43.83,27.99,36.97,48.47,34.26,23.2,44.01,52.14,28.46,8.98
6,"Selling, General & Admin",23.37,19.15,21.52,29.54,17.57,16.95,13.74,14.15,13.05,16.2,12.18,25.71,15.48,9.26,23.68,15.62,7.01,-
7,Research & Development,16.16,16.05,12,13.43,13.47,13.36,10,13.2,9.47,9.18,7.26,7.17,6.42,6.06,4.67,4.55,4,-
8,Other Operating Expenses,1.67,0.36,1.07,-4.25,1.75,1.06,0.62,6.23,0.56,0.23,-3.06,1.13,1.1,0.32,-0.66,1.29,0.75,0.11
9,Operating Expenses,42.68,36.47,37.35,36.84,34.01,32.84,26.01,25.6,27.87,29.07,19.51,33.01,24.49,14.72,30.09,18.29,14.18,0.11
10,Operating Income,31.33,21.49,31.42,30.23,29.84,12.48,24.1,2.15,15.97,-1.08,17.46,15.46,9.77,8.47,13.92,33.85,14.28,8.88
11,Interest Expense,-2.02,-2.05,-1.41,-0.99,-0.76,-0.76,-0.61,-0.7,-0.41,-0.15,-0.23,-0.44,-0.19,-0.24,-,-,-,-
12,Interest & Investment Income,1.64,1.14,1.82,0.64,0.68,0.64,1.82,-,0.52,1.03,1.34,0.12,0.03,0.03,0.07,0.02,0.02,-
13,Currency Exchange Gain (Loss),-2.19,2.19,-,5.12,-7.46,7.46,-,17.57,-9.79,9.79,-,-0.81,0.04,-1.93,-,-4.83,-5.09,-
14,Other Non Operating Income (Expenses),-1.67,-1.49,0.43,-7.68,6.91,1.72,-2.58,-19.66,19.52,0.64,-0.77,-0.03,-0.03,0.71,-0.73,-0.21,-0.02,-
15,EBT Excluding Unusual Items,27.1,21.27,32.25,27.33,29.22,21.54,22.73,-0.64,25.8,10.24,17.78,14.29,9.63,7.04,13.27,28.84,9.19,8.88
16,Gain (Loss) on Sale of Investments,-0.63,-1.29,-0.02,-0.2,-0.5,-0.77,-0.2,-0.9,0.09,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.02,-,-,1.15,0.01,-1.07,-,0.02,0,0.01,-0.02,-0.13,0.07,0.06,0.05,-,0.19,-
18,Asset Writedown,-9.67,3.38,-3.39,5.92,-6.93,3.41,-3.47,4.57,-4.59,0.25,-0.33,0.19,0,0.49,-0.72,0.19,1.7,-
19,Other Unusual Items,0.1,0.5,0.78,0.51,0.04,-0.04,-,4.81,-0.09,-,-,-0.08,0.24,-,-,0.87,0.47,-
20,Pretax Income,16.88,23.86,29.62,34.71,21.83,23.07,19.07,7.85,21.21,10.49,17.43,14.27,9.94,7.59,12.59,29.89,11.54,8.88
21,Income Tax Expense,0.28,1.43,3.02,5.53,0.96,0.16,1.48,2,1.09,0.23,1.35,0.66,0.28,0.07,1.81,4.68,1.36,1.04
22,Earnings From Continuing Operations,16.6,22.43,26.61,29.17,20.87,22.91,17.58,5.85,20.12,10.27,16.08,13.61,9.66,7.52,10.78,25.21,10.18,7.83
23,Minority Interest in Earnings,-,0.23,0.42,0.09,0.14,0.11,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,16.6,22.67,27.02,29.26,21.01,23.02,17.58,5.85,20.12,10.27,16.08,13.61,9.66,7.52,10.78,25.21,10.18,7.83
25,Net Income to Common,16.6,22.67,27.02,29.26,21.01,23.02,17.58,5.85,20.12,10.27,16.08,13.61,9.66,7.52,10.78,25.21,10.18,7.83
26,Net Income Growth,-20.99%,-1.55%,53.70%,400.23%,4.41%,124.27%,9.33%,-57.00%,108.22%,36.44%,49.17%,-46.03%,-5.08%,-3.94%,-,-,-,-
27,Shares Outstanding (Basic),109,105,107,104,105,110,103,110,106,104,107,86,81,82,77,84,78,-
28,Shares Outstanding (Diluted),109,105,107,104,105,110,103,110,106,104,107,86,81,82,77,84,78,-
29,Shares Change (YoY),4.12%,-4.94%,3.07%,-5.68%,-1.02%,6.49%,-3.53%,27.70%,31.66%,26.04%,39.22%,2.25%,2.85%,-,-,-,-,-
30,EPS (Basic),0.15,0.22,0.25,0.28,0.20,0.21,0.17,0.05,0.19,0.10,0.15,0.16,0.12,0.09,0.14,0.30,0.13,-
31,EPS (Diluted),0.15,0.22,0.25,0.28,0.20,0.21,0.17,0.05,0.19,0.10,0.15,0.16,0.12,0.09,0.14,0.30,0.13,-
32,EPS Growth,-24.11%,3.56%,49.12%,430.38%,5.48%,110.61%,13.33%,-66.33%,58.15%,8.24%,7.14%,-47.22%,-7.71%,-,-,-,-,-
33,Free Cash Flow,-102.63,-224.04,-128.84,83.44,-30.98,-17.53,-58.56,38.86,-20.61,-39.35,-76.6,36.3,-50.27,3.65,-67.66,51.57,-25.21,-
34,Free Cash Flow Per Share,-0.94,-2.14,-1.21,0.80,-0.30,-0.16,-0.57,0.35,-0.19,-0.38,-0.71,0.42,-0.62,0.04,-0.88,0.61,-0.32,-
35,Dividend Per Share,-,-,-,0.150,-,-,-,0.120,-,-,-,0.100,-,-,-,-,-,-
36,Dividend Growth,-,-,-,25.00%,-,-,-,20.00%,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,26.25%,22.28%,25.77%,23.96%,26.59%,21.69%,25.43%,13.02%,22.81%,16.91%,23.34%,27.46%,25.23%,20.11%,36.13%,36.86%,26.64%,11.52%
38,Operating Margin,11.11%,8.26%,11.77%,10.80%,12.43%,5.97%,12.23%,1.01%,8.31%,-0.65%,11.02%,8.76%,7.19%,7.34%,11.43%,23.93%,13.37%,11.38%
39,Profit Margin,5.89%,8.71%,10.12%,10.45%,8.75%,11.02%,8.92%,2.74%,10.47%,6.20%,10.15%,7.71%,7.12%,6.52%,8.85%,17.82%,9.53%,10.04%
40,Free Cash Flow Margin,-36.40%,-86.13%,-48.27%,29.81%,-12.90%,-8.39%,-29.72%,18.23%,-10.73%,-23.78%,-48.37%,20.56%,-37.02%,3.17%,-55.54%,36.46%,-23.60%,-
41,EBITDA,38.9,29.71,39,37.81,35.92,20.09,30.18,8.23,20.51,4.71,22,21.02,14.21,12.84,18.04,39.82,17.85,11.06
42,EBITDA Margin,13.80%,11.42%,14.61%,13.51%,14.96%,9.61%,15.32%,3.86%,10.67%,2.84%,13.89%,11.91%,10.47%,11.13%,14.81%,28.16%,16.71%,14.17%
43,D&A For EBITDA,7.57,8.22,7.57,7.57,6.08,7.61,6.08,6.08,4.55,5.79,4.55,5.55,4.44,4.37,4.12,5.97,3.57,2.18
44,EBIT,31.33,21.49,31.42,30.23,29.84,12.48,24.1,2.15,15.97,-1.08,17.46,15.46,9.77,8.47,13.92,33.85,14.28,8.88
45,EBIT Margin,11.11%,8.26%,11.77%,10.80%,12.43%,5.97%,12.23%,1.01%,8.31%,-0.65%,11.02%,8.76%,7.19%,7.34%,11.43%,23.93%,13.37%,11.38%
46,Effective Tax Rate,1.66%,5.98%,10.18%,15.94%,4.40%,0.69%,7.79%,25.52%,5.13%,2.16%,7.76%,4.62%,2.78%,0.87%,14.39%,15.67%,11.81%,11.74%
47,Revenue as Reported,281.92,260.13,266.93,279.93,240.16,208.97,197.03,213.18,192.16,165.49,158.38,176.51,135.78,115.35,121.83,141.44,255.02,-
