,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,263.39,218.98,349.32,506.55,179.83,216.62,207.65,311.89,-,187.44,202.67,321.41,23.24,75.18,-,127.67,-,-
1,Short-Term Investments,-,-,-,60.06,-,-,-,-,-,-,-,100.02,-,-,-,-,-,-
2,Trading Asset Securities,50.04,95.11,50.1,50.06,-,35.02,30.02,-,-,90.21,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,313.43,314.09,399.42,616.66,179.83,251.65,237.66,311.89,-,277.65,202.67,421.44,23.24,75.18,127.67,127.67,-,152.53
4,Cash Growth,74.29%,24.81%,68.06%,97.72%,-,-9.37%,17.27%,-25.99%,-,269.33%,58.75%,230.10%,-,-50.71%,-,-,-,-
5,Accounts Receivable,433.3,429.62,392.52,324.34,370.72,359.55,331.8,271.63,-,301.25,276.81,199.99,226.54,190.04,-,144.32,-,-
6,Other Receivables,10.49,8.98,5.49,3.58,6.03,4.29,6.24,4.55,-,5.21,6.28,3.51,1.82,2.2,-,2.9,-,-
7,Receivables,443.8,438.61,398,327.92,376.75,364.02,338.04,276.18,-,306.45,283.09,203.5,228.36,192.24,-,147.22,-,-
8,Inventory,212.72,189.6,164.14,160,169.11,168.46,172.27,162.94,-,170.91,155.1,144.44,134.11,107.63,-,75.18,-,-
9,Other Current Assets,27,22.59,77.94,7.78,14.18,11.88,7.69,4.2,-,11.09,104.91,3.04,10.23,11.19,-,12.77,-,-
10,Total Current Assets,996.94,964.88,1040,1112,739.87,796.01,755.67,755.21,-,766.1,745.76,772.42,395.94,386.23,-,362.84,-,-
11,"Property, Plant & Equipment",619.67,559.08,414.98,366.09,328.92,297.7,270.86,260.08,-,230.82,208.39,186.73,175.51,175.23,-,162.02,-,-
12,Long-Term Investments,16.59,17.78,20.23,21.2,22.29,23.01,23.88,24.23,-,3,-,-,-,-,-,-,-,-
13,Other Intangible Assets,76.14,75.12,75.76,74.12,68.12,68.77,69.2,39.06,-,30.11,30.51,30.2,30.52,30.98,-,29.83,-,-
14,Long-Term Deferred Tax Assets,19.24,15.79,14.54,12.63,15.83,14.86,4.57,5.33,-,7.13,6.02,5.23,4.69,4.27,-,3.43,-,-
