,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2550,2550,2323,2461,2925,3003,2818,2652,2222,2291,2946,2783,3891,-,-,-,-,-,-
1,Market Cap Growth,-15.06%,-15.06%,-17.56%,-7.23%,31.66%,31.08%,-4.36%,-4.69%,-42.90%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2726,2587,2188,2366,2830,2872,2648,2419,2033,2047,2759,2784,3892,-,-,-,-,-,-
3,Last Close Price,23.92,23.92,21.79,22.93,27.39,28.12,26.39,24.72,20.70,21.35,27.46,25.84,36.12,-,-,-,-,-,-
4,PE Ratio,26.58,26.69,23.24,24.53,32.19,44.50,42.32,49.28,42.46,38.13,59.38,59.37,93.58,-,-,-,-,-,-
5,PS Ratio,2.33,2.34,2.22,2.47,3.16,3.49,3.47,3.45,3.05,3.31,4.63,4.75,7.08,-,-,-,-,-,-
6,PB Ratio,2.32,2.32,2.15,2.29,2.82,3.37,3.25,3.15,2.66,-,3.64,3.43,4.90,-,-,-,-,-,-
7,P/TBV Ratio,2.50,2.50,2.31,2.47,3.04,3.65,3.53,3.43,2.79,-,3.78,3.56,5.09,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-123.75,-,-,-,-22.74,-,-,-,-49.89,-,-,-,-,-,-
9,P/OCF Ratio,20.27,-,-,-,23.05,35.81,40.43,-,36.82,-,-,-,-150.10,-,-,-,-,-,-
10,EV/Sales Ratio,2.50,2.38,2.09,2.38,3.06,3.34,3.26,3.15,2.79,2.96,4.34,4.75,7.08,-,-,-,-,-,-
11,EV/EBITDA Ratio,18.08,17.79,15.36,17.81,22.83,30.41,33.51,38.02,36.66,30.01,44.55,39.74,58.87,-,-,-,-,-,-
12,EV/EBIT Ratio,24.06,22.60,19.37,22.75,29.28,41.88,48.41,58.80,58.94,42.83,-,54.42,81.72,-,-,-,-,-,-
13,EV/FCF Ratio,-7.33,-,-,-,-119.75,-,-,-,-20.80,-,-,-,-49.91,-,-,-,-,-,-
