,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,21.1,46.92,109.05,57.5,93.31,94.04,111.03,55.46,73.69,87.76
1,Trading Asset Securities,2.58,2.58,-,10.77,-,-,35.59,35.59,2.17,0.46
2,Cash & Short-Term Investments,23.68,49.5,109.05,68.27,93.31,94.04,146.62,91.05,75.86,88.22
3,Cash Growth,-78.28%,-27.50%,16.86%,-27.40%,-36.36%,3.29%,93.29%,3.21%,11.01%,-27.44%
4,Accounts Receivable,7.31,7.11,9.59,7.81,11.29,11.6,5.31,3.69,3.57,4.99
5,Other Receivables,144.06,145.44,58.34,56.82,0.69,0.82,0.27,14.96,0.23,0.3
6,Receivables,151.36,152.55,67.93,64.62,38.18,32.77,30.22,42.05,19.31,28.18
7,Inventory,2322,2914,3959,3852,4324,3879,2800,2743,2622,3162
8,Prepaid Expenses,-,-,-,-,14.08,24.4,13.52,8.15,3.56,1.65
9,Other Current Assets,36.81,41.24,177.74,27.92,138.55,150.57,194.08,58.04,22.55,39.2
10,Total Current Assets,2534,3157,4314,4013,4608,4181,3184,2942,2743,3320
11,"Property, Plant & Equipment",786.89,781.54,889.52,887.78,4.13,920.26,4.63,979.47,1.82,1052
12,Long-Term Investments,14.17,15.13,20.23,21.55,7.71,6.87,6.01,6.11,6.08,6.12
13,Long-Term Deferred Tax Assets,4.38,4.38,4.12,4.03,2.85,3.01,-,-,-,1.09
14,Other Long-Term Assets,3.91,3.94,46.38,105.18,944.93,137.26,994.84,77.24,47,61.13
15,Total Assets,3395,4022,5342,5108,5634,5301,4280,4134,2948,4605
16,Accounts Payable,1.22,1.91,7.29,2.34,-,-,2.24,-,-,0.65
17,Accrued Expenses,16.05,29.12,7.59,18.73,18.06,26.19,6.77,36.45,7.69,22.71
18,Short-Term Debt,1845,2150,1780,1754,1883,2068,2456,2373,1820,3356
19,Current Portion of Long-Term Debt,10.17,0.72,1224,1082,237.5,193.42,-,-,-,-
20,Current Portion of Leases,19.79,15.97,13.97,14.95,17.86,17.71,13.75,13.23,-,13.79
21,Current Income Taxes Payable,0.5,0.33,4.8,14.91,3.76,0.13,2.96,2.59,2.13,56.92
22,Current Unearned Revenue,41.87,31.66,242.27,36.05,324.78,157.31,116.1,44.6,1.06,9.22
23,Other Current Liabilities,132.38,196.25,198.72,293.4,294.97,172.62,119.89,87.04,61.04,99.16
24,Total Current Liabilities,2067,2426,3479,3216,2780,2635,2718,2557,1892,3558
25,Long-Term Debt,58.64,95.15,91.04,88.21,1317,1184,78.72,75.8,-,-
26,Long-Term Leases,29.24,34.27,28.94,32.02,32.7,39.77,32.24,31.55,-,42.16
27,Long-Term Deferred Tax Liabilities,52.16,52.16,54.64,54.69,59.33,59.84,55.32,55.51,0.18,53.1
28,Total Liabilities,2207,2608,3653,3391,4188,3919,2884,2720,1893,3653
29,Common Stock,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42
30,Additional Paid-In Capital,233.46,233.46,233.46,233.46,233.46,233.46,233.46,233.46,233.46,233.46
31,Retained Earnings,611.84,828.92,1094,1123,854.75,791.68,801.38,826.83,615.29,521.96
32,Comprehensive Income & Other,350.95,361.29,366.89,366.32,361.59,360.41,362.67,356.04,197.8,192.05
33,Total Common Equity,1203,1430,1700,1730,1456,1392,1404,1423,1053,953.88
34,Minority Interest,-14.31,-15.81,-12.05,-12.2,-10.89,-9.7,-8.59,-9.06,2.4,-2.02
35,Shareholders' Equity,1188,1414,1688,1717,1445,1382,1395,1414,1055,951.86
36,Total Liabilities & Equity,3395,4022,5342,5108,5634,5301,4280,4134,2948,4605
37,Total Debt,1963,2297,3138,2971,3488,3503,2581,2494,1820,3412
38,Net Cash (Debt),-1939,-2247,-3029,-2902,-3394,-3409,-2434,-2403,-1745,-3323
39,Net Cash Per Share,-3.02,-3.50,-4.72,-1.96,-2.30,-5.31,-3.79,-2.49,-2.72,-5.18
40,Filing Date Shares Outstanding,641.5,641.5,641.5,641.5,641.5,641.5,641.5,641.5,641.5,641.5
41,Total Common Shares Outstanding,641.5,641.5,641.5,641.5,641.5,641.5,641.5,641.5,641.5,641.5
42,Working Capital,467.22,730.75,835.22,797.35,1828,1546,466.4,385.13,851.09,-238.39
43,Book Value Per Share,1.87,2.23,2.65,2.70,2.27,2.17,2.19,2.22,1.64,1.49
44,Tangible Book Value,1203,1430,1700,1730,1456,1392,1404,1423,1053,953.88
45,Tangible Book Value Per Share,1.87,2.23,2.65,2.70,2.27,2.17,2.19,2.22,1.64,1.49
46,Machinery,-,9.05,-,11.04,-,7.77,-,7.57,-,6.86
47,Leasehold Improvements,-,-,-,-,-,-,-,0.27,-,0.27
