,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jan '22 Jan 1, 2022","Jun '21 Jun 30, 2021","Jan '21 Jan 1, 2021","Jun '20 Jun 30, 2020","Jan '20 Jan 1, 2020",+2 Quarters
0,Market Capitalization,8766,5434,4629,5376,5341,3891,6007,3601,3788,5154,3840,Upgrade
1,Market Cap Growth,1.09%,1.09%,-13.34%,38.16%,-11.08%,8.06%,58.56%,-30.13%,-1.33%,-23.74%,-43.61%,Upgrade
2,Enterprise Value,-4502,-10846,-6296,-4984,-318,-3082,2057,-2565,780,-1083,-1784,Upgrade
3,Last Close Price,3.92,2.43,2.03,3.08,3.05,2.23,3.44,2.06,2.15,2.93,2.18,Upgrade
4,PE Ratio,7.64,4.99,7.31,37.78,47.90,-0.81,-,-1515.44,-,45.22,32.31,Upgrade
5,Forward PE,-,5.45,4.07,6.51,16.26,20.60,13.95,15.05,17.47,21.19,24.35,Upgrade
6,PS Ratio,0.24,0.16,0.15,0.19,0.19,0.16,0.23,0.12,0.13,0.21,0.15,Upgrade
7,PB Ratio,0.57,0.34,0.29,0.41,0.38,0.27,0.40,0.18,0.20,0.30,0.22,Upgrade
8,P/TBV Ratio,0.38,0.38,0.33,0.47,0.44,0.31,0.46,0.20,0.22,0.32,0.23,Upgrade
9,P/FCF Ratio,-,-,3.52,1.07,1.08,1.23,7.44,-,1.96,-,-0.88,Upgrade
10,P/OCF Ratio,-,-,1.84,0.95,1.00,1.06,4.73,-,1.61,-,-1.01,Upgrade
11,PEG Ratio,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,Upgrade
12,EV/Sales Ratio,-,-,-,-,-,-,0.08,-,0.03,-,-,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,1.10,-,-,Upgrade
14,EV/FCF Ratio,2.44,-,-,-,-,-,2.55,-,0.40,-,-,Upgrade
15,Debt / Equity Ratio,0.37,0.37,0.42,0.62,0.62,0.75,0.62,0.49,0.44,0.41,0.39,Upgrade
16,Debt / FCF Ratio,-,-,5.13,1.63,1.76,3.41,11.55,-,4.37,-,-1.60,Upgrade
17,Return on Capital Employed (ROCE),4.57%,4.57%,1.37%,-,-,-26.25%,-,-,-,-0.19%,-,Upgrade
18,Earnings Yield,12.41%,20.02%,13.68%,2.65%,2.09%,-124.19%,-84.65%,-0.07%,-0.23%,2.21%,3.10%,Upgrade
19,FCF Yield,-21.02%,-33.91%,28.41%,93.42%,92.58%,81.07%,13.44%,77.77%,51.11%,-35.96%,-113.31%,Upgrade
20,Buyback Yield / Dilution,-23.55%,-31.04%,-16.01%,-,0.72%,-,11.72%,-,-12.53%,-,7.58%,Upgrade
21,Total Shareholder Return,-22.09%,-31.04%,-16.01%,-,0.72%,-,11.72%,-,-12.53%,-,7.58%,Upgrade
