,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,2025,2392,1768,2058,1913,1557,1244,1117,1044,1071,969.07,841.65,744.59,536.84,462.61,418.95,381.09,266.39,214.39
1,Other Revenue,-7,7,-,50.2,-19.25,19.25,-,20.7,-9.29,9.29,-,10.87,-5.49,5.49,-,6.41,-2.55,2.55,-
2,Revenue,2018,2399,1768,2108,1893,1576,1244,1138,1034,1080,969.07,852.52,739.09,542.33,462.61,425.36,378.54,268.93,214.39
3,Revenue Growth (YoY),6.60%,52.25%,42.10%,85.28%,83.03%,45.91%,28.37%,33.46%,39.97%,99.16%,109.48%,100.42%,95.25%,101.66%,115.78%,-,-,-,-
4,Cost of Revenue,1909,2212,1604,1859,1651,1368,1097,991.05,931.97,961.79,849.7,753.58,645.77,460.28,396.55,374.48,312.9,223.94,178.75
5,Gross Profit,109.29,187.83,163.64,249.39,242.58,208.19,147.08,146.69,102.52,118.31,119.37,98.94,93.33,82.05,66.06,50.89,65.64,44.99,35.64
6,"Selling, General & Admin",48.32,40.49,37.68,40.54,28.51,31.1,31.18,25.89,20.39,16.55,16,16.57,13.63,11.24,10.1,0.1,10.87,9.59,6.54
7,Research & Development,61.94,83.84,81.11,69.97,89.78,76.03,55.99,42.16,39.12,40.38,36.8,31.26,29.06,29.82,22.37,12.51,14.5,10.51,8.56
8,Other Operating Expenses,6.47,5.18,4.04,-2.89,3.06,-3.04,5.22,13.79,-7.83,3.32,3.92,5.51,1.44,1.95,1.46,4.42,0.23,0.51,0.44
9,Operating Expenses,116.88,63.9,116.22,126.85,135.9,105.9,109.3,81.32,56.23,61.77,66.61,57.03,57.31,44.68,38.5,13.89,30.82,22.26,16.18
10,Operating Income,-7.59,123.93,47.42,122.54,106.67,102.29,37.79,65.37,46.29,56.54,52.76,41.92,36.02,37.37,27.56,37,34.82,22.73,19.46
11,Interest Expense,-40.33,-33.13,-39.24,-29.45,-26.12,-20.54,-20.77,-39.09,-,-27.6,-11.02,-22.86,-1.84,-5.15,-2.88,-14.04,-1.51,-3.05,-1.84
12,Interest & Investment Income,12.75,10.72,13.12,9.32,8.01,7.15,5.6,9.95,14.09,1.29,3.07,1.25,0.09,0.21,0.18,0.04,0.02,0.02,0.04
13,Currency Exchange Gain (Loss),-5.15,5.15,-,5.16,-5.06,5.06,-,2.96,-2.06,2.06,-,-0.5,0.27,-0.27,-,-,-,-,-
14,Other Non Operating Income (Expenses),4.9,-9.09,7.95,-6.67,3.61,15.75,-1.52,-2.21,1.04,-3,1.03,1.23,-7.58,1.33,4.42,1.35,-3.55,0.46,0.88
