,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5222,3808,3672,4566,5046,5170,6120,6026,6507,7194,6437,6495,7873,4864,2908,3522,-,-,-,-
1,Market Cap Growth,-26.33%,-26.33%,-40.01%,-24.23%,-22.45%,-28.14%,-4.92%,-7.22%,-17.35%,47.90%,121.38%,84.41%,-,-,-,-,-,-,-,-
2,Enterprise Value,8633,7136,6226,7496,7977,7484,8001,7395,7500,7747,7526,7072,8310,5040,2932,3703,-,-,-,-
3,Last Close Price,21.43,15.29,14.59,21.58,23.85,24.43,28.78,28.18,30.44,34.20,34.80,35.11,42.36,26.17,15.64,18.95,-,-,-,-
4,PE Ratio,22.37,-,11.24,14.39,16.69,19.19,27.19,35.80,34.61,42.42,41.17,46.40,65.06,43.96,26.10,34.92,-,-,-,-
5,Forward PE,7.47,7.55,7.20,10.39,12.28,13.77,17.49,17.22,20.31,20.17,20.47,23.84,-,-,-,-,-,-,-,-
6,PS Ratio,0.61,0.46,0.45,0.62,0.74,0.88,1.23,1.34,1.54,1.83,1.77,2.09,3.03,2.24,1.61,2.29,-,-,-,-
7,PB Ratio,1.69,1.24,1.19,1.49,1.65,2.48,3.06,3.14,3.45,3.94,3.61,6.70,8.24,5.31,3.27,4.09,-,-,-,-
8,P/TBV Ratio,1.29,1.29,1.23,1.55,1.72,2.60,3.22,3.27,3.59,4.06,3.70,7.03,8.65,5.48,3.38,4.23,-,-,-,-
9,P/OCF Ratio,-,-,-,-14.92,-7.86,-,-,-,-,-,-18.40,-,-20.47,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.04,0.86,0.76,1.02,1.17,1.28,1.60,1.64,1.78,1.97,2.07,2.28,3.20,2.32,1.62,2.41,-,-,-,-
11,EV/EBITDA Ratio,17.62,15.44,11.18,14.73,16.63,18.57,23.96,26.99,26.76,31.22,32.09,34.29,46.77,29.74,18.16,25.51,-,-,-,-
12,EV/EBIT Ratio,31.72,-,15.54,19.78,21.60,23.98,31.78,35.90,33.94,39.23,40.19,42.08,58.17,36.54,21.44,30.32,-,-,-,-
13,Debt / Equity Ratio,1.99,1.99,1.93,1.71,1.55,2.05,1.77,1.42,1.09,0.95,0.92,1.47,0.94,0.62,0.48,0.41,0.69,-,-,0.46
14,Debt / EBITDA Ratio,12.49,48.37,8.17,15.17,7.23,8.48,6.36,11.89,5.36,7.54,5.16,5.59,3.51,3.27,2.07,2.51,1.58,-,-,1.82
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.78,-,-,-
16,Asset Turnover,0.82,1.03,0.81,1.09,1.18,1.13,1.04,1.09,1.07,1.32,1.60,1.78,1.82,1.48,1.60,-,-,-,-,
17,Inventory Turnover,9.40,8.60,11.82,10.05,12.27,11.97,11.75,10.61,11.95,13.32,13.66,13.78,16.23,15.93,13.35,14.48,-,-,-,-
18,Quick Ratio,0.94,0.94,0.98,0.98,1.02,0.84,0.87,0.77,0.81,0.93,1.18,0.82,0.99,1.16,1.38,1.70,1.03,-,-,-
19,Current Ratio,1.16,1.16,1.15,1.15,1.17,1.03,1.03,0.98,1.01,1.12,1.33,1.04,1.20,1.47,1.68,2.03,1.26,-,-,-
20,Return on Equity (ROE),-2.08%,14.41%,5.37%,14.17%,16.36%,20.78%,5.51%,12.48%,8.70%,13.04%,19.08%,16.87%,11.54%,13.00%,16.95%,-,-,-,-,
21,Return on Assets (ROA),-0.19%,3.31%,1.35%,3.97%,4.15%,4.60%,1.97%,3.91%,3.00%,4.32%,5.43%,5.47%,5.54%,6.37%,5.96%,-,-,-,-,
22,Return on Capital (ROIC),-0.21%,3.56%,1.47%,4.32%,4.48%,5.02%,2.20%,4.36%,3.32%,4.86%,6.21%,6.28%,6.43%,7.38%,7.22%,-,-,-,-,
