,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,2248,2399,2517,2501,1301,1175,798.01,641.2,734.06,1085,336.6,319.66,133.06,250.03,329.93,101.11,-,-,-
1,Short-Term Investments,370.46,160.28,43.63,32.66,52.8,52.45,52.1,51.76,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,89.12,90.3,140,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,2708,2650,2701,2533,1354,1227,850.14,692.96,734.06,1085,336.6,319.66,133.06,250.03,329.93,101.11,-,-,81.38
4,Cash Growth,99.97%,115.90%,217.71%,265.58%,84.48%,13.10%,152.56%,116.78%,451.67%,334.05%,2.02%,216.14%,-,-,305.43%,-,-,-,-
5,Accounts Receivable,2927,3097,2310,2418,2092,1787,1503,1276,1016,1140,917.45,755.24,697.12,530.97,407.15,304.88,-,-,-
6,Other Receivables,13.5,10.32,7.61,7.35,16.69,15.12,11.86,5.62,84.11,7.82,124.1,7.1,17.6,0.35,37.16,17.91,-,-,-
7,Receivables,2941,3107,2318,2425,2109,1802,1514,1281,1100,1147,1042,762.34,714.72,531.32,444.31,322.78,-,-,-
8,Inventory,979.16,797.17,699.13,577.5,634.55,469.02,461.99,365.21,298.28,261.46,301.78,191.44,180.05,144.22,131.65,87.52,-,-,-
9,Prepaid Expenses,-,0.04,-,-,-,-,-,0.08,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,325.16,192.17,181.76,144.08,157.66,110.25,168.62,114.3,80.83,30.39,70.44,40.25,47.41,23.95,19.91,9.2,-,-,-
11,Total Current Assets,6953,6747,5900,5680,4255,3608,2995,2454,2213,2525,1750,1314,1075,949.52,925.8,520.61,-,-,-
12,"Property, Plant & Equipment",2532,2479,2369,2303,1800,1604,1450,1393,1080,775.32,691.32,638.38,573.53,519.08,400.81,330.29,-,-,-
13,Long-Term Investments,15.02,283.64,15.02,15.02,-,458.26,-,-,-,283.07,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,115.27,115.88,116.52,117.2,98.78,99.28,73.87,74.31,56.55,45.4,45.56,45.84,29.54,29.53,29.73,29.87,-,-,-
