,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,5.23,11.23,3.62,10.78,11.25,14.4,15.16,15.14,14.66,12.43,Upgrade
1,Short-Term Investments,0.59,0.47,0.49,0.51,0.61,0.49,0.84,2.15,-,1.86,Upgrade
2,Trading Asset Securities,9.89,8.12,3.61,1.67,2.14,3.18,2.2,2.91,2.22,2.66,Upgrade
3,Cash & Short-Term Investments,15.71,19.82,7.73,12.95,13.99,18.07,18.19,20.2,16.87,16.94,Upgrade
4,Cash Growth,103.37%,53.04%,-44.79%,-28.33%,-23.10%,-10.55%,7.82%,19.21%,-54.02%,-75.42%,Upgrade
5,Accounts Receivable,6.38,7.94,13.52,9.97,6.03,12.4,6.19,5.72,2.66,16.31,Upgrade
6,Other Receivables,0.13,0.11,0.43,0.22,0.35,4.04,7.61,9.38,10.21,24.03,Upgrade
7,Receivables,6.52,8.05,13.95,10.19,6.38,16.44,13.79,15.1,12.87,40.34,Upgrade
8,Inventory,12.48,14.22,17,15.87,18.68,27.26,17.94,20.09,18.92,10.7,Upgrade
9,Prepaid Expenses,0.68,2.45,1.46,2.28,2.13,1.62,1.95,1.26,3.59,2.25,Upgrade
10,Other Current Assets,13.82,1.12,1.71,1.06,3.12,1.37,0.74,4.81,1.24,2.48,Upgrade
11,Total Current Assets,49.21,45.65,41.84,42.33,44.31,64.76,52.61,61.45,53.49,72.71,Upgrade
12,"Property, Plant & Equipment",497.12,494.96,507.05,537.02,535.39,592.58,588.04,603.35,582.32,482.5,Upgrade
13,Long-Term Investments,40.14,34.45,21.04,24.81,40.47,25.79,25.34,34.59,32.86,26.93,Upgrade
14,Long-Term Deferred Tax Assets,0.7,0.7,0.44,0.44,0.39,0.39,0.37,0.37,0.12,0.12,Upgrade
15,Other Long-Term Assets,12.4,12.1,12.98,13.68,13.82,10.26,11.26,12.05,12.26,52.56,Upgrade
16,Total Assets,599.56,587.85,583.34,618.28,634.37,693.77,677.62,711.82,681.05,634.81,Upgrade
17,Accounts Payable,7.7,9,7.57,6.88,6.1,11.9,11.61,7.5,7.57,14.39,Upgrade
18,Accrued Expenses,35.54,31.28,30.84,32.4,33.52,37.73,22.93,32.27,11.71,11.79,Upgrade
