,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Revenue,329.45,450.6,356.48,330.33,474.37,735.27,501.93,557.87,309.17
1,Revenue Growth (YoY),-7.58%,36.41%,-24.85%,-55.07%,-5.49%,31.80%,62.35%,-,-
2,Cost of Revenue,212.1,248.13,220.28,179.51,350.69,482.44,357.86,318.16,221.54
3,Gross Profit,117.35,202.47,136.21,150.83,123.68,252.83,144.07,239.7,87.63
4,"Selling, General & Admin",129.68,217.12,163.09,270.15,233.47,342.52,408.45,256.19,243.26
5,Research & Development,93.68,129.34,103.58,160.67,181.85,176.71,191.95,123.21,98.65
6,Other Operating Expenses,-2.56,-14.67,-6.53,-15.33,-11.65,8.76,-18.97,-17.72,-0.96
7,Operating Expenses,254.77,410.08,280.44,465,415.18,569.94,586.78,374.47,343.73
8,Operating Income,-137.42,-207.61,-144.23,-314.17,-291.5,-317.11,-442.71,-134.76,-256.1
9,Interest Expense,-0.68,-2.37,-0.95,-0.97,-1.64,-2.4,-1.82,-0.6,-2.69
10,Interest & Investment Income,80.44,73.34,69.96,46.17,32.6,3.47,2.05,1.92,0.45
11,Earnings From Equity Investments,-2.54,-3.69,-4.79,-3.72,-0.55,-0.01,-0.2,-0.75,-1.09
12,Currency Exchange Gain (Loss),2.06,-0.04,-4.38,2.62,-87.24,-7.57,1.01,-16.59,-
13,Other Non Operating Income (Expenses),-,-5.53,-,-0.95,-,-3.4,-,-,34.4
14,EBT Excluding Unusual Items,-58.13,-145.89,-84.39,-271.02,-348.34,-327.02,-441.67,-150.79,-225.04
15,Impairment of Goodwill,-,-,-,-,-,-,-4.36,-,-
16,Gain (Loss) on Sale of Investments,1.63,5.18,5,3.05,-6.18,12.86,3.34,1.05,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.36,-,-,-
18,Asset Writedown,0.1,-,-,-3.26,-,-4.12,-,-,-
19,Legal Settlements,-,-1.13,-,-5.07,-,-6.24,-,-,-
20,Other Unusual Items,-,0.02,-,1.87,-,-,-,-2351,-967.78
21,Pretax Income,-56.39,-141.81,-79.39,-274.43,-354.51,-324.15,-442.69,-2501,-1193
22,Income Tax Expense,-0.03,-0.12,0.17,1.59,1.84,-0.34,-0.15,1.88,-0.46
23,Earnings From Continuing Operations,-56.36,-141.69,-79.56,-276.01,-356.35,-323.82,-442.54,-2502,-1192
24,Minority Interest in Earnings,12.92,22.51,3.79,1.57,2.83,2.27,1.77,-5.21,-0.26
25,Net Income,-43.45,-119.18,-75.77,-274.45,-353.52,-321.55,-440.77,-2508,-1193
26,Net Income to Common,-43.45,-119.18,-75.77,-274.45,-353.52,-321.55,-440.77,-2508,-1193
27,Shares Outstanding (Basic),1057,1053,1050,1002,989,980,935,618,404
28,Shares Outstanding (Diluted),1057,1053,1050,1002,989,980,935,618,404
29,Shares Change (YoY),0.71%,5.16%,6.18%,2.16%,5.75%,58.74%,131.52%,-,-
30,EPS (Basic),-0.04,-0.11,-0.07,-0.27,-0.36,-0.33,-0.47,-4.06,-2.95
31,EPS (Diluted),-0.04,-0.11,-0.07,-0.27,-0.36,-0.33,-0.47,-4.06,-2.95
32,Free Cash Flow,-117.34,-37.14,-328.47,-107.95,-266.65,-360.84,-311.3,-,-
33,Free Cash Flow Per Share,-0.11,-0.04,-0.31,-0.11,-0.27,-0.37,-0.33,-,-
34,Operating Margin,-41.71%,-46.07%,-40.46%,-95.11%,-61.45%,-43.13%,-88.20%,-24.16%,-82.84%
35,Profit Margin,-13.19%,-26.45%,-21.25%,-83.08%,-74.52%,-43.73%,-87.81%,-449.51%,-385.75%
36,Free Cash Flow Margin,-35.62%,-8.24%,-92.14%,-32.68%,-56.21%,-49.08%,-62.02%,-,-
37,EBITDA,-123.48,-191.47,-130.14,-301.5,-278.46,-303.24,-433.24,-126.02,-245.98
38,D&A For EBITDA,13.94,16.13,14.09,12.67,13.04,13.88,9.47,8.74,10.12
39,EBIT,-137.42,-207.61,-144.23,-314.17,-291.5,-317.11,-442.71,-134.76,-256.1
40,Advertising Expenses,8.1,-,11.23,-,13.06,-,-,-,-
