,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,689.94,1408,1026,1173,872.98,3409,4214,739.85,-
1,Short-Term Investments,2496,2226,2420,2349,2146,327.83,37.98,3865,-
2,Trading Asset Securities,194.14,70.15,374.57,230.09,371.03,36.93,21.03,20.95,-
3,Cash & Short-Term Investments,3380,3704,3821,3752,3390,3773,4273,4626,848.34
4,Cash Growth,-11.52%,-1.30%,12.69%,-0.56%,-20.66%,-18.43%,403.75%,-,-
5,Accounts Receivable,624.68,587.19,626.91,598.2,705.93,671.99,520.19,417.08,-
6,Other Receivables,12.02,1.01,58.08,21.15,19.47,-,-,1.28,-
7,Receivables,636.7,588.2,685,619.36,726.15,671.99,520.19,418.36,-
8,Inventory,5.2,6.44,5.18,5.71,10.43,9.47,23.22,40.1,-
9,Prepaid Expenses,40.15,44.71,46.62,54.8,8.09,10.61,-,15.64,-
10,Restricted Cash,-,14.49,-,-,-,-,-,-,-
11,Other Current Assets,66.19,76.68,85.59,79.32,93.68,86.86,50.08,50.46,-
12,Total Current Assets,4129,4434,4643,4511,4229,4552,4867,5150,-
13,"Property, Plant & Equipment",77.06,92.94,106.41,83.83,96.59,102.73,107.87,49.57,-
14,Long-Term Investments,408.62,245.64,57.68,268.91,281.5,26.38,5.02,5.22,-
15,Goodwill,-,-,-,-,-,-,-,4.36,-
16,Other Intangible Assets,36.46,39.12,39.7,39.53,39.48,35.25,37.81,34.84,-
17,Long-Term Deferred Tax Assets,0.33,0.29,0.17,0.35,0.63,1.24,0.9,0.75,-
18,Other Long-Term Assets,15.2,12.13,11.36,7.47,8.68,5.02,11.13,5.01,-
19,Total Assets,4666,4824,4858,4912,4656,4723,5030,5250,-
20,Accounts Payable,148.26,174.98,177.92,160.43,170.37,210.6,109.01,85.88,-
21,Accrued Expenses,200.66,274.49,225.69,269.89,219.31,269.64,264.75,233.03,-
22,Short-Term Debt,45.15,80,-,-,-,-,-,-,-
23,Current Portion of Leases,4.08,8.79,9.97,9.54,17.48,26.18,25.68,19.52,-
24,Current Income Taxes Payable,0.23,0.23,0.23,1.54,0.25,0.25,0.25,2.19,-
25,Current Unearned Revenue,74.39,49.83,41.42,61.15,48.47,43.76,36.37,31.81,-
26,Other Current Liabilities,129.98,66.17,80.82,168.46,49.62,61.16,117.23,42.16,-
27,Total Current Liabilities,602.74,654.5,536.05,671.01,505.48,611.58,553.27,414.58,-
28,Long-Term Leases,6.68,6.42,5.67,4.59,9.43,25.99,34.08,6.91,-
29,Long-Term Unearned Revenue,71.55,71.3,79.48,79.76,73.72,77.77,75.83,76.21,-
30,Total Liabilities,680.97,732.21,621.21,755.36,588.63,715.34,663.18,497.71,-
31,Common Stock,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,-
32,Additional Paid-In Capital,12087,12001,12015,11853,11427,11368,-,11256,-
33,Retained Earnings,-9104,-9061,-8942,-8866,-8592,-8238,-7917,-7476,-
34,Treasury Stock,-10.83,-4.52,-0,-0,-0,-0,-0,-0,-
35,Comprehensive Income & Other,954.92,1087,1071,1095,1214,859.46,12262,949.49,-
36,Total Common Equity,3927,4023,4145,4082,4050,3990,4346,4730,-4185
37,Minority Interest,58.65,69.12,92.23,73.79,17.45,17.67,20.41,22.62,-
38,Shareholders' Equity,3985,4092,4237,4156,4067,4007,4367,4752,-4186
39,Total Liabilities & Equity,4666,4824,4858,4912,4656,4723,5030,5250,-
40,Total Debt,55.91,95.2,15.64,14.13,26.91,52.17,59.75,26.43,5022
41,Net Cash (Debt),3325,3608,3805,3738,3364,3721,4214,4599,-4173
42,Net Cash Growth,-12.63%,-3.47%,13.13%,0.46%,-20.18%,-19.09%,-,-,-
43,Net Cash Per Share,3.14,3.43,3.62,3.73,3.40,3.80,4.51,7.45,-10.33
44,Filing Date Shares Outstanding,1056,1053,1053,1036,992.27,987.14,935.09,925.23,403.89
45,Total Common Shares Outstanding,1056,1053,1053,1036,992.27,987.14,935.09,925.23,403.89
46,Working Capital,3526,3780,4107,3840,3723,3941,4314,4736,-
47,Book Value Per Share,3.72,3.82,3.94,3.94,4.08,4.04,4.65,5.11,-10.36
48,Tangible Book Value,3890,3984,4105,4043,4010,3955,4308,4690,-4226
49,Tangible Book Value Per Share,3.68,3.78,3.90,3.90,4.04,4.01,4.61,5.07,-10.46
50,Machinery,150.3,150.47,150.22,119.91,118.2,107.69,-,87.41,-
51,Leasehold Improvements,72.77,70.8,70.11,67.26,59.95,43.84,-,14.02,-
