,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Market Capitalization,6972,3981,4259,4190,7488,4783,9664,25246,32846,-
1,Market Cap Growth,-4.98%,-4.98%,-43.13%,-12.39%,-22.51%,-81.06%,-70.58%,-,-,-
2,Enterprise Value,3354,145,274,3,3796,208,4598,19801,37423,-
3,Last Close Price,6.60,3.76,4.01,3.98,7.32,4.82,9.79,25.85,35.50,-
4,PS Ratio,8.06,4.61,4.87,5.68,8.14,3.58,6.32,19.72,31.93,-
5,PB Ratio,1.60,0.90,0.96,0.92,1.58,1.07,1.95,4.79,5.83,-
6,P/TBV Ratio,0.92,0.92,0.99,0.95,1.62,1.08,1.98,4.85,5.90,-
7,EV/Sales Ratio,3.88,0.17,0.31,0.00,4.13,0.16,3.01,15.47,36.38,-
8,Debt / Equity Ratio,0.01,0.01,0.02,0.00,0.00,0.01,0.01,0.01,0.01,-1.20
9,Earnings Yield,-2.58%,-4.52%,-4.96%,-8.97%,-9.58%,-15.57%,-9.74%,-14.11%,-13.37%,-
10,FCF Yield,-2.45%,-4.30%,-9.30%,-11.18%,-5.72%,-14.48%,-8.59%,-1.49%,-,-
11,Buyback Yield / Dilution,-2.88%,-0.71%,-5.16%,-6.18%,-2.16%,-5.75%,-58.74%,-131.52%,-,-
12,Total Shareholder Return,-2.88%,-0.71%,-5.16%,-6.18%,-2.16%,-5.75%,-58.74%,-131.52%,-,-
