,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,199942,113664,132923,229457,127329,209197,177451,140864,198299,193911,242909,297880,319646,300522,141965,309482,302028,275416,212320,348524,Upgrade
1,Short-Term Investments,103000,28000,28000,63000,145000,67107,67000,110000,146000,158034,124846,136034,194034,250534,507234,689700,644528,482900,502469,465400,Upgrade
2,Cash & Short-Term Investments,302942,141664,160923,292457,272329,276304,244451,250864,344299,351945,367755,433915,513681,551057,649199,999182,946556,758316,714789,813924,Upgrade
3,Cash Growth,11.24%,-48.73%,-34.17%,16.58%,-20.90%,-21.49%,-33.53%,-42.19%,-32.97%,-36.13%,-43.35%,-56.57%,-45.73%,-27.33%,-9.18%,22.76%,35.62%,4.98%,17.11%,-3.02%,Upgrade
4,Accounts Receivable,799975,841365,916511,890495,1128673,1455551,1526937,1388649,1547108,1496766,1336318,2189367,2655987,2851795,1525501,520835,877840,535213,400683,372877,Upgrade
5,Other Receivables,-32149,3821,7984,19926,6388,20695,17442,82378,6143,13601,1495,21740,3782,17949,9893,12433,11056,15293,200245,17472,Upgrade
6,Receivables,767826,845186,924495,910421,1135062,1476246,1544379,1471027,1553252,1510368,1337813,2211107,2659768,2869744,1535394,533268,888896,550505,600928,390349,Upgrade
7,Inventory,157152,205489,116523,101949,72387,120256,108552,39040,83958,137285,174605,300572,300275,236268,362686,228926,162897,469101,232655,282739,Upgrade
8,Prepaid Expenses,7273,6579,7773,9677,6284,7891,7828,2953,4550,6183,8071,7222,4694,5042,7446,8909,4428,4487,5548,10054,Upgrade
9,Other Current Assets,130108,109779,105636,123706,123862,153268,132622,109986,112070,123742,156402,153040,135938,43684,100371,719363,702493,778618,118504,291487,Upgrade
10,Total Current Assets,1365302,1308697,1315351,1438210,1609923,2033965,2037832,1873870,2098129,2129523,2044646,3105855,3614356,3705794,2655096,2489648,2705270,2561028,1672423,1788553,Upgrade
11,"Property, Plant & Equipment",296058,303136,309271,316722,319836,320144,324860,301356,338103,343247,343994,335810,337357,332061,313338,285173,262597,193231,157031,148363,Upgrade
12,Long-Term Investments,398532,392730,400114,400114,382473,402262,402262,402262,402262,399415,356342,356342,356342,320009,298709,202771,202393,202422,197179,151594,Upgrade
