,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,240,106,108,319,66,152,175,69,156,410,580,Upgrade
1,Market Cap Growth,25.54%,-66.83%,63.82%,109.86%,-62.47%,120.17%,12.15%,-83.17%,-73.10%,-35.94%,24.73%,Upgrade
2,Enterprise Value,292,148,127,314,103,173,136,23,126,382,534,Upgrade
3,Last Close Price,0.15,0.07,0.08,0.25,0.14,0.39,0.45,0.21,0.48,1.53,2.16,Upgrade
4,PE Ratio,39.23,35.03,-,-,-,20.38,35.08,-6.96,-,372.39,-,Upgrade
5,PS Ratio,0.64,0.84,-,2.70,-,0.52,0.71,0.51,1.38,5.19,6.72,Upgrade
6,PB Ratio,0.63,0.27,0.30,0.91,0.26,0.62,0.72,0.30,0.70,2.88,4.17,Upgrade
7,P/TBV Ratio,0.28,0.28,0.30,0.92,0.27,0.63,0.72,0.30,0.70,2.88,4.17,Upgrade
8,EV/Sales Ratio,0.97,1.18,-,2.66,-,0.59,0.55,0.17,1.11,4.83,6.18,Upgrade
9,EV/EBITDA Ratio,9.66,11.23,-,380.92,-,7.02,8.75,-2.63,-,108.15,-,Upgrade
10,EV/EBIT Ratio,12.20,12.72,-,390.38,-,8.11,11.13,-2.55,-,188.96,-,Upgrade
11,Debt / Equity Ratio,0.19,0.19,0.21,0.20,0.18,0.17,0.17,0.02,0.02,0.02,0.04,Upgrade
12,Return on Capital Employed (ROCE),6.16%,3.00%,-,0.23%,-,8.72%,4.99%,-3.92%,-,1.42%,-,Upgrade
13,Earnings Yield,1.17%,2.85%,-,-1.70%,-,4.91%,2.85%,-14.36%,-6.48%,0.27%,1.41%,Upgrade
14,FCF Yield,-38.92%,-27.91%,-,-44.75%,-,-51.64%,-43.14%,-122.03%,-48.87%,-5.70%,-13.05%,Upgrade
15,Buyback Yield / Dilution,-101.48%,-20.00%,-,-260.00%,-,-20.00%,-17.87%,-20.00%,-4.48%,-,-,Upgrade
16,Total Shareholder Return,-101.48%,-20.00%,-,-260.00%,-,-20.00%,-17.87%,-20.00%,-4.48%,-,-,Upgrade
