,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,15125,14423,13817,13567,12295,18323,14804,15981,-,-,-,-,-
1,Market Cap Growth,-21.28%,-21.28%,-6.67%,-15.10%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,14022,13320,12524,12064,10723,16751,13081,16455,-,-,-,-,-
3,Last Close Price,12.72,12.13,11.58,11.37,10.21,15.22,12.30,13.28,-,-,-,-,-
4,PE Ratio,48.92,46.04,38.91,32.97,29.43,49.30,49.13,65.33,-,-,-,-,-
5,PS Ratio,7.82,7.36,7.21,7.24,6.97,11.25,9.98,12.39,-,-,-,-,-
6,PB Ratio,2.54,2.42,2.32,2.31,2.08,3.14,2.60,2.86,-,-,-,-,-
7,P/TBV Ratio,2.93,2.93,2.80,2.80,2.53,3.82,3.17,3.52,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-94.43,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,19.96,18.73,19.29,33.85,46.85,39.59,-,-,-,-,-
10,EV/Sales Ratio,7.15,6.80,6.53,6.44,6.08,10.28,8.82,12.76,-,-,-,-,-
11,EV/EBITDA Ratio,20.90,19.41,18.17,16.31,15.06,25.02,22.05,32.96,-,-,-,-,-
12,EV/EBIT Ratio,37.79,35.90,33.46,28.06,25.65,43.95,42.15,72.42,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-86.33,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.07,0.07,0.07,0.08,0.08,0.11,0.12,0.13,0.32,0.36,-,0.44,0.42
15,Debt / EBITDA Ratio,0.65,0.56,0.65,0.65,0.73,0.82,0.81,1.31,2.28,2.32,-,1.96,1.92
16,Debt / FCF Ratio,-,-,-,-,-,-3.36,-,-,-,-,-,6.75,17.87
17,Asset Turnover,-,0.29,0.28,0.25,0.27,0.27,0.27,0.26,-,-,-,-,
18,Inventory Turnover,-,-,2.93,3.21,2.89,2.88,2.73,2.83,2.39,-,-,-,-
19,Quick Ratio,-,-,2.03,2.68,2.40,2.64,3.12,4.46,1.08,1.24,-,1.18,-
20,Current Ratio,-,-,2.75,3.25,2.98,3.06,3.79,5.06,1.82,1.76,-,1.64,-
21,Return on Equity (ROE),5.69%,4.48%,5.79%,5.23%,8.79%,8.70%,8.29%,3.78%,-,-,13.77%,-,
22,Return on Assets (ROA),-,3.29%,2.77%,2.85%,4.30%,5.39%,2.92%,2.35%,-,-,-,-,
23,Return on Capital (ROIC),4.66%,3.64%,3.07%,3.16%,4.75%,5.82%,3.10%,2.56%,-,-,6.17%,-,
24,Return on Capital Employed (ROCE),-,-,6.00%,6.95%,6.71%,6.17%,4.93%,3.75%,6.61%,7.95%,-,5.26%,-
25,Earnings Yield,2.07%,2.17%,2.57%,3.03%,3.40%,2.03%,2.04%,1.53%,-,-,-,-,-
26,FCF Yield,-,-2.48%,-2.40%,-1.86%,-1.06%,-1.97%,-0.07%,-,-,-,-,-,
27,Dividend Yield,0.77%,-,-,1.32%,-,0.66%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,4.89%,107.95%,6.43%,4.96%,4.02%,8.91%,35.23%,22.68%,18.19%,12.63%,16.30%
29,Buyback Yield / Dilution,-6.98%,-4.18%,0.89%,-1.96%,-25.25%,-22.60%,-36.70%,2.48%,-5.62%,-,-,-,-
30,Total Shareholder Return,-6.22%,-4.18%,0.89%,-0.64%,-25.25%,-21.94%,-36.70%,2.48%,-5.62%,-,-,-,-
