,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,1162,1494,1827,2143,1974,2455,519.53,652.36,-,831.09,-
1,Trading Asset Securities,-,377.96,240.14,130.24,144.02,304.09,15.04,46,111.77,-,75.63,-
2,Cash & Short-Term Investments,1540,1540,1734,1957,2287,2278,2470,565.53,764.13,-,906.72,578.98
3,Cash Growth,-32.64%,-32.39%,-29.79%,246.01%,199.24%,-,172.43%,-2.32%,-,-,-,-
4,Accounts Receivable,-,186.58,210.97,163.48,168.23,224,119.45,60.96,71.81,-,74.75,-
5,Other Receivables,-,3.53,133.88,4.76,115.21,4.52,71.38,1.68,60.98,-,33.87,-
6,Receivables,-,190.11,344.85,168.24,283.43,228.52,190.83,62.64,132.79,-,108.63,-
7,Inventory,-,483.4,443.08,404.78,408.21,446.43,349.97,377.5,361.74,-,391.96,-
8,Other Current Assets,-,131.57,5.73,108.55,7.82,92.23,6.45,57.44,14.91,-,5.88,-
9,Total Current Assets,-,2345,2528,2638,2986,3045,3017,1063,1274,-,1413,-
10,"Property, Plant & Equipment",-,3587,3338,3235,3086,2828,2528,2460,2480,-,2330,-
11,Goodwill,-,872.74,872.74,872.74,872.74,871.66,872.02,872.38,872.74,-,873.59,-
12,Other Intangible Assets,-,163.4,163.71,165.23,165.96,163.96,165.56,167.05,168.7,-,171.85,-
13,Long-Term Deferred Tax Assets,-,29.23,29.78,26.33,25.05,24.75,23.82,22.5,21.52,-,19.31,-
14,Long-Term Deferred Charges,-,1.74,2.29,2.05,1.51,1.23,1.45,1.17,1.69,-,1.92,-
15,Other Long-Term Assets,-,92.16,24.82,176.23,15.96,156.52,51.6,46.91,4.58,-,18.25,-
16,Total Assets,-,7092,6959,7116,7153,7091,6660,4633,4823,-,4828,-
17,Accounts Payable,-,557.48,422.65,642.81,492.67,543.42,173.41,173.83,230.96,-,176.36,-
18,Accrued Expenses,-,55.04,52.68,40.16,68.46,46.18,40.79,34.3,54.73,-,43.69,-
19,Short-Term Debt,-,95.96,85.39,86.59,121.02,163.78,163.67,302.06,333.32,-,558.19,-
20,Current Portion of Long-Term Debt,-,102.45,92.96,81.9,222.55,0.46,150.51,0.69,0.79,-,-,-
21,Current Portion of Leases,-,-,1.51,-,-,-,0.87,-,0.69,-,2.57,-
22,Current Income Taxes Payable,-,11.55,14.62,4.37,11.19,22.64,12.96,2.36,1.04,-,15.98,-
23,Current Unearned Revenue,-,26.99,42.8,26.45,30.5,23.53,33.75,36.69,87.47,-,46.26,-
24,Other Current Liabilities,-,2.38,64.52,2.23,27.95,2.67,20.3,32.86,16.47,-,17.6,-
25,Total Current Liabilities,-,851.83,777.14,884.51,974.36,802.67,596.26,582.78,725.47,-,860.65,-
26,Long-Term Debt,-,232.26,256.01,285.44,309.19,541.22,432.22,737.21,815.21,-,811.95,-
27,Long-Term Leases,-,6.81,5.35,0.11,-,0.8,-,0.11,-,-,0.07,-
28,Long-Term Unearned Revenue,-,-,-,-,-,2.45,9.21,16.09,17.89,-,21.35,-
29,Long-Term Deferred Tax Liabilities,-,38.34,40.5,39.22,39.66,40.56,40.88,40.99,41.26,-,36.72,-
30,Total Liabilities,-,1129,1079,1209,1323,1388,1079,1377,1600,-,1731,-
31,Common Stock,-,1189,1189,1189,1189,1189,1189,989.04,989.04,-,989.04,-
32,Additional Paid-In Capital,-,3519,3503,3496,3496,3496,3496,1463,1461,-,1458,-
33,Retained Earnings,-,1253,1186,1220,1143,1016,893.59,802,771.46,-,649.06,-
34,Comprehensive Income & Other,-,2.08,2.47,2.36,2.32,2.68,2.77,1.72,1.95,-,1.44,-
35,Shareholders' Equity,5963,5963,5880,5907,5830,5704,5581,3256,3223,-,3097,2913
36,Total Liabilities & Equity,-,7092,6959,7116,7153,7091,6660,4633,4823,-,4828,-
37,Total Debt,437.48,437.48,441.23,454.04,652.76,706.26,747.26,1040,1150,-,1373,1234
38,Net Cash (Debt),1103,1103,1293,1503,1634,1572,1723,-474.53,-385.88,-,-466.06,-654.89
39,Net Cash Growth,-32.50%,-29.85%,-24.95%,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,0.91,0.85,1.25,1.18,1.40,1.21,1.69,-0.47,-0.41,-,-0.45,-0.68
41,Filing Date Shares Outstanding,1189,1189,1189,1189,1189,1189,1189,1189,989.04,953.44,989.04,966.1
42,Total Common Shares Outstanding,1189,1189,1189,1189,1189,1189,1189,989.04,989.04,953.44,989.04,966.1
43,Working Capital,-,1494,1751,1754,2012,2243,2421,480.34,548.1,-,552.54,-
44,Book Value Per Share,5.01,5.01,4.95,4.97,4.90,4.80,4.69,3.29,3.26,-,3.13,2.95
45,Tangible Book Value,4926,4926,4844,4869,4791,4668,4544,2216,2182,-,2052,1878
46,Tangible Book Value Per Share,4.14,4.14,4.07,4.09,4.03,3.93,3.82,2.24,2.21,-,2.07,1.90
47,Buildings,-,-,881.24,-,880.71,-,579.96,-,576.48,-,516.27,-
48,Machinery,-,-,4015,-,3544,-,3406,-,3267,-,3117,-
49,Construction In Progress,-,-,484.69,-,565.27,-,324.56,-,274.03,-,192.5,-
