,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,326,568,448,596,524,560,620,574,596,760,844
1,Market Cap Growth,-4.70%,-4.70%,-14.50%,6.39%,-15.48%,-2.40%,4.03%,-24.47%,-29.38%,-,-
2,Enterprise Value,4075,4218,4005,4168,4177,3966,3350,2870,2301,2173,2075
3,PE Ratio,-,-,-,-,8.29,5.25,4.20,3.96,4.87,7.72,8.15
4,PS Ratio,0.48,0.84,0.67,0.94,0.85,0.96,0.97,0.92,1.04,1.47,1.60
5,PB Ratio,0.36,0.51,0.38,0.51,0.40,0.42,0.45,0.45,0.49,0.75,0.84
6,P/FCF Ratio,-,-,-14.19,-,-3.42,-,-,-,-,-,-
7,P/OCF Ratio,2.21,2.21,1.91,2.66,1.89,2.48,2.06,1.89,3.25,7.17,4.01
8,EV/Sales Ratio,6.05,6.27,5.99,6.57,6.81,6.82,5.25,4.60,4.01,4.21,3.93
9,EV/EBITDA Ratio,14.28,15.17,14.42,15.56,16.27,16.81,12.19,10.41,9.42,10.23,9.43
10,EV/EBIT Ratio,70.92,63.56,63.23,39.84,25.59,22.86,15.99,13.47,12.59,14.05,12.91
11,EV/FCF Ratio,-61.73,-,-126.88,-,-27.28,-,-,-,-,-,-
12,Debt / Equity Ratio,3.54,3.54,3.30,3.07,2.75,2.72,2.44,2.31,1.95,1.92,1.72
13,Debt / FCF Ratio,-,-,-124.22,-,-23.70,-,-,-,-,-,-
14,Return on Capital Employed (ROCE),1.35%,1.35%,1.27%,2.17%,3.28%,3.48%,4.39%,5.06%,5.03%,5.25%,5.83%
15,Earnings Yield,-23.05%,-13.23%,-20.66%,-4.72%,12.07%,19.03%,23.82%,25.22%,20.54%,12.96%,12.27%
16,Earnings Yield,-23.05%,-13.23%,-20.66%,-4.72%,12.07%,19.03%,23.82%,25.22%,20.54%,12.96%,12.27%
17,FCF Yield,-20.25%,-11.62%,-7.05%,4.12%,-29.21%,-97.82%,-101.17%,-119.90%,-105.69%,-69.30%,-41.93%
18,Buyback Yield / Dilution,-,-,-,-,-,-,-,-33.09%,-33.33%,-0.18%,
19,Total Shareholder Return,-,-,-,-,-,-,-,-33.09%,-33.33%,-0.18%,
