,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,569.03,521.05,396.93,357.72,349.7,538.88,740.25,492.18,468.55,550.35,624.14,545.45,717.81,516.34,527.61,455.06,415.48,430.66,293.57,210.96
1,Other Revenue,-,-74.52,74.52,-,113.52,-46.11,46.11,-,112.38,-61.35,61.35,-,-,-38.76,38.76,-,80.39,-34.92,25.98,8.94
2,Revenue,569.03,446.53,471.46,357.72,463.22,492.77,786.36,492.18,580.93,489,685.49,545.45,717.81,477.58,566.38,455.06,495.87,395.73,319.56,219.91
3,Revenue Growth (YoY),22.84%,-9.38%,-40.05%,-27.32%,-20.26%,0.77%,14.72%,-9.77%,-19.07%,2.39%,21.03%,19.86%,44.76%,20.68%,77.24%,106.93%,-,-,-,-
4,Cost of Revenue,890.64,356.35,410.4,297.01,470.05,399.18,658.33,420.8,501.95,387.88,567.7,456.81,603.15,369.07,460.87,354.76,399.36,292.94,254.57,160.26
5,Gross Profit,-321.61,90.17,61.05,60.71,-6.83,93.59,128.03,71.38,78.98,101.12,117.79,88.64,114.66,108.5,105.51,100.3,96.51,102.79,64.98,59.65
6,"Selling, General & Admin",-120.49,40.04,41.2,39.25,50.43,43.47,39.71,38.71,42.06,38.63,41.78,34.33,49.61,39.43,37.3,26.87,29.41,26.35,25.28,18.83
7,Research & Development,-96.77,33.32,33.46,29.98,35.01,34.96,31.83,31.58,33.06,31.04,28.54,26.24,37.33,24.22,21,16.47,25.1,15.36,10.52,9.96
8,Other Operating Expenses,-5.96,-3.53,3.98,5.51,0.91,-1.18,-3.74,-0.46,10.03,-2.19,-4.58,-1.5,3.38,-0.45,2.52,1.39,5.95,-0.45,0.48,0.26
9,Operating Expenses,-227.93,68.83,85.98,73.12,87.65,76.13,75.28,70.08,89.78,61.67,66.63,60.25,100.2,64.48,63.6,44.84,68.46,44.79,35.83,29.24
10,Operating Income,-93.68,21.34,-24.92,-12.42,-94.48,17.46,52.75,1.3,-10.81,39.46,51.16,28.39,14.46,44.02,41.9,55.46,28.06,58,29.15,30.4
11,Interest Expense,-2.93,-4.02,-4.04,-3.25,-2.46,-4.59,-3.89,-4.52,-3.44,-3.01,-2.93,-2.82,-3.9,-,-1.09,-1.25,-0.7,-0.38,-0.39,-0.55
12,Interest & Investment Income,11.31,0.38,1.58,0.96,1.41,1.51,-,3.96,1.41,1.88,1.82,1.92,3.32,4.26,0.63,0.12,0.09,0.06,0.08,0.05
13,Currency Exchange Gain (Loss),-,-4.82,4.82,-,3.88,-7.39,7.39,-,23.62,-12.81,12.81,-,-2.36,-1.41,1.41,-,-10.19,-2.1,-0.45,2.55
14,Other Non Operating Income (Expenses),-17.56,2.19,-3.58,2.12,-6.51,-17.04,-0.03,-5.61,-21.82,26.15,-6.38,0.23,30.53,-30.31,-3.41,1.79,6.2,-6.14,-0.76,-0.64
15,EBT Excluding Unusual Items,-102.86,15.08,-26.14,-12.58,-98.17,-10.05,56.22,-4.87,-11.04,51.67,56.48,27.72,42.04,16.56,39.44,56.12,23.45,49.43,27.63,31.81
16,Gain (Loss) on Sale of Investments,3.04,0.05,-0.16,-2.92,3.36,-5.96,-13.97,-1.36,-18.39,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.87,0.24,-0.98,-0.13,-3.8,5.27,-0.62,-4.56,-2.63,0.26,0.15,0,-0.04,0.61,-0.94,-,-0.67,0.51,-0.51,-
18,Asset Writedown,18.21,-18.21,14.15,-14.15,19.04,-19.5,1.7,-1.7,8.29,-8.54,2.64,-2.64,12.13,-15.15,4.09,-4.09,8.48,-8.48,0.13,-0.13
19,Other Unusual Items,-0.95,-2.6,3.53,0.01,1.13,13.94,-,-,5.98,0.18,-0.18,-,-16,-0.05,0.05,-,8.11,0.14,-0.14,-
20,Pretax Income,-81.69,-5.44,-9.6,-29.77,-78.45,-16.31,43.34,-12.5,-17.8,43.57,59.09,25.08,38.13,1.97,42.64,52.03,39.37,41.61,27.11,31.68
21,Income Tax Expense,-11.62,-5.62,-7.68,-9.12,-17.02,-9.12,3.08,-7.09,-6.42,0.34,5.29,-0.42,1.13,-1.29,4.01,5.25,3.02,6.2,2.89,3.87
22,Earnings From Continuing Operations,-70.07,0.18,-1.92,-20.65,-61.43,-7.19,40.25,-5.41,-11.38,43.23,53.8,25.49,37,3.26,38.64,46.78,36.36,35.41,24.22,27.81
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-0.3,-0,-0.56,-0.1,-0.16,0.21,0.06,0.01,-0.08,-0.23,-0.09,-0.02
24,Net Income,-70.07,0.18,-1.92,-20.65,-61.43,-7.19,40.25,-5.41,-11.67,43.23,53.25,25.39,36.84,3.47,38.69,46.79,36.28,35.18,24.14,27.79
25,Net Income to Common,-70.07,0.18,-1.92,-20.65,-61.43,-7.19,40.25,-5.41,-11.67,43.23,53.25,25.39,36.84,3.47,38.69,46.79,36.28,35.18,24.14,27.79
26,Net Income Growth,-,-,-,-,-,-,-24.40%,-,-,1146.60%,37.62%,-45.73%,1.56%,-90.14%,60.31%,68.34%,-,-,-,-
27,Shares Outstanding (Basic),92,109,98,98,101,97,91,108,101,101,98,102,100,99,74,75,74,75,75,75
28,Shares Outstanding (Diluted),92,109,98,98,101,97,91,108,101,101,98,102,100,99,74,75,74,75,75,75
29,Shares Change (YoY),-8.71%,12.24%,7.79%,-9.14%,0.13%,-3.41%,-6.83%,6.57%,0.99%,1.17%,30.90%,34.60%,35.47%,32.99%,-1.20%,0.46%,-,-,-,-
30,EPS (Basic),-0.76,0.00,-0.02,-0.21,-0.61,-0.07,0.44,-0.05,-0.12,0.43,0.55,0.25,0.37,0.03,0.52,0.62,0.49,0.47,0.32,0.37
31,EPS (Diluted),-0.76,0.00,-0.02,-0.21,-0.61,-0.07,0.44,-0.05,-0.12,0.43,0.55,0.25,0.37,0.03,0.52,0.62,0.49,0.47,0.32,0.37
32,EPS Growth,-,-,-,-,-,-,-18.86%,-,-,1132.18%,5.14%,-59.68%,-25.04%,-92.59%,62.25%,67.57%,-,-,-,-
33,Free Cash Flow,-,-57.92,47.53,-272.68,103.8,-219.39,70.24,-108.09,45.07,-219.4,-30.07,-212.78,-117.9,-186.98,44.33,-34.46,36.63,-24.04,35.69,6.01
34,Free Cash Flow Per Share,-,-0.53,0.49,-2.77,1.03,-2.26,0.77,-1.00,0.45,-2.18,-0.31,-2.09,-1.18,-1.88,0.60,-0.46,0.50,-0.32,0.47,0.08
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.400,-,-,-,0.200,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-,100.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,-56.52%,20.19%,12.95%,16.97%,-1.47%,18.99%,16.28%,14.50%,13.59%,20.68%,17.18%,16.25%,15.97%,22.72%,18.63%,22.04%,19.46%,25.98%,20.34%,27.12%
38,Operating Margin,-16.46%,4.78%,-5.29%,-3.47%,-20.40%,3.54%,6.71%,0.26%,-1.86%,8.07%,7.46%,5.20%,2.01%,9.22%,7.40%,12.19%,5.66%,14.66%,9.12%,13.83%
39,Profit Margin,-12.31%,0.04%,-0.41%,-5.77%,-13.26%,-1.46%,5.12%,-1.10%,-2.01%,8.84%,7.77%,4.66%,5.13%,0.73%,6.83%,10.28%,7.32%,8.89%,7.55%,12.64%
40,Free Cash Flow Margin,-,-12.97%,10.08%,-76.23%,22.41%,-44.52%,8.93%,-21.96%,7.76%,-44.87%,-4.39%,-39.01%,-16.43%,-39.15%,7.83%,-7.57%,7.39%,-6.08%,11.17%,2.73%
41,EBITDA,-82.96,32.06,-9.34,-1.7,-83.77,24.18,62.55,8.02,-4.09,44.88,57.61,33.81,19.88,48.88,46.76,60.15,31.96,64.76,35.92,30.99
42,EBITDA Margin,-14.58%,7.18%,-1.98%,-0.47%,-18.08%,4.91%,7.95%,1.63%,-0.70%,9.18%,8.40%,6.20%,2.77%,10.24%,8.26%,13.22%,6.45%,16.37%,11.24%,14.09%
43,D&A For EBITDA,10.72,10.72,15.58,10.72,10.72,6.72,9.8,6.72,6.72,5.42,6.44,5.42,5.42,4.86,4.86,4.7,3.91,6.76,6.76,0.58
44,EBIT,-93.68,21.34,-24.92,-12.42,-94.48,17.46,52.75,1.3,-10.81,39.46,51.16,28.39,14.46,44.02,41.9,55.46,28.06,58,29.15,30.4
45,EBIT Margin,-16.46%,4.78%,-5.29%,-3.47%,-20.40%,3.54%,6.71%,0.26%,-1.86%,8.07%,7.46%,5.20%,2.01%,9.22%,7.40%,12.19%,5.66%,14.66%,9.12%,13.83%
46,Effective Tax Rate,-,-,-,-,-,-,7.12%,-,-,0.78%,8.95%,-,2.96%,-,9.40%,10.09%,7.66%,14.90%,10.65%,12.20%
47,Revenue as Reported,-,446.53,471.46,357.72,463.22,492.77,786.36,492.18,580.93,489,685.49,545.45,717.81,477.58,566.38,455.06,495.87,395.73,539.46,-
