,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2005,1812,1795,1689,2116,3146,3629,3711,4539,5247,5670,6147,4270,5960,6481,7355,-,-,-,-,-
1,Market Cap Growth,-42.41%,-42.41%,-50.54%,-54.49%,-53.38%,-40.04%,-36.00%,-39.63%,6.30%,-11.96%,-12.51%,-16.42%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2231,2038,1981,1914,2202,3232,3681,3840,4696,5404,5638,6066,3847,5537,5845,7331,-,-,-,-,-
3,Last Close Price,20.11,18.17,18.00,16.89,21.16,31.46,36.29,37.11,44.93,51.93,56.12,60.84,42.13,58.81,63.95,72.58,-,-,-,-,-
4,PE Ratio,-,-,-21.41,-,-,-,-,55.89,-,-,35.73,51.68,40.90,47.38,51.75,46.87,-,-,-,-,-
5,PS Ratio,1.08,0.98,1.03,0.95,1.01,1.41,1.54,1.58,2.02,2.28,2.33,2.53,1.85,2.69,3.25,3.84,-,-,-,-,-
6,PB Ratio,1.78,1.61,1.59,1.51,1.88,2.72,2.96,3.09,3.74,4.30,4.60,5.14,3.65,5.21,5.85,6.66,-,-,-,-,-
7,P/TBV Ratio,1.77,1.77,1.76,1.66,2.07,2.99,3.12,3.26,3.96,4.56,4.88,5.46,3.88,5.54,5.99,6.82,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-4.96,-,-20.50,-,-17.49,-,-12.58,-,-,-,-,-,327.52,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-10.59,-,76.50,-,72.65,-,-86.08,-,-46.66,-,203.66,-,48.55,-,-,-,-,-
10,EV/Sales Ratio,1.21,1.10,1.14,1.07,1.05,1.45,1.56,1.63,2.09,2.35,2.31,2.50,1.67,2.50,2.93,3.83,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-31.57,-,-,-,40.60,34.48,44.13,-,36.10,37.87,25.76,31.52,31.13,36.00,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-17.93,-,-,-,60.63,46.42,57.89,-,42.24,43.95,29.87,35.53,34.50,39.97,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-5.62,-,-21.06,-,-18.10,-,-12.95,-,-,-,-,-,326.46,-,-,-,-,-
14,Debt / Equity Ratio,0.47,0.47,0.47,0.48,0.45,0.40,0.39,0.45,0.50,0.48,0.53,0.34,0.28,0.19,0.11,0.10,0.27,0.12,-,0.14,0.10
15,Debt / EBITDA Ratio,-,-,4.16,-,-,-,4.88,1.93,19.08,11.95,3.66,1.56,2.43,1.65,0.62,0.51,0.55,0.41,-,0.35,0.25
16,Debt / FCF Ratio,-,-,-,-1.60,-,-3.01,-,-2.56,-,-1.40,-,-,-,-,-,4.80,-,0.96,-,1.20,5.24
17,Asset Turnover,-,0.68,0.72,0.55,0.68,0.70,1.15,0.75,0.89,0.76,1.13,0.95,1.36,0.96,1.41,1.58,-,-,-,-,
18,Inventory Turnover,-,-,3.48,4.18,3.04,4.14,3.07,5.15,3.35,3.75,2.76,3.80,3.07,4.39,3.00,4.41,3.77,-,-,-,-
19,Quick Ratio,-,-,0.73,0.84,0.83,0.75,0.93,1.06,1.13,0.97,1.17,1.09,0.94,1.10,1.16,1.45,0.76,0.80,-,0.96,-
20,Current Ratio,-,-,1.06,1.16,1.18,1.18,1.37,1.49,1.64,1.67,1.76,1.64,1.57,1.67,1.88,2.04,1.42,1.43,-,1.58,-
