,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,8876,8876,4456,10047,8482,8482,6672,13335,10301,10301,8881,10738,12118,12118,6375,7356,9009,4419,3084,7742,Upgrade
1,Short-Term Investments,31108,31108,23590,20590,23563,23563,15025,15025,16000,16000,6000,9500,6000,6000,-,-,-,-,2000,3500,Upgrade
2,Cash & Short-Term Investments,39984,39984,28045,30637,32044,32044,21697,28360,26301,26301,14881,20238,18118,18118,6375,7356,9009,4419,5084,11242,Upgrade
3,Cash Growth,24.78%,24.78%,29.26%,8.03%,21.84%,21.84%,45.80%,40.14%,45.16%,45.16%,133.41%,175.10%,101.10%,310.03%,25.39%,-34.56%,-35.63%,-57.47%,-,234.66%,Upgrade
4,Accounts Receivable,11094,11094,12294,12794,13188,13188,15663,16052,13568,13568,10028,11216,10446,10446,9522,10340,10133,11342,11623,10642,Upgrade
5,Other Receivables,896.66,896.66,1156,902.52,1392,1392,771.57,434.29,612.57,612.57,441.24,358.8,321.78,321.78,610.76,457.75,468.97,472.22,561.98,416.62,Upgrade
6,Receivables,11991,11991,13449,13697,14580,14580,16434,16486,14181,14181,10469,11574,10768,10768,10133,10798,10602,11815,12185,11058,Upgrade
7,Inventory,36899,36899,30933,33481,32000,32000,32853,34238,36759,36759,37747,36648,41533,41533,35075,38084,34712,37112,41188,36075,Upgrade
8,Prepaid Expenses,387.27,387.27,339.07,462,241.55,241.55,438.99,212.58,157.02,157.02,242.1,297.73,192.73,192.73,230.76,339.23,281.06,335.65,173.51,274.07,Upgrade
9,Other Current Assets,1967,1967,2133,2106,778.61,778.61,1848,367.1,1074,1074,1694,484.61,163.62,163.62,2240,165.14,281.03,119.54,110.23,236.58,Upgrade
10,Total Current Assets,91228,91228,74900,80383,79644,79644,73271,79664,78472,78472,65033,69243,70775,70775,54054,56743,54885,53801,58741,58886,Upgrade
11,"Property, Plant & Equipment",57498,57498,58699,59577,60464,60464,57302,59369,60239,60239,61795,63172,64374,64374,66024,67389,68777,70078,71452,72809,Upgrade
12,Other Intangible Assets,16851,16851,17199,17373,17548,17548,17896,18070,18244,18244,18593,18767,18941,18941,19289,19464,19638,19812,19986,20160,Upgrade
13,Long-Term Deferred Tax Assets,468.27,468.27,421.41,414.64,330.04,330.04,405.8,404.16,474.71,474.71,651,846.58,587.83,587.83,386.95,483.41,357.41,688.2,538.12,405.01,Upgrade
14,Other Long-Term Assets,1097,1097,1569,1690,2036,2036,1732,857.9,763.99,763.99,874.79,1061,1352,1352,1588,1521,995.67,872.73,803.41,775.46,Upgrade
15,Total Assets,167142,167142,152789,159438,160022,160022,150607,158365,158194,158194,146946,153089,156030,156030,141343,145599,144653,145252,151521,153036,Upgrade
16,Accounts Payable,13502,13502,10449,10937,11688,11688,13457,13907,12642,12642,10675,11056,16378,16378,12619,17145,14236,12349,18823,16829,Upgrade
17,Accrued Expenses,10357,10357,9353,7944,10300,10740,7797,6595,9175,9175,6245,5098,7455,7455,3681,3221,4923,2972,2663,2662,Upgrade
18,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,2000,2000,2000,7249,8120,5436,4327,5941,3452,Upgrade
19,Current Income Taxes Payable,1680,1680,1562,1181,1567,1571,1878,1908,2261,2261,1666,2346,896.66,896.66,1645,907.86,801.76,1966,1846,892.01,Upgrade
