,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,380.71,356.74,361.24,348.51,280.73,407.02,370.7,653.04,502.35,255.68
1,Revenue Growth (YoY),5.39%,2.36%,28.68%,-14.37%,-24.27%,-37.67%,-26.21%,155.42%,103.77%,-2.02%
2,Cost of Revenue,261.53,235.18,242.41,219.95,243.94,273.6,245.01,384.1,277.04,177.37
3,Gross Profit,119.18,121.56,118.83,128.57,36.79,133.41,125.69,268.93,225.3,78.31
4,"Selling, General & Admin",70,67.59,70.4,68.3,65.35,64.73,60.68,80.43,80,70.4
5,Research & Development,14.94,17.92,18.15,20.14,16.54,18.84,20.4,20.82,15.75,-
6,Other Operating Expenses,1.93,-0.23,-0.41,0.88,-4.32,12.02,-4.78,-13.57,-3.72,-2.42
7,Operating Expenses,86.87,86.37,88.14,89.33,77.57,95.59,76.31,87.68,92.03,67.98
8,Operating Income,32.31,35.19,30.69,39.24,-40.78,37.82,49.38,181.25,133.27,10.33
9,Interest Expense,-0.71,-0.73,-0.95,-1.44,-1.41,-0.93,-1.5,-1.84,-1.55,-1.41
10,Interest & Investment Income,-,0.7,-,0.51,-,0.38,-,0.23,-,0.37
11,Earnings From Equity Investments,-0.16,2.8,0.01,-1.34,-0.32,-3.75,-2.13,-3.7,-1.05,-1.32
12,Currency Exchange Gain (Loss),2.52,-2.14,2.63,-4.15,-1.62,0.73,0.08,-7.82,-0.91,0.99
13,EBT Excluding Unusual Items,33.96,35.82,32.38,32.82,-44.13,34.25,45.83,168.11,129.76,8.97
14,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-1.67
15,Gain (Loss) on Sale of Investments,-,-1.66,-,-3.82,-,-10.73,-,-7.06,-,-7.89
16,Gain (Loss) on Sale of Assets,-,0.45,-,-,0.62,-2.26,-,-,-,-
17,Asset Writedown,-0.1,-0.07,-0.01,-0.92,-0.09,-0.73,-0.19,-5.96,-0.77,-0.03
18,Pretax Income,33.86,34.55,32.37,28.08,-43.6,20.54,45.64,155.1,128.99,-0.61
19,Income Tax Expense,0.3,3.43,5.28,2.22,0.66,0.5,5.61,17.14,19.51,2.04
20,Earnings From Continuing Operations,33.56,31.11,27.09,25.86,-44.25,20.04,40.03,137.96,109.48,-2.65
21,Minority Interest in Earnings,-0.27,-0.44,-0.49,1.1,-0.11,-1.2,1.83,-12.94,-17.63,0.51
22,Net Income,33.29,30.68,26.6,26.97,-44.36,18.84,41.86,125.02,91.84,-2.14
23,Net Income to Common,33.29,30.68,26.6,26.97,-44.36,18.84,41.86,125.02,91.84,-2.14
24,Net Income Growth,25.14%,13.76%,-,43.16%,-,-84.93%,-54.42%,-,572.00%,-
25,Shares Outstanding (Basic),643,643,648,653,654,656,652,644,638,638
26,Shares Outstanding (Diluted),643,643,648,653,654,660,662,665,638,638
27,Shares Change (YoY),-0.72%,-1.54%,-0.94%,-1.07%,-1.17%,-0.73%,3.80%,4.32%,-,-
28,EPS (Basic),0.05,0.05,0.04,0.04,-0.07,0.03,0.06,0.19,0.14,-0.00
29,EPS (Diluted),0.05,0.05,0.04,0.04,-0.07,0.03,0.06,0.19,0.14,-0.00
30,EPS Growth,26.06%,15.53%,-,44.51%,-,-84.80%,-56.12%,-,572.01%,-
31,Free Cash Flow,13.11,60.58,32.76,35.39,21.77,77.91,16.18,102.16,50.13,-7.72
32,Free Cash Flow Per Share,0.02,0.09,0.05,0.05,0.03,0.12,0.02,0.15,0.08,-0.01
33,Dividend Per Share,0.016,0.015,0.013,-,-,0.025,0.020,-,-,-
34,Dividend Growth,28.00%,-,-,-,-,-,-,-,-,-
35,Operating Margin,8.49%,9.87%,8.50%,11.26%,-14.53%,9.29%,13.32%,27.76%,26.53%,4.04%
36,Profit Margin,8.74%,8.60%,7.36%,7.74%,-15.80%,4.63%,11.29%,19.14%,18.28%,-0.84%
37,Free Cash Flow Margin,3.44%,16.98%,9.07%,10.15%,7.76%,19.14%,4.37%,15.64%,9.98%,-3.02%
38,EBITDA,42.9,45.8,42.27,50.72,-28.52,48.95,62.69,191.75,143.96,18.43
39,D&A For EBITDA,10.59,10.6,11.58,11.48,12.26,11.13,13.31,10.49,10.69,8.09
40,EBIT,32.31,35.19,30.69,39.24,-40.78,37.82,49.38,181.25,133.27,10.33
