,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,114,87,101,94,88,67,67,78,86,190,90
1,Market Cap Growth,-7.42%,-7.42%,15.14%,39.29%,30.36%,-13.85%,-22.22%,-58.86%,-4.00%,17.04%,-63.71%
2,Enterprise Value,113,146,195,200,151,138,112,124,192,366,268
3,Last Close Price,0.40,0.30,0.35,0.39,0.36,0.28,0.28,0.33,0.36,0.79,0.45
4,PE Ratio,-,-93.48,-,53.33,-,6.94,5.66,3.57,8.59,-,-
5,PS Ratio,1.03,0.83,0.82,0.57,0.57,0.41,0.41,0.47,0.59,1.49,0.62
6,PB Ratio,0.77,0.58,0.70,0.69,0.69,0.51,0.54,0.63,0.76,1.88,1.03
7,P/TBV Ratio,0.58,0.58,0.70,0.69,0.69,0.51,0.54,0.63,0.76,1.88,1.03
8,P/FCF Ratio,4.12,3.14,3.11,4.00,-,1.55,1.87,2.58,1.88,4.21,1.96
9,P/OCF Ratio,3.10,3.10,3.07,3.79,-,1.53,1.84,2.45,1.82,4.17,1.94
10,EV/Sales Ratio,1.08,1.40,1.59,1.22,0.98,0.85,0.67,0.75,1.31,2.87,1.84
11,EV/EBITDA Ratio,3.51,-128.37,-,19.12,-,24.24,-,124.12,-,-52.14,-
12,EV/EBIT Ratio,97.40,-175.43,-,24.01,-,29.46,-,6.93,25.03,-,-
13,EV/FCF Ratio,4.11,5.29,6.01,8.52,-,3.18,3.11,4.10,4.19,8.13,5.83
14,Debt / Equity Ratio,0.67,0.67,0.91,1.01,1.20,0.71,0.92,0.61,0.85,1.19,2.24
15,Debt / FCF Ratio,3.63,3.63,4.01,5.86,-,2.17,3.19,2.49,2.10,2.66,4.25
16,Return on Capital Employed (ROCE),-,-0.54%,-,5.66%,-,3.04%,-,12.93%,6.09%,-,-
17,Earnings Yield,-0.82%,-1.07%,2.14%,1.88%,1.61%,14.41%,17.66%,28.04%,11.64%,-2.58%,-0.73%
18,FCF Yield,24.26%,31.82%,32.20%,25.03%,22.92%,64.49%,53.44%,38.79%,53.20%,23.76%,50.99%
19,Buyback Yield / Dilution,-11.85%,-18.15%,-6.04%,-0.32%,-0.31%,-,-0.02%,-6.91%,-19.98%,-12.24%,-2.60%
20,Total Shareholder Return,-11.85%,-18.15%,-6.04%,-0.32%,-0.31%,-,-0.02%,-6.91%,-19.98%,-12.24%,-2.60%
