,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+10 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+10 Quarters
0,Other Revenue,1955234,2275727,2149652,2467137,2240030,1443473,2408320,1146682,313461,2052828,3322186,1673456,1025497,891988,1266219,1046200,2031067,1248664,1044967,1055024,Upgrade
1,Total Revenue,1955234,2275727,2149652,2467137,2240030,1443473,2408320,1146682,313461,2052828,3322186,1673456,1025497,891988,1266219,1046200,2031067,1248664,1044967,1055024,Upgrade
2,Revenue Growth (YoY,-12.71%,57.66%,-10.74%,115.15%,614.61%,-29.68%,-27.51%,-31.48%,-69.43%,130.14%,162.37%,59.96%,-49.51%,-28.56%,21.17%,-0.84%,40.36%,-1.17%,-15.70%,-0.30%,Upgrade
3,Property Expenses,1319550,1482208,1338623,1368769,1417294,1038248,1515237,843121,473049,1248567,1446074,1257877,902992,717680,1073570,869560,1096944,1020049,894239,858998,Upgrade
4,"Selling, General & Administrative",125371,88449,90979,92983,109667,90432,95043,67214,116537,90079,73141,54072,82689,46089,74508,56996,72050,55956,52218,69639,Upgrade
5,Total Operating Expenses,1444921,1570657,1429602,1461753,1526961,1128679,1610280,910335,589585,1338646,1519215,1311949,985680,763769,1148078,926557,1168994,1076005,946456,928637,Upgrade
6,Operating Income,510313,705070,720050,1005385,713070,314794,798040,236347,-276124,714182,1802971,361507,39816,128218,118142,119643,862073,172659,98510,126387,Upgrade
7,Interest Expense,-31068,-30953,-33730,-34576,-40612,-42842,-47674,-53798,-81025,-26051,-30174,-41520,-46479,-38915,-56392,-31442,-54933,-51419,-67193,-58717,Upgrade
8,Interest & Investment Income,53146,44434,39414,29521,96111,29165,75838,26873,29715,57952,40446,19343,45431,123902,184666,-240863,38158,30945,44914,26533,Upgrade
9,Currency Exchange Gain (Loss),-,-,-,147.36,179.97,-,-226.38,174.02,-345.96,-,-,-,-210.36,-,-,-,-,-,-,-,Upgrade
10,Other Non-Operating Income,7250,-1904,11685,-2629,46395,-45157,43163,805.02,-53742,14993,1658,10419,-8679,35883,5656,-177.82,-49699,54377,7237,-1746,Upgrade
11,EBT Excluding Unusual Items,539640,716647,737419,997848,815144,255961,869141,210401,-381522,761076,1814901,349749,29879,249088,252071,-152840,795599,206561,83468,92458,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,1287,-5050,-,13.5,-2857,-11138,-,-349.17,5434,27007,-,84200,260000,8291,-,-,-,Upgrade
